mp-1040471 Mn(PO3)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1228643 K3Cr(HO)6 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-21355 CoH12CN5O6 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mvc-431 NaVO2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-755199 K2Mo2P2O11 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-558700 BaYbCo4O7 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1179232 VIO7 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-761259 Li2NiP2O7 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-24296 CaFeF6 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-753281 CrAgO2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-555607 Li13Ni15O28 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-17006 CrOF4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1208115 TiCoO3 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1105281 LiCo6P7O24 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1177884 V4O5F7 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-755562 Ba4Nb2WO12 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-1200193 LiCrPO4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1259193 Li3NiPCO7 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1205381 PrTl(WO4)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-18703 V3Zn2GaO11 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-753135 VO2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-16841 Na3VS3O Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1076399 VO Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1210883 Mo(NO4)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1204784 CrP2H16N3O10 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-510366 LiMnPH2O5 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-756717 GdVO4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-758562 KVO3 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-25394 HfCrO3 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-573231 Li2FeO3 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1214669 Ca5La10Mn14(NiO24)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-18611 MnAgO3 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-552651 MnH12C2NCl3O2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-763247 CaTi4(FeO4)3 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-31123 CsEr(MoO4)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1200340 Li2FeO2F Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1002573 Co3Bi(CO)9 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-752560 KLiMoO4 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-755286 LiFeSiO4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-754939 Na3CoAsCO7 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-755720 LaCrSe2O Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-19270 VO2F Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-1228110 CrPb2O5 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1221575 Na5Li(Mo3O10)3 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-753779 Zn(CoO2)2 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-1312784 Li5V3P8O29 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-754418 Li2AlFeO4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mvc-10379 LiNiOF2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1213972 SrCaCr2O6 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1036333 ZnCu(WO4)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-541508 MnAs3(PbO3)3 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-776760 Na6Mo10O33 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-777678 Li4VFe3O8 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1182695 KNi2H3(SeO5)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-759813 Bi14MoO24 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1208589 Li2Ti3MnO8 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1196925 LiVGeO5 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1177748 Mn2GeO4 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-1175698 Cs2NaVO4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1228118 NdMoBrO4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-756125 FeOF Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-556349 Li3VF8 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-510568 Ba2AlFe3O7 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-554274 Li2NiP2O7 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-651301 MnOF Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-18800 Li2Cr3SbO8 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-765052 Li2Ti3MnO8 Prediction: 0 Actual: tensor([2], device='cuda:0') 
mp-755073 K2NaFeO3 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mvc-9088 CaLaCrCoO6 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1191389 Li2FeP2O7 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-554787 LaCoSbPbO6 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-31780 V4(OF3)3 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-756042 Li6V3P8O29 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-756123 LiFeP2O7 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mvc-5791 Dy2(MoO4)3 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-559279 SmFeGe2O7 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-18944 MnVCuO4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1204398 Li3MnV(PO4)3 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-554839 LiCrSiO4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-774338 NiGe3O8 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1208042 LiMnO2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-5516 CsMnFeF6 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1210165 Tm2WO6 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-754411 Li2Ti3MnO8 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mvc-3872 MgNiF6 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-772444 Li2TiCo3O8 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-556361 Li4FeOF4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1177771 AlVP2C2N2O9 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1213184 MgFeP2O7 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-754243 CaFe(SiO3)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1176273 Li4MgCo3O8 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-19384 Li4Mn5P6WO24 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1210292 Cd(FeO2)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1180216 Co(ReO3)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-754562 K3VMo3H4O15 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-16994 Rb8Zr(MoO4)6 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-715479 Mn3Zn2O8 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-558897 Li2Mn3CoO8 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1104265 Sm2WO6 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1228461 NaFeO2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1222932 Co(HO)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1210021 Zr3NiO Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-753828 NiH12(NO6)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1275562 HoMg(NiO3)2 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-1217380 CoH20C22(N5O3)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-759761 Na2CoO3 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1174051 Li3Ti(CoO3)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mvc-12329 Mg14MnCuO16 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-755896 AlVF5 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1207819 Li4Fe2Ni3Sb3O16 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-557669 ErCoH8C6(N3O2)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1223350 RbSm(MoO4)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-757193 LaMgCrSbO6 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-541777 Fe2GeO4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-759188 Ba7Nb4MoO20 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1218304 BaEuFe2O5 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1207730 LiFeF4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-559316 Li7Mn2(CoO4)3 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1200253 Sr2TiMnO6 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-759126 Li2NiBO4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1210896 Li9Mn2Co5O16 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-768687 VO2F Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1174089 Rb5V3O10 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1208064 NaZnMoHO5 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-753501 Li3V3P8O29 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1218332 KCrO3F Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1275975 Li5Fe2Co3O10 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-772083 CaLa3Mn4O12 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-1228469 VBiPbO5 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-698305 Li3Fe2P4HO14 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1297758 LiCrPO4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-770873 RbCr(SO4)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-21512 Li4Fe(SiO4)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1227920 Fe2O3F Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1220201 Ba3MnO5 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1203089 SmVO4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mvc-12291 LiFeF3 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-752972 FeP4(C2O5)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1175628 CoO2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-18807 FeH4C3O8 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-715566 YAg(WO4)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-759539 FeH10S2NO11 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-770559 BaMnCO3F2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-780532 Mn4Si3AsHO13 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-770761 NaLiV2O6 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-760155 Li2TiCoO4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1207739 Dy2(MoO4)3 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-770388 NaMnPO4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-19131 Li2MnSiO4 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-559277 Li3V3P8O29 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mvc-12592 Li2CoPO4F Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1221127 VH6(OF)3 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-765781 Mn2CdO3 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-756840 Mg3FeO4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1226647 CsK2LaV2O8 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mvc-10908 InCu(MoO4)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-704630 Li2Mo4O13 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1174776 CrPC5Br3O5 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1178549 Eu2Cr2O5 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1192129 NaFeBO3 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1227480 CrHg3O5 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-762023 BaCr2O7 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-559100 PrCu(MoO4)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-760973 NdVO4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1310493 NdBMoO6 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-18968 LiNiP2O7 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-779311 Li4MnCo2O7 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1201834 LiMnPH2O5 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-755332 Sr5Ca3Ti5Mn3O20 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-1217532 FeH7SO8 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mvc-11732 Rb4Mo5H4Se2O23 Prediction: 2 Actual: tensor([0], device='cuda:0') 
mvc-3035 Mg2V2O7 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1177499 LiNbTe2WO12 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-780335 RbLiMn3O4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mvc-8154 V2Co2Se2O11 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mvc-3053 MnNiP2O9 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-780739 SmCu(WO4)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-778755 MoWO6 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-18786 SrFe5Bi4O15 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1198436 Li24Ti5Cr7O36 Prediction: 0 Actual: tensor([2], device='cuda:0') 
mp-754758 CsMoAsH2O7 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mvc-14519 Li2MnFe(BO3)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-505405 Ba3NdV3O12 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1220991 MoO5 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-17264 LiIn(MoO4)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mvc-10467 LiNiPO4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-758062 MnGa2P3H4NO14 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-766569 Li2Cr2Si2O9 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1071505 NaLi5Mn2P2(CO7)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-560897 InMoHSeO7 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1194804 Ba2MnNbO6 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1180459 Ta9VO25 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-752736 CoO2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-759681 Na2MnSiCO7 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1191333 BaNi2(PO4)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1101715 Co(Bi5O8)5 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-756520 LiVSn3(PO4)6 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1196969 Cu2WO4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1208190 Na3Co(NO2)6 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1182551 Cs2Fe2(MoO4)3 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1039764 NaV(PO4)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1303800 Ti2CoO5 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-763317 Li3Mn(PO4)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1573681 CoSe2O5 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-688785 Na2FeCuF7 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1297665 ZnGaFeO4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-19409 Li9Mn7O16 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-996995 MgCo2(CuO4)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-753736 Ca2La8Ti5Cr5O30 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-541775 Fe6O7F5 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-780594 Li2V2SiGeO10 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-630641 La4FeO8 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-540438 UV2PbO9 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1175358 V2Zn3O7 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-19903 MgCrF4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1218147 Li2VF7 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-755692 LiFe4(BO3)4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-758833 Eu2NiO4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-20312 Li3Fe(PO4)2 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-22006 Li6Mn2O5F2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-752578 Li5Cr4O8 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-758077 Nd6Mo10O39 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1180484 Fe6Sn2(CO)23 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-754053 AlCu(WO4)2 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-1248580 Sr2Mn2O5 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1217399 MnOF Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1661785 LiNi(PO3)3 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-31557 VPO5 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-759509 K3Na(MoO4)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-757934 Cs4FeO3 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-1177557 Ba2MgMn2CuF14 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1218564 TbMoO4F Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-554745 Li4FeSi2O7 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1286054 Li7Mn2(CoO4)3 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-559931 LiVPO4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1227079 Li3V3P8O29 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1274544 Rb3FeF3 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-775341 BaBi12Mo5O34 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-849324 SrNdCoO4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-705670 RbMnCl3O2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-756311 Li4V3Sn3(TeO8)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1195152 Sm2MoO6 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1209234 VH10N2(OF2)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1192358 ZrMnO3 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-867733 KTb(WO4)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-778608 CoP2WO8 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-779031 K2Na4Fe2O5 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-558512 Li4Al3Cr3(SbO8)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1211094 Pr2Te4MoO14 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-19143 Mg30ZnNiO32 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-759453 Ba2CaMoO6 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1211532 MnP2O7 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-540969 LiFePO4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1221990 LiNiPO4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1211211 LiNiPO4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1173735 NiMoO4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-867518 V2O5 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-757335 VPO5 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-776753 Ba4LaTi4CrO15 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1104938 Li2AlVO4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-554275 Gd2W4O15 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-775738 Ta2MoO8 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1209280 Ca2Pr2MnNiO8 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1210369 Ca4Mn2O7 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1178835 SrV6O15 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-773085 LiCoPO4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-775274 LaNiAsO Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1209831 NaCrO2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-777800 LiNbFeO4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1114426 Li4Cr3Ni(PO4)4 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-1196576 Li3Cr(PO4)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-541512 Mn3Fe2Sb(PO4)6 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mvc-9189 K2Mo3SO17 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-648992 Li2VGa3O8 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1192505 MnHO2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-17982 LiCoPO4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1567270 Na2MoAs2O9 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mvc-9205 Pa2Cr2O5 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1293833 LaFeO3 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1175530 LaV3TeO15 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1003856 Li9Mn2Co5O16 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1181609 FeHO2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-579214 CsNbV2O8 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1178016 LiNi7O7F Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-755828 Mo(HO2)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-752958 Rb2Mg2(MoO4)3 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1036104 Li2Mn(SiO3)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-18784 B2Mo(PbO2)6 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1224007 MnC5ClO5 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-754904 Li3Mn2P4HO14 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-758560 TiNi(PO4)2 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-1218100 LaMoBrO4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1214071 Na3CoF6 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-759543 FeSb3Pb4O13 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-1177485 CoSeO5 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-1208725 ZnMo2O7 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1195351 Li7Mn4CoO12 Prediction: 0 Actual: tensor([2], device='cuda:0') 
mp-646599 CoH18Br2N6ClO3 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1173529 LiMn(PO3)3 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1195277 Li3Nb(CoO2)4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1113883 K3CoF6 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1173624 TaTlV2O8 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-757198 Mn3(OF)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1177317 LiFePO4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1273059 BaCo2(PO4)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-18908 Li3MnOF4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-21860 LiMnPO4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-697811 Li3MnPCO7 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1244718 Ca2TaMnO6 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1201415 SrCrO2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1211038 Li2Cr4O13 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-706251 NaV3O8 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-764738 Dy2MnNiO6 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1223629 NaCoO2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
