mp-1196872 Li4Co(PO4)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-600169 V(HgO2)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-636746 Sr3Nd(FeO4)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-752869 Li2MnSiO4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1174682 PrCoO3 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-18973 FeCO3 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-541211 VBiO4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1178433 V9O22 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-753534 NaCo3P3O13 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-562797 Cs4BaV6O18 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-616215 CrBi12Mo4PbO34 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1203476 Nd2(WO4)3 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-764642 Li2MnO2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mvc-12218 VPO4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-18829 LiV3Zn2O8 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1037843 CsLiMnP3HO10 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-755951 RbV3(SeO6)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1213049 LiCoSiO4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-622521 Mn3(P2O7)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-772272 SrDyCoO4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-19083 Ho2CrSbO7 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-761401 Li3(CoO2)4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1190505 YFeO3 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-850740 FePO4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-626680 K3V3O8 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-684727 RbSm(WO4)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1180602 BaV2TeO8 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-771129 SrMnO3 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-1177396 Co(BO2)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-759725 SrV2TeO8 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-704545 K2NiC4(SO)4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-766536 AlFeB2(PbO4)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1283030 VPO5 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1181051 YCoO3 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-683660 Li6(CoO2)5 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-759471 Li9Mn2Co5O16 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-19290 Li2Co2Si2O7 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-1248580 SrCrBi12(Mo2O17)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-756147 LiV(PO4)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-20313 NaMgFe(SO4)3 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1209123 Ca2NiWO6 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-27150 Ca2CrSbO6 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-763021 YbMoO4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1180459 V3Zn2GaO11 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1213413 Rb2U(MoO5)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-778756 Li3V3P8O29 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-755122 K4BaV6O18 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-554839 TiV2CrO10 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1154479 LiFe(PO3)4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1176983 Mn3Bi(CO)15 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1174562 SrCrO2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-867686 LiVCoO4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-559318 Mg(Mo3O8)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1653694 NaMg4V3O12 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-560015 Li4MnCo3O8 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-572430 VFe7(PO4)12 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-765544 Li(CoO2)3 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-645513 Li3VO3F Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-769454 K2Be2NiH6F8 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1228766 LaFeTeO6 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1209169 CrO Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-758108 Na2U(WO5)2 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-1218174 Li2NiP2O7 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1207861 NiH6C2(NO2)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mvc-15448 Li2FeO3 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1105354 LiFePO4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-780329 Na2SrV2CoO8 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-532028 Rb2FeC5N6O Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-755848 Sr2TiMnO6 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-541493 LiMgIn(MoO4)3 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-22417 MgAlFeO4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1176727 SrLaMnO4F Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1176417 VCd2PO7 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-752834 LaFeTeO6 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-699363 CaV4(AgO6)2 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-1214549 Li2AlCoO4 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-1570351 MnZnF5 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1104567 Li3Fe3O8 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-17502 LiVPO4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-22421 NaMg30CoO32 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-768716 Li4Co3Cu3(WO8)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1199843 Sr2YMn2O7 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-541508 Li2Mn2CoO6 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-754285 CrO2 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-1196885 Nd2Te3MoO12 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-27806 RbPr(MoO4)2 Prediction: 2 Actual: tensor([0], device='cuda:0') 
mp-1569682 Li6Mn2O5F2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-772183 Cr2C13SN3(O2F)5 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-753303 Li2MnSi3O8 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-753613 Li10Ti11Cr9O40 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-556415 Li9Mn2Co5O16 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-759834 Li4Co2OF7 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1279131 Sr2Fe3Sb(PO4)6 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-758560 NaCo(CO)4 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-18990 Li2Mn3NbO8 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-752990 Lu2(MoO4)3 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1223402 SmMoClO4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1208266 Li2TiV2O6 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1182540 CoAgO2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-778223 Li3VP2H2O9 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-756723 Ba4Y2FeCu5O14 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-651122 Li2U(MoO5)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1214103 Sr2FeOsO6 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-773503 Na5Li(Mo3O10)3 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-759125 CoH19S3N5O11 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1222672 Li3V3P8O29 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-760199 LiMnPO4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1113894 MnTe2O5 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-752518 Li2Mn(CoO3)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-558638 LiNiPO4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1273062 K3Mo4H6O16F Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1213876 Ca(CoO2)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1661570 MoH2(CO2)2 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-771156 Li2Mn3O6 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-753796 Li5Mn8(BO3)8 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1216798 VIO4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-756125 MnH10S2(NO2)4 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-774250 LiMn3(BO3)3 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-697492 Na2Cr4O13 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1213842 V2CrFe3(PO4)6 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-778670 Ni3Sb4(OF)6 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-558509 MgFeP2O7 Prediction: 0 Actual: tensor([1], device='cuda:0') 
mp-760228 Na2Cr2O7 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-756423 Li2MnF4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-775013 La3SmCr2(FeO5)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1221027 AlCoP2NO8 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-561743 Li3V3P8O29 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-560793 Na3VS3O Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-753142 Li2MnNi(PO4)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-759014 Cs2Cr4Cd(HO4)4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-867567 CrO Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1573242 Ba2SmV3O11 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-760211 Sr3ZnCoO6 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1181006 Sr4LaFe2(CoO5)3 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-756275 NdFe6Bi(BO3)8 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-554181 Li3MnCoO5 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1665188 Li2CrFe(PO4)2 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-687091 FeO Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-19137 Na3Li(MoO4)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-573422 NaCo2H3(SO5)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-762165 FeCuO2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-18988 Li6AlFeO6 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-20287 Li3Fe2P2(CO7)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mvc-449 TlIn(MoO4)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-753396 Li7VGeO8 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1216342 Li2NiP2O7 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1201692 FeHO2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-770783 MoH18C5(NO)4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mvc-12752 Ba2TaCoO6 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-561162 LiVTe2WO12 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-975505 Sr2Mn2O5 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-850286 Na3NiPCO7 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-777383 Li2CoOF3 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-764518 Cr2(Hg2O3)3 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1194343 Li7Mn2(CoO4)3 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-972384 KBa2V2ClO7 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-863375 LiCo(CO)4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1201493 K4CoP6O25 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-510725 Na2NiPCO7 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-764764 CsNbWO6 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-19001 CaCr2O6 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-770766 Li3VFeP2(O4F)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1195392 Mg2Ta2CoO8 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1281428 Nb2WO8 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-772121 Li4Mn2P4H3O16 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-26063 Na2CrFeF7 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-758525 Li3V3P8O29 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-774243 AlV2O4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1178498 Li4Ni5Sb3O16 Prediction: 0 Actual: tensor([1], device='cuda:0') 
mp-1195819 CoNiH12C4(N2O3)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-541662 Y2WO6 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-693600 LiMnF3 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-758702 LiFeSiO4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-24069 CsEr(WO4)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-558344 Mn6OF11 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-863961 Sr2NiWO6 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-753634 LaCrBiO6 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-756128 Li2VCo3O8 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1177884 SrMgV2O7 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-19232 La12Ga23MoO56 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1222629 Pr8Ni4O17 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-19123 SrLaTaMnO6 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1200032 Rb5NdHf(MoO4)6 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1003316 KTm(MoO4)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-561754 Na3NiPCO7 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1200957 V2CrO6 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1192030 CrPO5 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1199170 Sr2V3Bi3O14 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1176557 Li8Mn(O2F)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-760313 Ge3(MoO6)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1227662 Li2AlFeO4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-30084 ZnCoO2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1177902 LiV(PO4)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-26317 LiFe4(PO4)3 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-850232 NaNiF3 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-757058 CsCoH18N6(ClO2)4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1228167 CrF2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-715262 V2As3H17C4N8O17 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-510755 CaLaFeAgO6 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-1197395 MnH7C3NO7 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-772549 Li2VSiO4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-756140 V4Bi6PbO20 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1175599 Li5Mn3O8 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1212487 SrLaCoO4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1211490 CsY(WO4)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1213191 FeOF Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-625576 V2Zn2O7 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-774671 CrO3 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1180982 CsFe(SO4)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-19403 MnO Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-757275 NaCr3O8 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1273601 Yb2WN2O3 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-752778 LiVFeP2(HO5)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-849394 Y2(WO4)3 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-756820 CrAuO2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1226781 KCr2AgO7 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-32516 Cr(ClO2)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-695805 Li3FePCO7 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-18751 FeAsO3 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-754513 Cr2(Bi2O5)3 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1037136 VPbO4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-770839 Ti(FeO2)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-623924 Y(WO2)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-757110 MnAsO4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-561778 Li2VO2F Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-754330 KSm(MoO4)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1205671 Li2MnP2O7 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1203873 TmMoClO4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-756091 Li2FeCSO7 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-756974 MgU(MoO4)4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-556943 NiP6(WO8)3 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-756665 NaFeAsO4F Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1221457 Rb2LiMoF6 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1290445 Cr2O Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-776154 Li2MnOF3 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-758482 Ba2Li3Ho3(WO4)8 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-19357 Zr(MoO4)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-752688 LiMnPO5 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-10447 Sm2WO6 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-755694 Ba3Nb2CoO9 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-777456 KV3(PbO3)4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1211532 MnZn2SbO6 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-697811 CoHRu(CO)6 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-770948 Ba2Fe2S2OF2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-744691 NaMnPO4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1227714 NiH2SeO5 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1213122 SrFe2Se2O Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-735567 Li2TiMn3O8 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-752913 Li2V2SiGeO10 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-756603 CaCoSi2O7 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-1198818 VGa(CuO2)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-767433 Li4V2(PO4)3 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-756604 LiScVO4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1218837 Li3V(H4O3)4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-556295 VPO5 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-752536 CsCrNiF6 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-759009 Li2Fe(PO3)4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-756894 VHO3 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-1174329 RbSm(MoO4)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1267433 LiVF6 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1103683 LiMnAlO3 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-26708 Ho2WO6 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1037298 Li4Fe7(PO4)6 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1226417 Li2Mn(CO3)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-720809 Li2CoGeO4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-752524 KDy(MoO4)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-31907 Li3Ti2V3O10 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-766138 VF5 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-626555 Ca2Ta2MnO8 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-768705 Na5LiMn2P2(CO7)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-759248 Ca2VP3O11 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1076888 DyMoBrO4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-770934 Ba6Na2Nb2V2O17 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-31628 Zn3Co2(GeO4)3 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-770872 CoSnC4Cl3O4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-19082 Li2VFe(P2O7)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-752801 NbVO5 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1182695 Li2VBO4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-720855 Li2MnFe(BO3)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1573681 Li2V2P2O11 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1539213 YCr2O4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mvc-9082 V5H18N3O17 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mvc-15999 Li2Mn3(BO3)3 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-753602 Li2Cr2O7 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-772514 LiCoAsO4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-558555 CaVP2O7 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-1215685 Cd(CoO2)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1238483 VZn(SiO3)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-17362 K5In(MoO4)4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-770533 Sm3BWO9 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-21355 KUVO6 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1274992 FeBiO3 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-645555 KHo(MoO4)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1197180 V4Fe2HO12 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-867766 NbNi2BO6 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1211463 YV2O4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-757948 KVSO6 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-763211 LiNbCoO4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-559100 BaU2V2O12 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1228539 ZnMoF5 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1217766 Na2FeO2 Prediction: 2 Actual: tensor([0], device='cuda:0') 
mp-773418 Li3Mn2(CO3)4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1209249 Li5V3Cr2O10 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-605486 Li2FeP2O7 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-744674 CrCuAsPb2O9 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-780861 Li2VPO4F Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1175532 CuMoO4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-849591 MgZr3Tl10(MoO4)12 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-765052 Ag2Mo3SeO12 Prediction: 0 Actual: tensor([2], device='cuda:0') 
mvc-10905 LiFeCO4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mvc-5828 Y4CdMo3O16 Prediction: 2 Actual: tensor([0], device='cuda:0') 
mvc-14941 K3NaCr2O8 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-755372 Li3Ni2(PO4)3 Prediction: 1 Actual: tensor([1], device='cuda:0') 
