mp-1199268 K5In(MoO4)4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1224080 Fe3Sb(PO4)6 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-41701 K5V9H20PtO37 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1211523 VCl3O Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1201529 Ba3MnNb2O9 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-24069 Ni(SbO3)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1198275 Li3V2OF7 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1215777 RbHo(WO4)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-754887 CaFe5O7 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-756356 Cs3NiF7 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-760196 Ba2SmV3O11 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-545850 Li2TiV2O6 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1221953 LiMnPO4 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-1213147 PrMoO4F Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-759983 FeTe6O13 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-685142 Tb2WO6 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-18815 Rb2MoSeO6 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1195428 Li2Mn2F7 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-16799 KNbWO6 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-757485 Li4MnO3 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-770496 LiMnPO4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-772437 Zr4MnO9 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1275133 Li7Mn2(CoO4)3 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1227861 NaDy(WO4)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1189585 HoFeO3 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1206498 Mg3(Fe11O18)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1179784 KBa2V2ClO7 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mvc-6787 FeMoClO4 Prediction: 0 Actual: tensor([2], device='cuda:0') 
mp-510562 RbSm(WO4)2 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-1228739 TiNi(PO4)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-504495 CaCoP2O7 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-558835 Bi14MoO24 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-616610 Na4V10Co(H11O13)4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1205179 Ba2Mn2Se2OF2 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-1208057 KTaV2O8 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1227697 La3FeW(SO2)3 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-773197 Co2OF3 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1204155 Li2Cr4O13 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-18473 Li2VCrO4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1190916 Ba2YNi3O7 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-761008 CaLaTiFeO6 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-780898 Li8Ti6Mn7O30 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1200841 MnV2P2(H4O7)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-23967 CsHo(MoO4)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1217766 SmBiW2O9 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-561538 NaLiFe2(SiO3)4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1154753 Sr2MnGaO5 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-767681 Sr2V3Bi3O14 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1104363 LiVF6 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-863405 K2MgCr2(H2O5)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-760000 Co(HO)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1078132 Fe3C10SO10 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mvc-6396 FeOF Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-556508 Na3Ge3(MoO6)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1178416 Li9Mn2Co5O16 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-744674 KV5ZnO22 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-560582 KMoAsO6 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1224359 LiV(SO4)3 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1176523 ZrCo3(BO4)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-767447 RbVH6SO9 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1105138 V2P2O9 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-541910 Co5Se4(ClO6)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1213033 CoP3H16N4O11 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1210860 LiFeWClO4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-705039 KUVO6 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-18408 LiMn3O6 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-760807 Na2Ni2O3 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1213643 VO2F Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-25868 Mo(PO4)2 Prediction: 2 Actual: tensor([0], device='cuda:0') 
mp-581324 SrV4(AgO6)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-867518 Sr2MnWO6 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-746681 Li3Co2(CO3)4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-770614 NdV2IO9 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-745159 La2CoO4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1211766 LiY(WO4)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-754683 CoWO4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-757243 CaV5H19O23 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1220965 Nd4(WO5)3 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-757108 Mn2P2O7 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-753902 Rb4Mo5H4Se2O23 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-756210 YCu(WO4)2 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-1210465 LiNi(PO3)3 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-767716 Cr19O48 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-545469 Li2MnFe(BO3)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-557323 KY(WO4)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-782643 RbCrClO3 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1201848 LiCr(CoO3)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-755694 MnSeO3 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-674420 Ca3FeRhO6 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1211349 MgTeMoO6 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-18958 VPO4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-753446 Li4Co3Sn5O16 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-554101 La2MoO6 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-770948 K2Mn2O3 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-18807 MgMn4O6 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-770765 Li3V3P8O29 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1224963 K4Ni(NO2)6 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-760202 CrAg3ClO4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1101184 Li3Mo(PO4)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-555680 Li5Mn5O12 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1318790 YbCrO4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1193226 LiHo(WO4)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-776777 Na3CoBPO7 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1177290 Be(CoO2)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1181071 FeNiO3 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-867554 Ag3Mo3AsO13 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1213946 Y2Cr3O12 Prediction: 0 Actual: tensor([2], device='cuda:0') 
mp-1069079 LiFeOF Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1105482 Cs2CoSiO4 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-20589 K2Mn2(SO4)3 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1321956 LiIn(MoO4)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-560733 CoH15Br2(N3O)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1229283 K10CoMo7O27 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-753628 V3(P2O7)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1579309 K3Cr(HO)6 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mvc-9190 Li4Fe3(BO3)4 Prediction: 2 Actual: tensor([0], device='cuda:0') 
mp-770544 Al8Zn3CoO16 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-752698 SrCaMn2O6 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-1176921 K4CrO4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1280510 LiMn5O3F5 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1193903 Na2Zr(MoO4)3 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-720713 Li4Fe3Ni3(WO8)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1177748 Li9Mn2Co5O16 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-764993 Li9Co7O16 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-18761 CrOF Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-776976 Sr2TiMnO6 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-556779 Li5Fe3(SbO5)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1569680 CrNiO4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-757920 Li4Cr3NiO8 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-754619 KFeP4(H2O7)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1221598 V2Bi4O11 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1105788 TlCoO3 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-699558 LiVF5 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-763950 CoH18C4N7O8 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1210666 LiMnVO4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-17385 V4SnO12 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1212931 Li3Fe(CuO2)4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-770761 V2Zn4O9 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1216048 Li3V2P4(HO8)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-766469 LiCr(CO3)2 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-557878 Ca2YFe3(SnO6)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-557958 SrNi2P2(H2O5)2 Prediction: 0 Actual: tensor([2], device='cuda:0') 
mp-754490 CsVOF4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1296375 Ni2P2O7 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1177768 Fe2Se2O7 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-758560 ErTl(MoO4)2 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-1147691 RbY(MoO4)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mvc-1216 Li4MnSn3(PO4)4 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-1247672 Mg3Mn3(BO5)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-643561 Li2Mn2Si2O7 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1290075 Cr2P3O13 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-558306 Li2Cr2O9 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1646634 CaMn2O4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-761589 RbVH4(OF2)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1196456 Na3CrP8O23 Prediction: 0 Actual: tensor([2], device='cuda:0') 
mp-1217800 V2B(PO4)3 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1173194 VO2F Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-19039 CaLaTaCrO6 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-18989 Li4FeOF4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1178874 K4Mo2H6S2O9 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-768420 V2Bi8O17 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-19065 MoO3 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1223582 Ce2Te(Mo2O15)3 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-556349 NiSnO3 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-16779 Tl2CrO4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1200029 FeOF Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-768850 NdMoO2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-771060 Sr2NiTeO6 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-754908 VCoO4 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-756326 Si3(MoO6)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-757186 CsNpMoO7 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1222197 Sr10Mg5Mo4WO30 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1114699 ZrMoWO8 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1202328 Li5Fe2P2(CO7)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-770995 TmMoClO4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-20223 Na4Cr2H6O11 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1174027 KFeH2S2O9 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-18993 Rb5In(MoO4)4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-780717 TiFe(PO4)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1227082 Na9Fe2P4HO18 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mvc-11658 Li3V2P4(HO8)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-19166 Mn4(PO4)3 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-541368 Mg(FeO2)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-770571 RbVSeO5 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-555537 Li2TiMn2NiO8 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1214963 Ba2V4Cd3O15 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-766239 NaCaMgFe(SiO3)4 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-1196299 Cr2CdH14(NO2)4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-505469 Mg2Ta2MnO8 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1105351 Ba4Fe2MoWO12 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-559600 V(Bi5O8)5 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-753932 VOF Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-24250 FeSb2WC8Se2(O2F3)4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1179451 Na3VPCO7 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1301487 Li2MnCoO4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-771270 Li6Mn5Fe(BO3)6 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-757406 Cs2NiO2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-849767 MoSO6 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-1175658 YCrO3 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-23581 Li9Mn2Co5O16 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-776754 CoSiH15N6(OF3)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-760225 SrFeO2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-775153 Mo2H12C4N2O15 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-557717 Li2MnSnO4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-558497 Na6CoO4 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-19090 MoH8S2(NO)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-558850 MgCr2O4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-779333 Li2VOF3 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-1097820 KLiTm2(MoO4)4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1272625 Li2Fe2(CO3)3 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-778006 TaFeO4 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-1002572 Na2MnSiCO7 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-1094081 Li3V3P8O29 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-19239 NaCoPO4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-555775 BaYCuNiO5 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-705034 FeCoPO4F Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1201834 B2Mo(PbO2)6 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-775848 LiVSiO4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-753283 MgAlFeO4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-754622 Li2FePCO7 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mvc-6399 K2Mn2Zn4Si4O15 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-759216 BaTb2(MoO4)4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1661785 SmTl(MoO4)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-756790 Nd2Mo4O15 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-554533 KLiMoO4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-20921 LiMnBO3 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-757988 Li3Co11O14 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1661817 Fe3P3O11 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-558968 CsNaMo3O10 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-17194 LaMgTiFeO6 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-16864 CaNdMn2O6 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-26423 LiMn2(PO3)5 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-773600 LiMnPO4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1282740 Li2FeF6 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1211565 KEr(MoO4)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-21275 ErSbMo2O9 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-774506 Cr4O9 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-705356 K2LiMnPCO7 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1209888 Tm2(WO4)3 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-20014 AlVMoO7 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1284649 NaMn2Mo2H3O10 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-26219 CoH21C2N6Cl2O5 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1201916 LiNd(MoO4)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-765624 Li9Mn2Co5O16 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-774241 Rb2Mo(SO)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1180042 CsPr(MoO4)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1282537 KNbV2O8 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1278392 FeSnO3 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-19418 VCrP2(O4F)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1176383 Eu2MnSbO7 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-754387 CsSm(MoO4)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-849650 LiVSiCO7 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-29146 Sr2YV2GaO7 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1221083 Li2FeBAsO7 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-775874 V6H2Pb4Se3O26 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-1211463 LiY(MoO4)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1209350 Al2Fe2Bi2O9 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-753595 Co(BO2)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1003322 Li2MnCoO4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-778158 Ba2CoSi2O7 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-561135 Rb2CrHgF6 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-753203 Ba2Mn2As2O Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1101729 Ca8Mn6Cr2O23 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-756430 VAg3HgO4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-743587 K2Cr4O13 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-849447 Sr2MnGaO5 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-22730 Na2Te3Mo3O16 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-19189 Li5NiOF5 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1208141 Na2YPWO8 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1175713 Li2NiBiO4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-761060 Li9Fe3(WO4)7 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1209046 Cr4AgBiO14 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-19357 La4(MoO4)9 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-1221077 FePH6(NO2)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-766612 Li2Fe2Si3O10 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-560148 Bi2Mo2Se2O13 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-774251 Sr2NiTeO6 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-20399 Li2VO2F Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1193798 FeSi2C4(Cl3O2)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-25458 K4MoC4(N2O)2 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-761390 Dy2VFeO6 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-686936 K3V3O8 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1195132 FeH2SO5 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-698655 CdMoO4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1205825 Li2TiFeO4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-770581 Li7Mn2(CoO4)3 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-622278 CoH12CN4ClO7 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1195516 K2SrTh2(MoO4)6 Prediction: 0 Actual: tensor([1], device='cuda:0') 
mp-698669 ErCrO4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-705670 PrCr2O2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1205217 Li3AlFeO4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1284651 LiMnPO4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-754123 Zn2Ag2(MoO4)3 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1176221 V2Zn3O8 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1218324 UCd(MoO4)4 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-18921 Ba2Fe2O5 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1219571 Gd2Mn(GeO3)4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-19497 KPr(MoO4)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1218747 Mn5V4O12 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1195674 Li3Mn2P4HO14 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-744996 Na2FePCO7 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-704114 Na2Mg5(MoO4)6 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1198376 Li4Fe5SnO12 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1214034 Ba2YFeO5 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-556889 Ba3Fe2Cl2O5 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1222017 Tb2WO6 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-18938 LiMnPO4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1666380 Li9Mn2Co5O16 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1013910 Li2Cr(PO4)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-23821 Li6MnO4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-758296 Mn2CdO3 Prediction: 1 Actual: tensor([1], device='cuda:0') 
