mp-1193901 V16O3 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1228762 Mo(HO2)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1205668 Li2Cr2O7 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-753193 Cu2NiTeO6 Prediction: 1 Actual: tensor([0], device='cuda:0') 
mp-1198653 SrZnNi(PO4)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1111105 Li2FeO2F Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1177494 Li3V3P8O29 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-759033 KTh2V3O12 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-755938 Li3MnV(PO4)3 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-18988 VP2Cl7O4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-849296 Ca2MnAs2(H2O5)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-776555 K2Be2NiH6F8 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-21302 MgFeP2O7 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1223496 Li2TiFeO4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mvc-10468 V2B(PO4)3 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1568377 LiCrSiO4 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-768447 Ca2TaCrO6 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-19424 NdY3(Mo4O15)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1209888 Li3Co3OF7 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1291802 ZnCrO4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-16678 Li2CoSiO4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-772669 Ca4Ti3FeO12 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1641016 Cr2(Bi2O5)3 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-764052 Li2SiNiO4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1100502 VH8N2O5F Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-554248 BaV4O9 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-15202 TbCrO4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-622278 Sr2MnGe2O7 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1111049 Li2Mn5(Si2O7)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-758426 Co3Ag2(P2O7)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1196754 Li3TiCo3O8 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-752558 Rb5NdHf(MoO4)6 Prediction: 2 Actual: tensor([0], device='cuda:0') 
mp-1177996 V2MoO8 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-773145 ZnCr(SiO3)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1228095 LiFeBO3 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1205471 K3NaCr2O8 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-19209 K4Th(MoO4)4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-756700 BaTi18Mn3O38 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-759174 Rb2NiO2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-755818 Na3SmV2O8 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-31969 LiVFeO4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-686949 V2O5 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1224411 TaNi11(BO5)4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1183981 LiMn2Cr2O8 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-21275 CaCr2(P2O7)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1227081 KNi(PO3)3 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-24036 Li3NiOF3 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-758191 Li2AlVO4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-759499 Sr3LaTa2(FeO6)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1199680 Li3V12O29 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1182159 Fe2OF3 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1114473 V2Se2O9 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1220014 LiMnF3 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-756042 Mo4O5 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-649091 Li3NiPCO7 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1100935 LiFeSiO4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-628782 Li2CrNiO4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mvc-14348 Li2TiCr3O8 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1154479 LiCoC8(N2O3)4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1142857 SrVPO6 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1192562 LiCoAsO4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1228195 MoO3 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-757050 RbFeO2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1176857 FeBO3 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-780604 ZnFeP2O7 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-583967 PrMn2O6 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-559185 Dy2(MoO4)3 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-605034 CuW2O7 Prediction: 0 Actual: tensor([2], device='cuda:0') 
mp-1218686 Fe2O3F Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1223617 NaFe(SO4)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1218564 NaV5H18N2O19 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-771129 VBiPbO5 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-510638 Na2U(WO5)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-607026 LiCr(SiO3)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-542563 Ba2Co3O7 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-754331 LiTiFeO4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-757672 Li2Mn3(BO3)3 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-759163 Li(FeO2)3 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-1218702 LiNbFeO4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-779520 CoPO4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-504351 MnAsO4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-776080 SrNdCoO4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-753602 Fe2TeWC10SeO10 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-18982 Li3CrPCO7 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-561736 HfCrO3 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-18952 Li2VCrP2(HO5)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-850223 Li4Ni7(PO4)6 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1201219 V2NiO7 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-754498 KVBP2HO9 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1214404 Rb2Ti(WO4)3 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-504845 Na2CaV12O32 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-753740 RbFeSe2O7 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1179536 Rb2Cr2O7 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1105199 SrCaFe(PO4)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1176992 LiCoPO4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1194659 AlMo(WO4)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1209431 Li13Mn2O9 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-32389 LiMn2(CoO4)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-581326 NaCaMgFe(SiO3)4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-19042 Li2FeBAsO7 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-572375 LiMnPO4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-756613 Mg2CrWO6 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-504495 Gd2NiRuO6 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-752708 Ba2NbVO6 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-760079 FeBiO3 Prediction: 0 Actual: tensor([2], device='cuda:0') 
mp-754122 Rb7VSiO8 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1256989 ErSbMo2O9 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-757650 LiFePO4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-765650 Li7Mn2(CoO4)3 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-561519 Sr2ScNiPO3 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1210952 K5HfIn(MoO4)6 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-753151 Li2VO2F Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-766099 La7SmMn6(FeO10)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1211098 Li3Al2CoO6 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-761134 FeSb(PO4)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-754949 K4V2O7 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1174228 Na3VO3 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1204598 V2PH10NO11 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1227247 FeO Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-1176159 K3YV2O8 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1217217 Li2U4W4O25 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-758596 Li6AlFeO6 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-757405 MnNbO4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-782667 Li9Mn2Co5O16 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1192451 Sr2TiMnO5 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1213122 VIn(TeO4)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1285209 MoH8N2O5F2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mvc-15109 V3Pb5O12F Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-504566 V4O5F7 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-541075 Li2VO2F Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-531650 Mg30AlCrO32 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-760116 Yb6Mn25(Cl3O10)4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1228382 Bi10(MoO8)3 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-757277 Pr(FeO3)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1176920 K2VO2F3 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1193859 Li5FeO4F Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-645942 CoSbO4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1076354 NaV6O11 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mvc-3872 CaLaFeSnO6 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-505812 Ba2La6Mg4Ti3WO24 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1216762 PrCoO3 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1244729 HoTl(WO4)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1295198 LiMo2(PO4)3 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-1194639 CsTm(MoO4)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-33738 VOF2 Prediction: 0 Actual: tensor([2], device='cuda:0') 
mp-22974 Li3V3P8O29 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1202200 VPH5NO6 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1175006 Li2Cr2O7 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1176342 Li2CoNi3O8 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-557397 Ta2FeO6 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1641248 NaNiO2 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-777759 Zn(MoO2)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1639312 Sr3Fe2O5 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-558437 CrPC5Br3O5 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1257772 NaVWO6 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-1078318 Mg(CoO2)4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-753381 MgV2O6 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-41473 MnBO3 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-755280 Rb2Mo3SeO12 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-780154 UMo4PbO16 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-559188 Li6V2O5F2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1190551 K2LiVO4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-558215 NaVH2I2O9 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-776062 Li2V(OF)2 Prediction: 2 Actual: tensor([0], device='cuda:0') 
mp-1213193 Li2NiCSO7 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1195674 KLiNiO2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-768439 Sr4Al6CrO16 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1176867 Li3MnP2(O3F2)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-753713 FeC7(O2F)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-558402 MnZn2SbO6 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1211821 LiVSiO4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1205767 Mo3(PO4)4 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-772738 SrCo(GeO3)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1104265 LiY(MoO4)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-542031 Li8Ni(O2F)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1226176 Rb4Mo5H4Se2O23 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-554492 Li3CoPCO7 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-27912 CaLaFeAgO6 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-759836 CaFeP2O7 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1101655 MoO3 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1228024 TaVO5 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-677149 Li2VO2F Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1177952 Li3V3(BO5)2 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-19084 K4BaV6O18 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-19188 Ba3Mo2(NO3)2 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-1228437 MgFeAsO5 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-778801 Y2W2O9 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-757211 CsVOF4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1227034 FeOF Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-753558 Na3VBPO7 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-761279 VPPb3O8 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-18829 KPr(WO4)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-765130 Li4Mn3O8 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-770487 K5Na3(MoO4)4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1096877 NaMg30CoO32 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mvc-652 MnF3 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1196298 K2MgMo2(H2O5)2 Prediction: 0 Actual: tensor([2], device='cuda:0') 
mp-1099661 Li2Fe2(CO3)3 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-705013 Ca(NiO2)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-772029 ErCr2O2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1176681 LiTiV2O6 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-761471 Li8CoNi9O20 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1197982 La2Mo4O15 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mvc-14313 Sr4Fe4O11 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1265872 Li2V(CO3)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1228485 CoO2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1207861 Ba4LaTi4CrO15 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-772728 LiCrO2 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-1221016 Ni2P2(C2O3)3 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-752518 Fe3NiF6 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-540914 Rb8Zr(MoO4)6 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1213685 Li5Mn5O12 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1272749 K2Cr2AsHO10 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-772178 Mg(CoO2)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1221438 V2ZnO4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1202366 KFe3H6(SO7)2 Prediction: 0 Actual: tensor([2], device='cuda:0') 
mp-1565616 K2HoPWO8 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-754032 LiMnPO4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-778814 LiMgCr7(SO4)12 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-19275 Mn3Bi(CO)15 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-1113792 LiNd(MoO4)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-505392 Sr10Cu5Mo(W2O15)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1221693 Li7Mn2(CoO4)3 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1195697 V3P2O11 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-759125 Li2CoSn(PO4)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1195152 Ba3V4ZnO14 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1660522 Li5(NiO2)4 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-1189473 KFeP4(H2O7)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-704545 Ni(ClO4)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1190820 Cs2Fe2(MoO4)3 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1316547 NiPO4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1106150 Li4MnCo2O7 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-25207 Na4Cr2C4SO16 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1218828 BaCuWO5 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1212595 Cs2V(PO4)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-774826 NiBiPO5 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-17192 Fe2Mo4O7 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mvc-9015 CrF3 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1298652 Li3FeF5 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-759600 TiFeO3 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1208672 Al2Fe3F15 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-554700 Cr2O5 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1212177 LiFeBO3 Prediction: 0 Actual: tensor([2], device='cuda:0') 
mp-1267150 La2MoO6 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-756622 K5V9H20PtO37 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-754923 RbLiBi2(MoO4)4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1175488 Li9Co7O16 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1214034 CoH4SeO5 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-1210796 Ba2TiMnO6 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-744674 Ba3V4PbO14 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-776154 Ce(WO4)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-863961 K2RbSmV2O8 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-690544 Na3VPCO7 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-772044 Rb3Li2Al(MoO4)4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-626495 CoH9C4(NO2)3 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1227552 Na2VAsCO7 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-565836 Na2Fe2O5 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1205573 TlBi(MoO4)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-752844 MnSiO3 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-757393 CsY(MoO4)2 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-1218069 Te4Mo(OF4)5 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1076163 Li3Cr2P5O16 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-744260 LiNbWO6 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1210092 Li2AlFeO4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-19376 VO2F Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-18492 Na3VP2O9 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-773399 AlFe3Se2ClO8 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-17630 ScV(SeO4)2 Prediction: 0 Actual: tensor([2], device='cuda:0') 
mp-33255 Li2Ti3MnO8 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1189906 VOF3 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-18932 LiVMoO6 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1180870 MnH2SeO5 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-627606 Sr2VClO4 Prediction: 0 Actual: tensor([2], device='cuda:0') 
mp-1036757 NaLi2V3O9 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1193056 Rb2MoP2O9 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1224720 K3Co(NO2)6 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-653788 Na3V(SO)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1279252 DyWClO4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-607824 SrFeO2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-556026 Li4MnSi2O7 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-760981 Rb2U2Mo3O16 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-772235 CrPHO5 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-1226706 Ni(AsO3)2 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-18946 Sr2ZnMoO6 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-540729 Li4NbFe3O8 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1273059 LiV3OF11 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-27681 VOF3 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1304643 NaCoPO4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1226199 Li2Co3SbO8 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-18726 Li3V(PO4)2 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-774367 LiMnP2HO7 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-770940 AlMoO3 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1227627 Ni5O4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-764002 VMoO5 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1219784 LiCrSnO4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1205113 Li2MnO2F Prediction: 2 Actual: tensor([0], device='cuda:0') 
mp-755961 VZnSF5 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-849767 MnZnBiO5 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-1664125 LiFeSbO4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-775274 VSnH9(CO)3 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1220749 Ca4Mn2O7 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1182001 Ca3V2O8 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-541512 Co5SbO8 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mvc-10966 BaSrNiWO6 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-753142 UV2O8 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1274387 ZnNi3(B2O5)2 Prediction: 0 Actual: tensor([2], device='cuda:0') 
mp-17967 K2MnH2OF5 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-558757 Al2NiO4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-759509 CrPtO2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-777781 Li2CrSiO4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1317973 LaCrCuO6 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1286090 Cr12Fe7O48 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-510562 Li6V3P8O29 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-549671 Sr2Ni(SeO3)3 Prediction: 1 Actual: tensor([1], device='cuda:0') 
