mp-562767 KVH6SeO9 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-761415 NaY(MoO4)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-18781 Rb3NiF7 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-753270 Cr3FeO6 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1100507 ZnFe(GeO3)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1099913 LiTiCrO4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1220757 NaLa(MoO4)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-753558 Li5Mn4(P2O7)4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1218642 FeCuPO5 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-18807 MoO3 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1224963 Li4MnCo2O7 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-753686 Li2VCrP2(O4F)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-771705 ZrCrO3 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1209660 Rb2Zn2(MoO4)3 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1177227 Li4V3Cr3(FeO8)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1216392 LiMo2AsO9 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-704545 Li4Co(OF)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1202592 VH8N2O5F Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-780672 MgCrPO5 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-504994 FeH2C4N4Cl6O Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1178212 Sr4MoN4O Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-753103 Fe2C4Cl2O9 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-768607 Rb2Mo(OF2)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-36028 BaVSi2O7 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1173270 Sr7CaTi7MnO24 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-505424 Na6MnO4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-771575 VOF2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-540566 FeSb4C6(O3F11)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-753436 Rb3TmV2O8 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1037022 Ca6Mn3Al(SiO6)4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-19315 VP6(WO8)3 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-752846 Sr2MgMoO6 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-555519 CdFeO3 Prediction: 0 Actual: tensor([2], device='cuda:0') 
mp-1177943 TlMoPO6 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1177902 VAgO3 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-6164 Sr2CoGe2O7 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-545469 Cr2H2Pb4ClO10F Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-745139 SrV6O11 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1208009 Ca6Nd6Mn11CrO36 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-758195 Na2NiO3 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1195277 Li3V3P8O29 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-19052 KMn2Zn3(Si2O5)6 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1223053 CsFeO2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mvc-6007 Li3Mn2O5 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1003319 Li2MnO2F Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-558123 Li3V3P8O29 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-764589 Cs2VHO4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-772586 CsNa2Fe3P4ClO14 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-757004 Fe31Si5O48 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-767576 Li2Zn2(MoO4)3 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-559445 LaMoBrO4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-532759 AlCoO3 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-554090 Cs4BaV6O18 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1175909 Rb2FeHgF6 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-768711 Li2MnFe(PO4)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1176705 LiCoSiO4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1572819 Rb2Cd2(MoO4)3 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1221398 Na2Zn11(MoO4)12 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-776428 Mg3Co2(GeO4)3 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1213277 Mn5O9F Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1198767 Fe(NiO2)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-759491 BaNiP2O7 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1103214 Cs2Mo2O11 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1211658 LiFePCO7 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mvc-939 Mn(PO3)4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-757910 Eu2Mo3H2Se2O17 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1205217 VSnPO5 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-756414 Li2CoH8(CO5)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-755882 Y2Cr3O12 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-775904 Li2Si2NiO6 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-694856 BeCrO4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1281428 Ho2(WO4)3 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-698432 LiNiPO4F Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-758191 Na4CoAuO5 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-765149 Ba2PrV3O11 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-778253 CsVTeO6 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-556308 NbFeNi(O2F)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-772297 AlFeO3 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-765600 LiCoCO4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1105199 Co6O5F7 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1228561 GdV(SeO4)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-757471 K2MoO8 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-19461 Y(FeO2)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1190505 Li2V2F7 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-1222462 Rb2Cr2O7 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-1213521 Nd2NiO4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1203349 Ba2Fe2S2OF2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1213334 Rb2MnV2(ClO3)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mvc-3524 SrMnO3 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-553947 Li2MnP2O7 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-32308 Ho6WO12 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-755553 NiH12(N3O2)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1210849 LiV(CO3)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1078969 CoC12N8(ClO5)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-763247 Li2V3FeO8 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-759840 CrH12Pd(NO)4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1209152 VOF3 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-556766 CaMnO2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1295109 Li9Mn2Co5O16 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-694885 Li3Mn2CrO6 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1569015 Mn3Zn9(PO4)8 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1203442 ZnCrO4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-774935 Li2Fe3CoO8 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-755064 Sr3(CoO3)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-558437 Ti2CrO5 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-19590 Li9(CoO4)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-752991 SmTl(MoO4)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-756154 TbCu(WO4)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-758805 LiCoSiO4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-756530 Li3V3P8O29 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-774305 Zn3Fe2(SeO3)6 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-1195912 Ti(WO4)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-770544 Na6Mo11O36 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-1221409 NaFeAsO4F Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-703684 Li2Mn3P5O18 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1099627 La2MnCrO6 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-706518 Li9Mn2Co5O16 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1198412 Mg30NbFeO32 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-757152 ThV2O7 Prediction: 2 Actual: tensor([0], device='cuda:0') 
mp-1210573 Li9Mn2Co5O16 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1319461 Li3Y(NiO3)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-42264 Li7Ni(O2F)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-556429 Mn2Bi3Sb3O14 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1195983 BaCa(NiO2)4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1208045 Li6Mn3CoO10 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1203691 LiMnSiO4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-19406 La2MgMnO6 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1013565 VFe(PO4)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-774866 KMgIn(MoO4)3 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-26388 CoHO2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1198060 Mn(SbO2)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-761573 Ba2ZnMoO6 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-758414 Li3MnV(PO4)3 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-704731 Fe3(PO4)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1210051 AlCu(WO4)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-768691 MnCdO2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-772427 Cr3H8(NO5)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mvc-945 NaV3O8 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-1661813 LiV(PO3)4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1194619 RbPr(WO4)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-760032 CsY(MoO4)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1209888 NaLi2MnPCO7 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-754421 NaV2O4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-776398 LuVO4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-760008 LaCrBiO6 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-756947 LiFe2(CO3)3 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1212348 Mn3NiO10 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-18861 K3Na8FeH12S6(NO18)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1303634 NaNd(WO4)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1313420 BaGd2CoO5 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-756268 RbCr(SO4)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-778315 DyMoO4F Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-556960 Mg2Cr5(PO4)6 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-765004 Ho2(MoO4)3 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-647813 Sr3Y(CoO4)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-572452 Zn(CoO2)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mvc-7372 LiNi2OF3 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-22417 Na2MnP2O7 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-759285 Cs4V2S4O3 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-771339 LiNbWO6 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-18753 Li2VO2F Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-776473 Li4Y3FeO8 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-559938 Rb4Mo5H4Se2O23 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-752758 Na2Hf(MoO4)3 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1183981 LaMgFeCoO6 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1213769 Ba2Li3Y3(MoO4)8 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1221575 DyMoO5 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1177469 Ba3Na2Cr4F20 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-17450 Sr2Ca49Mo12N56O3 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-18737 Li3V3P8O29 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-540864 K4CrO4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1080507 Fe3(OF)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1567267 Zr(MoO4)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1100500 CrSO4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1661938 SmCu(WO4)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-770659 LiMnPO4 Prediction: 2 Actual: tensor([0], device='cuda:0') 
mp-19156 LiPr(WO4)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1274653 K2TlCoF6 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-850438 NiP2H24(C2O7)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1017466 CsMnMo(OF)3 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-753426 Ba3LaZnReWO12 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-581396 Mn3SnO8 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-764735 Ba2LaV3O11 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-561754 Ti3V2Cr(PO4)6 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-764019 LiNi(PO3)3 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-757778 MgV8O24 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1175059 Li2VFeO4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1197638 K2Mo2Se2O11 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1204421 K12Mo4S11Cl4O5 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-744631 Cd4MoW3O16 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-21798 Tm2MoO6 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-758521 LiCr2O4 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-1199170 CrPb2O5 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-752560 V9Sb7O32 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-1210545 Ba2V4Cd3O15 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1275120 FeSeO3F Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-753303 Nb2MoO8 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-776395 Li9Mn2Co5O16 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-1214393 SrMnZn(PO4)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-776440 LiCoPO4 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-773469 FeBr(NO)3 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1275528 TlV3(SeO6)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1227697 AlCoO3 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-757679 LaVO4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1297760 BaNiO2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-760228 BaV2CdO7 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-562513 SmMn2O5 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-19407 V2O5 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-623924 Li4Ti3Ni3(SnO8)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-561023 Sr3Fe2Cu2Se2O5 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-752972 Mn12O5F19 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-752824 MnH20C2S2(NO2)6 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-760911 Ce2WO6 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-753531 PrMgMn2O6 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1198378 Li2FePO4F Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1078719 Nd2Te3MoO12 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-555794 Mn3O4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1264019 Ta2Co4O9 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-705019 Li2VO2F Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-868632 Li3V3P8O29 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-759826 MnNi(BiO3)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-766025 Li3V(OF)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-636519 Ba2NdV3O11 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1567940 FeSb2WC8Se2(O2F3)4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1209095 Li2Fe3O3F5 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-773455 V2SnO7 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1078906 CoTe(PbO3)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-698264 Ca3V2O8 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-755129 RbLiCrO4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1211523 Ba5Co5ClO13 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-776062 LiV(TeO4)3 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1641247 LiNbTe2WO12 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1002574 Li2Mn2Si5O13 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1228399 Al2(FeO3)3 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1661928 LiMnCo3O8 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1209164 LiVAsCO7 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-863407 Mn(ReO4)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-540779 VCrO3 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1223629 Li2CoO3 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-38802 Li4Mo5O17 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-753501 LiMnPO4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-756223 MgV2O4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mvc-9235 SnMoH6(CO2)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-755733 TaTiCrO6 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-504678 VZn(SiO3)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1100488 Rb2MoO8 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-757011 Li3Mn2P2(CO7)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-625576 VF5 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1078473 Ba2MgMoO6 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-23637 Li3VO4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-761481 LiCr2O3 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1569484 Ca2MnP2(H2O5)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-699582 Li4Mn3O7 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1177632 Co3(PO4)4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1228414 Li2FePO4F Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-780162 Li3Co2SnO6 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-753220 TbTl(MoO4)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1192147 Li2MnP2O7 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1112565 TiFeO3 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-554381 FeOF Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-698316 YMoO4F Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1217930 SrNd5Fe6(AsO)6 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-19232 Nb15MoO40F Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-690844 LiNiPO4 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-776053 Li2TiMn2O6 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-757635 CrC5SO7 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-22526 VCoO4 Prediction: 2 Actual: tensor([0], device='cuda:0') 
mp-753475 RbLa(MoO4)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1100610 Ba3La7Mn(Co3O10)3 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-753281 Li10Mn23O48 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1201281 V2Bi8O17 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-18997 Ca2V2PbO8 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-17194 LiVCrP2(O4F)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1177036 KGaCoC4Cl3O4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-752540 Mg2Ta2Ni2O9 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1192849 Li3V3P8O29 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-849710 Li2Mn3O6 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-27031 MgCoH16(ClO2)4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1228142 VPO4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1191729 Li2VO2F Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1174862 VRhO4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-19412 Cr(ClO)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1218464 KCoF4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1191650 K2Te(MoO5)3 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1226266 Li4Co5SbO12 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1217217 Li2Mn4O9 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-626555 Na3Mn(BO3)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-18050 Sr3NiPbO6 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-28824 Na3NiF6 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mvc-4408 LiTi2VO6 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-644925 Yb(FeO2)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-760137 CsMoIO6 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1278576 VMoO5 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-694891 V2Cd2O7 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-764508 LiFe2(BO3)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1641016 NaNd(MoO4)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-755563 Li3Mn2O5 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1208356 ZnCr2O4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-752971 Li4VO4F Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-754491 VAsO5 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-558897 LiFe2(PO4)3 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-555540 Li2VO2F Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-650055 V3Pb5ClO12 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-757803 Mn12O5F19 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1317991 Rb2Te(MoO5)3 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1247560 SrLaVFeO6 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1210966 K2MgCr2(H2O5)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-24620 Sm3BWO9 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-705470 NaMnF4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-753672 Mg2CrWO6 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-770641 Li4CoTeO6 Prediction: 2 Actual: tensor([2], device='cuda:0') 
