mp-753489 Li3V2OF7 Prediction: 1 Actual: tensor([0], device='cuda:0') 
mp-849741 FePO4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1188566 NiH16(ClO8)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1204913 Zn3Co2O7 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1220800 Na2FePCO7 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1211556 K2FeCl5O Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-705409 Ho2VPO8 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-754669 Na2V2ZnO7 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-757294 Sr5Ti4FeO15 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1199268 CaFe(SiO3)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-703253 Li9Mn2Co5O16 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-1176009 Li4Cr(WO4)3 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-21874 K2Cr2NiO10 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mvc-613 NaFePH2(CO3)2 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-21275 Zn3Mo2O9 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-557893 CoGe(OF)6 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1021504 MnP2H12(CO2)4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1221475 Li4V2Fe5O12 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1180373 Dy2WO6 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1209266 Ta2CrNO5 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-20564 Hf(MoO4)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1038124 LiFeP2O7 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-771843 BaTlVO4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-999539 Li9Mn2Co5O16 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-561319 NpCrO11 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-1237325 CsMn2V2ClO7 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-850537 NaMnPO4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-756692 Tb3BWO9 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1222209 Li9Mn2Co5O16 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-559518 Li2VO2F Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1212309 CoH5SeClO5 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1227324 K2UCr(IO6)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-755561 Li9Mn2Co5O16 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-761056 BaCoO2 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-760216 CoO Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-24827 MoH12C2(N3O2)2 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-1174467 La2MnCrO6 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1201553 Cs3MnF7 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-1080742 MoC4IO4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-696903 K2SrVB5O12 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-763201 MnVCuO4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-554326 Cr(Bi7O12)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1197180 Co6P7O24 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-754807 Li2Mn3FeO8 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-753258 LiVPO5 Prediction: 0 Actual: tensor([2], device='cuda:0') 
mp-625532 Mn2GeO4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1204966 SmTl(MoO4)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-554533 K10Zr3Cd(MoO4)12 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1214829 Sr2Mn2O5 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-776317 Li3NbV2O6 Prediction: 0 Actual: tensor([2], device='cuda:0') 
mp-757672 Ni2P2O7 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-1200745 MgV2PbO7 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1279763 ThTe2WO9 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-756298 SrYCoO4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-765498 Li3V2(PO4)3 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-27503 LiSm(WO4)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-849504 Li3Fe8(BO3)8 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1215148 VZnPbO5 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-755906 VO2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1213174 Li2MnCr3O8 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1204388 CsMoAsH2O7 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-19894 CrBiO3 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-17950 ThV2SeO9 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-753105 Mn2H2SO6 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mvc-12912 KIn(MoO4)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1200940 Li4V3Co(PO4)4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-771308 K3NaMoC4(N2O)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-849432 RbSm(MoO4)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1200917 SrCrO4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1227697 CsMoN3O11 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-772296 TmWBrO4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1209347 LiCr(SiO3)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1227657 CrP4O11 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1003320 Cs2CaV2O7 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1209136 LiTiV3O10 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-630859 LiVSiO4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1228013 Rb2Mg2(MoO4)3 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1180698 ScV(SeO4)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1184033 LiFeSiO4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-558732 Ca8Ti2Mn6O21 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1288892 Li4Ni5Sn(PO4)6 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-1209482 MoO3 Prediction: 0 Actual: tensor([2], device='cuda:0') 
mp-1202541 Ba3V2O8 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-773627 Cu2WO4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1211586 CaNd3Mn4O12 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-560259 Na2MnO2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mvc-5120 FePO4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-23628 Ca4Al6CrO16 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mvc-765 Li2CoO3 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1177757 MoH14C6N2(O2F)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-752639 Li3V3P8O29 Prediction: 2 Actual: tensor([0], device='cuda:0') 
mp-19212 AlCoNF6 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-754657 Na3MnBAsO7 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-756764 Li3Mn2O5 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-642938 NiP4O11 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1286807 TbSbMo2O9 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-550454 NaLiV2O6 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-768847 Ca3Mn2O7 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-1221027 MgFe2O3 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-746702 Ba2CaMoO6 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mvc-3999 Li4V3O8 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1202580 V2Ni(TeO5)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-755934 Ce3W(ClO2)3 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1218701 Li2FePO5 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1202981 VF5 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1212753 KV2PO8 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-774676 Li3Ti3CrO8 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-557912 Li2VO2F Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1571054 Fe2W4S2O9 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1211726 Li2FeSiO4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-735483 Al2CoO4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1195277 Co(HO)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-756275 SrNi2P2(H2O5)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mvc-10556 Ce(WO4)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-755687 KVPbO4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-753972 Li9Mn2Co5O16 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-505253 K3NaCr2O8 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1201957 Na3VO3 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-769629 LiFeSiO4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1196974 VPO5 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-753488 Li4Cr5Sn3O16 Prediction: 1 Actual: tensor([0], device='cuda:0') 
mp-863361 K4Th(MoO4)4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-642398 Li2MnSnO4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-556417 MnCd4O5 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1180459 LiMnO2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1286090 Ba2MoO3F4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-771339 PrMoClO4 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-1226197 Li2TiCr2O6 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-779605 La2Te3MoO12 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-772830 LiFeSiO4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1216116 LiMgIn(MoO4)3 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1227662 LiCoSiO4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-755614 Ca2Fe2O5 Prediction: 2 Actual: tensor([0], device='cuda:0') 
mp-558402 Ni3(PO4)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1100644 Rb4Fe2O Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1218746 BaTeMo2O9 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1217235 NbCrO4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-694934 ErWClO4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-504994 CaCo3O7 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mvc-5772 V2Bi4O11 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1176462 RbNa2V5H10O19 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-771310 LaMgTiFeO6 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-768711 Ba3LaV3O12 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-760940 FeBiO3 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-761085 LiV2OF5 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1297691 LiCrPO4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1174793 Li2CrAsCO7 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-766424 K2Cr2O7 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1298582 Ba2Mn(BO2)6 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1193927 VOF3 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-756165 CsLiCrO4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-756488 LiFeSiO4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-754256 NiMoO4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mvc-10959 AlVO4 Prediction: 0 Actual: tensor([2], device='cuda:0') 
mp-755628 KMn2Cr2O10 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-753281 Sr2V2O7 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mvc-10015 CsMoO2F3 Prediction: 0 Actual: tensor([2], device='cuda:0') 
mp-778884 Li4Fe3(CoO4)3 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-15405 Li2MnV(PO4)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1196885 Ti4Fe2O Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-18207 LiMnNbO4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1661813 Li3NbV2O6 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-542018 Ba2NiWO6 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-752988 Na2FeO3 Prediction: 2 Actual: tensor([0], device='cuda:0') 
mp-1285067 KMn(SeO4)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-616565 Li3Mn(NiO3)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-505236 Cs2Mo(SO)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-19114 V2CdO6 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1079069 CaVBiO5 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1201096 Sm2(WO4)3 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1175607 YAg(WO4)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-759911 MnP3H6NO7 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-863397 Ba3V2(SeO4)4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-756413 Li2Mo4O13 Prediction: 2 Actual: tensor([0], device='cuda:0') 
mp-1095337 NiH12SO10 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-31124 Li2Ti2Mn5O12 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1211110 V3OF11 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1213354 MnO2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1223057 LiV(TeO4)3 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-753584 Li2V2(SO4)3 Prediction: 2 Actual: tensor([0], device='cuda:0') 
mp-1202459 MnNiP2O7 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-774243 CrP2H13(NO5)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1177705 Li4Co5SbO12 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-757449 RbLiNd2(MoO4)4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-775993 Li3V(PO4)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1182595 LiVCO4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-560118 RbSc(WO4)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1198550 VPO5 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-600169 Li3V2FeO6 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1239492 V2O5 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-18807 CoH4(CO3)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-556461 Na3TbV2O8 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-753602 LiV2O5F Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1276866 Li2CoGeO4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-763489 LiAlFeO4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1175051 Cs2Ti(WO4)3 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-19400 Li2CoO2F Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1207601 Li4Mn3O7 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-556692 LiMnPO4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1175960 Ca3MnO4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-760182 Na6CoO4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-755473 Pr2MoO6 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-697742 TlFe(SO4)2 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mvc-859 CoOF Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-625576 ErMoO5 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1214986 Li2Cr3CuO8 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-510015 Na2Cr(HO)8 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-23111 LaPr3Mn4O12 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-755965 LiMnPO4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-774897 MgCrNiP2O9 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-756340 VOF3 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1210796 YVO4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-760175 MnZn2WO6 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-615444 SrLa3Cr4O12 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-770887 Li3V3P8O29 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-756322 NiBiAsO5 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-21512 Li2CoP2O7 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-704604 LiVO2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-754746 BaMg30NiO32 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-755986 Li3MnV(PO4)3 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-757842 AlNiAg2F7 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1222327 MgVO3 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-753791 Li4V(PO4)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-756873 NaCa2V3Zn2O12 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-19123 KLiEr2(MoO4)4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-757345 Li2TiVO4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1075962 RbAl(MoO4)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-555068 Fe4OF7 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1180439 CaFeO3 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-985626 Li2Mn3CrO8 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1207903 La3FeW(SO2)3 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1174128 LiVCrP2(O4F)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-554960 U3Ag6Mo5O27 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1207219 CoH12PdC4(NO3)4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-757451 VF5 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-23785 CrO3 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-757128 Li7Mn5O12 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-755942 NaVO3 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-697556 Ho2Mo4O15 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1196122 Al2VO7 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-715566 Sr4Ca4Co7CuO24 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1174346 ZnCrO4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-752697 Ca2MnWO6 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-510749 CaMn(SiO3)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1176413 FePO4 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-867555 LaAg(MoO4)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-755234 LiMnO2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1113514 Ta2Mn2O7 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1567247 TbV(SeO4)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1221384 Al2Cr2O7 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1214505 LiFe(SiO3)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-943492 Na2Co2O3 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-780676 K2CrPCO7 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-753736 Li3MnFe3O8 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-760105 CsTm(WO4)2 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-765582 LiFePO4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-643561 RbHo(WO4)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-777414 KFeC6(NO)3 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1298313 VF5 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-754949 Rb2Cr3O10 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1222576 LiMnPO4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-772101 Ba2YV3O11 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1227801 CaVO3 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-756582 Li2Fe(PO3)4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-19188 Sr2Li2NiO4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1221180 CaCr2O7 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-24125 Li2AlVO4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-851087 NaLa(MoO4)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-756243 Li7Mn8(BO3)8 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-756278 Dy2WO6 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-850412 Li7Mn2(CoO4)3 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-554787 Li3V2(OF)3 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-867643 VPO5 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1199552 LiMn4O8 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1182626 Li2CrO2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1182780 Mo2H26C8N2O5F6 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1213319 Mo4H12N2O15 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-561272 Ca8Al11Fe(Si3O13)4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-761173 Li2MnO3 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1209157 Li2VCo3O8 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-756667 BaMoO4 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-1227834 CoF3 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-758543 CoSnF6 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-849749 Na3VP2O9 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-768104 Li4VO4F Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1187773 LiCrSiO4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-773547 Cr3(PO4)4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-770349 Mn2O3F Prediction: 2 Actual: tensor([0], device='cuda:0') 
mp-757157 Li2Mn3NbO8 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-759317 LiVPO5 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-530102 Mn5(FeO3)4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-19232 CeTl(WO4)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-18740 Li3CrO4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1209767 CaMn2O4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-772121 RbLu(MoO4)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-684742 LiFePO4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-752618 Li4V5Ni3O16 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1222923 Li3CoPCO7 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1213682 Li2VO2F3 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-645513 MnF3 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-759803 CoAuO2 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-12194 Li2MnO2F Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-849437 Fe(HO)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-559589 VO2F Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-780612 Li2MnOF3 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mvc-4408 VPH6C2N3O7 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1228762 Li2MnFe(PO4)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1002573 VPO5 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-774828 Na3Co2SbO6 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1099810 Nd3VGeO9 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-772502 Li9Mn2Co5O16 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1210161 NaCoO2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-540169 Cs2Na8U8Mo5O44 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-559851 V2O3 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1197638 Al2NiO4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1102979 KFeP4(H2O7)2 Prediction: 1 Actual: tensor([2], device='cuda:0') 
