mp-1176091 Li5TiMn3O8 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-757335 LiCoPO4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-756959 Mo(HO2)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-555385 BaCr2O4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1177023 Mg3Fe2O5 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-753584 Mn5VO12 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1206786 BaMnO3 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-767632 CoH15Br2(N3O)2 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-764234 Fe3O5F Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-16678 Li2VCrP2(HO5)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-777758 Na2SrMnV2O8 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-19422 NaLiV(OF)2 Prediction: 2 Actual: tensor([0], device='cuda:0') 
mp-756442 ThTe2WO9 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-780508 SrMnO3 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-867765 LiCoPO4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-557872 Li3Fe(PO4)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-759404 Mn2FeO6 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-699552 LiVO2 Prediction: 0 Actual: tensor([2], device='cuda:0') 
mp-849362 CoPH21N5O7 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-779360 Fe10O11F9 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1176379 TlVO3 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-759469 LaFeO3 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1276200 Li4V3(FeO6)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-19054 Co(PO3)4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1198591 Ba2Ti4Cr2O13 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1209990 Co2OF3 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1223548 K4Ni(NO2)6 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1283043 LiNiO2 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-1193468 Co3OF5 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1204140 MgTiCr(PO4)3 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-557086 NaV6O11 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-715574 Li2FePO4F Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-755754 Fe5O7F3 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-1227538 K3YV2O8 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-756520 Ba6Pr2Co4O15 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-505766 LiCrO2 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-758834 KSc(MoO4)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mvc-8536 Ho2(MoO4)3 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-31690 CoBiO3 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1104615 PrMoClO4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-19202 Ba3TiZnWO9 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1202595 Pr2MoO6 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-773513 LiNd(WO4)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1003637 TiCr2O5 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-770518 Li7Mn4CoO12 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-768304 KTb(WO4)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1201772 Mg30CuNiO32 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1196327 NdV2IO9 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1101655 Li3Cr(PO4)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-753647 MnAlO3 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-1193081 VF5 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-1190911 Li2Fe2(CO3)3 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-756409 CaNiO2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1212305 VH7(CO2)4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-753244 Na2CoAgF6 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1297680 VPO5 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-755564 FeOF Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-863375 MgFeSiO5 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1197428 Li2Mo4O13 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-556220 Li3MoP2O9 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-754995 K3Fe5F15 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-753377 Li2(NiO2)3 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1175043 Mn9Zn2O13 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1216518 Li2CoGeO4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1210843 LiVSiCO7 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1176588 Li2Mn3WO8 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1177982 Cs2ZrMn(MoO4)4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1095213 LiMnO2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mvc-10211 SrFeO2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-558848 CoP3H16N4O11 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1194158 CsTaCo(OF2)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1284605 Li2MnH4(SO5)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-27016 Li2FeSn(PO4)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-765646 Y2V3O9 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-31218 Li2MnPCO7 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-773430 V5(P3O11)2 Prediction: 0 Actual: tensor([2], device='cuda:0') 
mp-22938 LaBMoO6 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-761573 Li3NiPCO7 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-756192 BaCrO4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-541493 V2MoO8 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-753926 K2VOF4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-697815 Rb2TlCoF6 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1228549 DyVO4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-774872 ZnMo2O5 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-1193349 MnCd4O5 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1201834 NiHgO2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mvc-15898 Zn(Mo3O8)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1173621 Mn2Hg(CO)10 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mvc-10467 LiNiPO4 Prediction: 2 Actual: tensor([0], device='cuda:0') 
mp-1569231 Li4MnF7 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1103543 LiY3WO8 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-754097 Li5Mn(CoO4)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-764510 LaFeAsO Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-849436 Li3VF8 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-758949 Li3VF6 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-640894 Li3MnCoO5 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1201553 Li2V5O12 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1211523 AlCoO3 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-25292 K2Be3Ni2F12 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-755536 BaYMn2O5 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-1219794 BaNb4(FeO7)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-542031 Li9Mn2Co5O16 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-765149 La2CoO4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1228163 Ca2MnO4 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-1568802 K2NaMo(OF)3 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-756322 BaLi2NiO3 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-558830 LiMn2(BO3)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-555776 VBi(PbO3)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-776880 Li2FeO2F Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-754654 Li5NiOF5 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-541137 NiH2SeO5 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-1103779 Be(CoO2)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1224026 LiVO3 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-778554 Li2Mn2F7 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-753110 CrAgO2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-684724 Mo2AsH18C6NO12 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-554226 LiVBO4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-18057 VAsO5 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-18041 FePbC5N6O Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-777388 Li3V3P8O29 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-772666 Ta2CrNO5 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-754697 MoP4C5S3O5 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1205190 Li4Co5SbO12 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1226239 Nd2(WO4)3 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1207903 V2PH10C2N2O8F Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-775544 Li3V(H6O5)2 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-1311658 LiVP2(HO4)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-743878 Li5Co3(SnO5)2 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-558909 Li2V(PO4)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mvc-5693 MnZnP2O7 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-19497 Mn2FeO6 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1662148 K2SmMoPO8 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1211391 Li2Cr(H2O3)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1218351 Li2VNiO4 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-1193172 VO2F Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-649492 KSrVO4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-554750 FeSO4F Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-704623 TiMnO3 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-557093 FeOF Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1180698 Li5Mn2(PO4)3 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-757456 Sr2NiWO6 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-758092 Rb3V(SO5)2 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-554101 BaMo4(PO8)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-19120 LiV8F33 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-691106 MoP2O7 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-765311 Ca2VWO6 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-762840 Li3CoPCO7 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-1213217 Sr2MnNbO6 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-752650 FeP2CO8 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-19034 NiH12S2(NO5)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1218440 Li3V2P2O8F3 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-756298 Ca3Fe4(WO4)6 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-775949 BaLaMn2O6 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1213660 Li2CrSiO4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-541148 V5O7 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1311816 Li3Fe8(BO3)8 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-26791 LiMn2(BO3)2 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-760367 FeP4O11 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1114359 Li2MnV(PO4)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1208718 LiCo(CO3)2 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-1197982 Li3CrSiO5 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-540715 CoAgPO4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-558367 Li7Co5O12 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-1181138 Li2VCr(P2O7)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-19256 LiCoPO4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mvc-7964 LaTaZnFeO6 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-770752 Sr10Mg5Mo2(WO10)3 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-753624 BaTeMo2O9 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1222327 SrMo2(AsO6)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-644334 Ca2VClO4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1228103 V5Bi17Pb5O43 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1226357 CaV4(CuO7)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1211413 LiMn(PO3)4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1080507 Li2FeO3 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-776061 Li2VCrO4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-772626 CoF3 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-556723 Li4Ni(BO3)2 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-760838 LiFePCO7 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-558765 LiVPO4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-31940 KMo5O13 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-31518 ErBiW2O9 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-777960 Na6MnO4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-504506 Ga2WO6 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-19226 Na2Mn(SO4)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-752653 BaMg30MnO32 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-558850 V3Pb5O12F Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-753791 Fe6OF11 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-556077 V3Zn2O8 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mvc-2589 ZnNiP2O7 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-704546 UV2O8 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-644925 LaFeWO6 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-767265 YFe(WO4)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1178826 YFe4(CuO4)3 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1201718 Li4CrO4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-559172 Li9Mn2Co5O16 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-776428 Ce(WO4)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-753464 VO Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1644021 MoO3 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-755319 LaFeGe2O7 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-772415 Li2V2O5F2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1217532 Li4Ti2Ni3O10 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1173115 TiMn3O8 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-616160 BaMo2(PO6)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-554835 Mn6BiPO12 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1173999 Li5Mn5Cr2O12 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-19215 Rb7U8V2ClO32 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-756965 Cs2Na8U8Mo5O44 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-19406 BaMo3O10 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-1567250 Na2YPWO8 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1213310 Li3FeOF3 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mvc-14431 Na2NiO2 Prediction: 0 Actual: tensor([2], device='cuda:0') 
mp-18906 Fe2Pb3WO9 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-1218326 Eu3BWO9 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-766032 Mg2MnSbO6 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-757948 FePHC4(OF)3 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-760208 Li5Mn2CoO8 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1205476 VF5 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-558057 LiMn3P3(HO6)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-754248 Mo(PO4)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-849287 Li2FeSiO5 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mvc-7845 NdFeC6(N3O2)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-766838 LiVSiO4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-29747 VMoO5 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1238260 K2ZnCr4(HO4)4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-504678 HoMn2O4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-26081 V3(FeO6)2 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-504967 Li5NiHO4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1174503 LiMo3P3O16 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-562661 Li32Ti3Cr13O48 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-772509 FeMoClO4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-867782 Ba2LaV3O11 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-1228358 Ca2FeP2(H2O3)4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-604490 TmTl(MoO4)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-554786 BaMnCO3F2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1218317 Li3Co2(SiO4)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1287556 Li2CoSiO4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-753664 HoMoClO4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-16772 LiCrFeO4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-559445 Li2MnSiO4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-558376 LaMoClO4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-744843 LiFeBO3 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-557931 Na(FeO2)2 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-19363 Rb2LiMoF6 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-849339 La2CrO6 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-546936 CsPr(WO4)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-752810 Li2Fe(SiO3)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1211734 Ho2VPO8 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1177238 VPO5 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1214418 LiCoP2O7 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1302039 CrSO6 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1196001 Li3V2OF7 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-616232 CaMnO2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1213570 V(AgO)4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-556847 Ba3Cr2WO9 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-549058 PrTl(MoO4)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1218705 LiV(CO3)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-16814 SrLiTi3Cr2O11 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1223759 Ni(AsO3)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1209368 Na2Mo(H2O3)4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1209234 Rb3ScV2O8 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-775240 V2Zn4O9 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-672176 Li8FeO6 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1003322 PrCu(WO4)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1202439 LiFeSO4F Prediction: 0 Actual: tensor([2], device='cuda:0') 
mp-756502 Li6Cr2O7 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1097060 KTm(MoO4)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-753491 SrDyCoO4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-753997 Li2Mn(SiO3)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-850944 Y2Mo4O15 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-705670 VOF3 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-765352 Rb3YV2O8 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1307330 Rb3TbV2O8 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-771650 CsCo(CO)4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mvc-8296 K2LiMnPCO7 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1569717 Ba3LaV3O12 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-753797 FeHO2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-24296 Sr6Ti3FeO14 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1173260 Li2CrO2 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-1576561 CaMn7O12 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-24068 Li4Mn(PO3)6 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mvc-10586 V2O5 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1641604 Ni3Sn(PO4)4 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-776969 CaFeP2O7 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1220416 K4Co2O5 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1194859 Li3V(Si2O5)3 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1218235 K2VH4C4O9 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-1218491 Li4Cr3GaO8 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-561026 BeCrO4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-559481 Li3V3P8O29 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1101661 Na6Cr2As(CO4)4 Prediction: 2 Actual: tensor([0], device='cuda:0') 
mp-1227671 FeS2NO20 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1175845 Li6Mn2O5F2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1196510 Li3CoPCO7 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-698695 Cr13Si2(SbO14)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-867993 VPO5 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-781591 Na3FeC6O17 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-780111 Rb2CoP4(HO2)8 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1208903 NaBi(MoO4)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1177492 Mg30ZnCoO32 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-541918 Li2VPO6 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-25284 La2Fe2Se2O3 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-19752 TiCo3O8 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-505271 Li3Ti3Fe(PO4)6 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-776152 Li3Al2VO6 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-603946 Ag6Mo10O33 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-775322 V2SnO7 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-754949 Li4Mn3CoO8 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1226235 Li3V3P8O29 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-849432 Li11(FeO3)4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1192129 Ho2WO6 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-21126 CoBP2HPbO9 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1209123 Li6Mn15O32 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1214335 LiMnPO4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1278467 FeAs2Pb4(ClO2)4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1173919 Na2Fe7(PO4)6 Prediction: 2 Actual: tensor([2], device='cuda:0') 
