mp-777279 U(MoO6)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-756268 Li5CoHO4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1194023 SrNi2P2(H2O5)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-770874 LiMnO2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-561954 Cr(Bi7O12)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1221409 Na2CaV4O12 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-651279 VFeP2(O4F)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-556026 Na3Co2(GeO4)3 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-627380 Li3Mn2O5 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-758636 Li4V3CrO8 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-761244 Li2NiBiO4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1214034 Li3V2CoO6 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-558850 Dy2VO5 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-867650 MoO3 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-758760 RbDy(MoO4)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-754421 Cr2CdH14(NO2)4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-758123 MoF6 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-864958 Li3MnCoO5 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-772396 FeSbO4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-19499 KSb(MoO4)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mvc-424 Ce2MnSb2O Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-19232 CaMn2(H2O3)4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1228131 CrAuO2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1272149 Li3V3P8O29 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1100926 CoPO4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1310460 Li2CoSiO4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1201718 MoPbO4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-753531 Na8CoO6 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1207861 K2Mo2Se2O11 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-715474 K5HfIn(MoO4)6 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-641097 Ba2MnGe2O7 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-770659 Ta3NbV4O20 Prediction: 1 Actual: tensor([0], device='cuda:0') 
mp-769483 CaNiSbP2O9 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1286209 LiMnO2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1193468 NaFePO4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-756665 ErMnFeO5 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-704546 Li3Mn(PO4)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1201180 Na(FeO2)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-755171 SrV(PO4)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1176798 V2Zn2O7 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-772183 Rb2TeMo2(PO7)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-752589 KSm(WO4)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-867686 Li4Fe3(OF3)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-18725 Li2TiFeO4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-546989 V2ZnO6 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1213346 V2Bi8O17 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-755022 LiVF6 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-1210711 TiCrO4 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-1192455 CaFe(GeO3)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-757277 La2GaNiO6 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-744579 VOF3 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mvc-9167 LiMnF3 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-755234 Li3Cr3(PO4)4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-540984 Tl2Co2(SO4)3 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-867733 Li2NiP2O7 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1274229 Ba2La6Mg4Ti3WO24 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-757406 MoH4O5 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1193015 V2Zn2O7 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-755490 LiVPO4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-560148 Li32Ti13Cr3O48 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1661785 Na2CrCSO7 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-1095170 LiCrPO4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1038041 CrPdO2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1290104 Li3VO3F Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1205471 ErCu(WO4)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-742819 Cu2NiSnO4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-780579 YWClO4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1218388 LiMn2(BO3)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-505392 Co3(PO4)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1279062 MnO2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-625714 VO2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1177572 Mo(HO2)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1208685 Li2Cr3WO8 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-756107 Sr2Fe2H2OF10 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-636950 Li9Mn2Co5O16 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mvc-15109 Li2Ni4P4O15 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-770628 Li4FeNi5(PO4)6 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-554326 SrCo(GeO3)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1095252 Ba2CaMoO6 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-18890 Cs2CrH2Cl5O Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-555981 Ca3Si3(NiO6)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-17950 Li7Mn2(CoO4)3 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-849631 SrFe4(CuO4)3 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1214368 Rb2Cr2O7 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-769530 Li2Ti2MnNiO8 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1283625 Ho5Cu(WO4)8 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-650024 Pr2Te(Mo3O23)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1212988 MnH4(OF2)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-756320 LiCoPHO5 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-555114 Li5V3P8O29 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-768841 Li2FeP2O7 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-773176 BaYbFe4O7 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1203598 Li7Mn2(CoO4)3 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1201927 Li3CrP2HO8 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-976868 ZnCr(SiO3)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1076199 TlV2SbO8 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1216516 LiV(TeO4)3 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1199088 CrCuPPb2O9 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-776650 Li3Fe2(SiO4)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1567247 MgCu3(WO3)4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1297665 ZnCrO4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1282829 LiCoPO4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-772682 K2Be2NiH6F8 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-758798 Fe2O3F Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1204388 NiH8C4(NO3)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1281606 Li10Fe2Co3Ni3O16 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-849502 La3SmCr2(FeO5)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1178874 Ba9Ca3La4(Fe4O15)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mvc-2562 Ba2MoO3F4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-25304 LiCrPO4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-765196 ThV2PbO8 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-773607 CrO3 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-1194870 Rb2U2Mo3O16 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-758931 RbVO3 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1569484 Li2VO2F Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1220757 Fe4SiO9 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-17138 Sr4Al6CrO16 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-849390 Li9Co7O16 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-18611 La2MgMnO6 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1224232 Li9Mn2Co5O16 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1193081 CrBi12Mo4PbO34 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-556401 SnMoH6(CO2)2 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-16924 Na5FeO4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-756046 TiFeO3 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-698670 K2CrO4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-555560 NaMn8O16 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-630867 La7Sm(Fe2O5)4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1196885 Pr2MoO6 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-758954 Na6U2Mo4O21 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-849650 Li2CrPCO7 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-867723 Rb2Cr3O10 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-1206523 Na3Mn2P2(CO7)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-756999 Rb2MoAs2O9 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-645513 Mn3(OF2)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-27309 Ca3Mn2O7 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-753871 MnZn4O5 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-753062 Li4Ti2Mn3O10 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1315316 CsSc(WO4)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1232437 Na2MnPCO7 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1197292 KV5Zn(H8O11)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mvc-12205 Pr5Te7MoCl3O23 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-626549 V2Sn(PO4)3 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-705194 Li3Ni5O8 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-504845 Fe2O2F5 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1211754 Li2Cr2O7 Prediction: 1 Actual: tensor([0], device='cuda:0') 
mp-1196132 LiMnPO4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-758285 Li3V3P8O29 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-761129 VF5 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-19087 K3VO4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-753595 K5Na3(MoO4)4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-760066 Cr3B7IO13 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-555799 Ba3Sr(MoO4)4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-768872 Li3V(OF)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-758589 Li5Mn2CrO8 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-759726 Ba2La3Ti2Cr3O15 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-19146 Li3FeO2F Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-759719 MgV2O6 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-572430 K3Cr4PO16 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1308917 Ba2NbFeO6 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-772268 Li3Mn2Fe(BO3)3 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1217766 ZnCu4(WO4)5 Prediction: 2 Actual: tensor([0], device='cuda:0') 
mp-1173115 Rb2Mo(IO3)6 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1104205 CsEr(MoO4)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1282624 CrP2O7 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-1213813 Li2VGa3O8 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-558638 CaCo3P3O13 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1211854 V2Bi4O11 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-753494 Ba3Mn2O8 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-755167 LiMgVO4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1208190 CrB2(PbO2)6 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-773525 LiMnPO4 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-1189523 TbWClO4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1096881 Cr2HO4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-30901 NaLiMo(H2O3)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-772241 Li4Mn2V3Cr3O16 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-757152 ThV2PbO8 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1203404 CsVO3 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-772434 Li4V3Fe3(SnO8)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-752941 Li2Co(SiO3)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1303453 ZnCrP2O7 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-758736 Li3Fe(BO3)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-585400 CsK2LaV2O8 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mvc-11947 CsV3(SeO6)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-773126 TiV3O8 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-557548 Li2V(Si2O5)3 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-561186 Li4Co3Sb5O16 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1216403 RbCr(SO4)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-770924 Ca(FeO2)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1248912 Ti2CoO5 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-18659 Ta2CrO6 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mvc-662 SrCr2O4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-626068 Ba3NiSb2O9 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1227869 LiMnP2O7 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1104615 CoO2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-770903 Na5Mn2As(CO4)4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-772093 BaCoF4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-19137 Na3ErV2O8 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1226159 KMnP3HO10 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1173762 Li2Mn(SO4)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1178209 Na2FeO3 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-1215732 LiFe(SeO3)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-753011 VAgO3 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1253395 LiNiPO4 Prediction: 2 Actual: tensor([0], device='cuda:0') 
mp-1194388 LiFePO4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-22243 V3OF11 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1200408 CrFe(BiO3)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-754378 NaNi2BiO6 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-756162 Li3Nb4NiO12 Prediction: 2 Actual: tensor([0], device='cuda:0') 
mp-849995 LiMnVO4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-765199 LiV3(O2F)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1224205 Li9Mn2Co5O16 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-558066 Fe4OF7 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-558700 CaFeBiO5 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-651122 LiMn(PO3)3 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1200063 LiVPO5 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1114473 Al2NiO4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-753534 Mg(FeO2)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1218517 VZn2HO5 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1222326 Li3Mn2O5 Prediction: 2 Actual: tensor([0], device='cuda:0') 
mp-997158 Tl2CrO4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-761066 Er10W2O21 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1217159 Na12Mn3S6(O3F)8 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-695069 LiMnPO4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-642975 Sr3Ca6V7BiO28 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1222159 LiVFeP2(O4F)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1143651 Sr10Mg5Mo(W2O15)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1211038 K2VPO6 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1305082 ZrMoWO8 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1205736 AgMoPO6 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mvc-14229 VOF3 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1215061 MgCr2O7 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1218686 Na2MnSiCO7 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1666679 CaMn3(P2O7)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1289814 Nd2MnFeO6 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-1200763 Li2FeCo3O8 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-763217 LaVO3 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-715333 K2Mn3P4(HO3)4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1221877 AlVO3 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1296214 FeCoPO4F Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-776960 Sc2W5(SeO4)3 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-19484 CaThV2O8 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-770890 Li3V3P8O29 Prediction: 2 Actual: tensor([0], device='cuda:0') 
mp-1195527 VOF3 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mvc-15457 LiCrCdF6 Prediction: 2 Actual: tensor([0], device='cuda:0') 
mp-1178212 Cr2WO6 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1196001 VPO5 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1227697 NaCoO2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-18989 VOF3 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-768464 Co3Bi(CO)9 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-684872 Mg30NbNiO32 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1639328 Li2VOF5 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mvc-920 BaCo2(PO4)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-756192 K2SrVB5O12 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1199739 Y10W2O21 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-18827 Li2Ti3NiO8 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-752944 Mo3NO9 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1181578 Li4VO4F Prediction: 0 Actual: tensor([0], device='cuda:0') 
mvc-7987 V2Pb4(Se2O7)3 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-776047 LiNbVO4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1205690 VOF Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-765311 CaCrH2O5 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-766043 Li3V3P8O29 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-530877 NaGa(WO4)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1037136 Na2FeHgF6 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-774705 YMn3Se2ClO8 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-558830 CoO2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1275839 Mg2Tl2(MoO4)3 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-752946 Li4V2Si(PO6)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1213168 Co2SnC8(ClO4)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-754450 Li4MnCo2O7 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-743726 NiH12SO9 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-752883 Li9Mn7O16 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-754513 Li4Ti2V3Cu3O16 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1261316 LiFe4(PO4)3 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-705013 ZnCr2(PO5)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-760963 Er2(WO4)3 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-755932 MnWO4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-627119 Sr2FeO3 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-504566 Li2V3FeO8 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1227254 Li2VGa3O8 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1195447 Tl(MoO3)3 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1076048 SrCrBi12(Mo2O17)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-17264 Li4MnCo2O7 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-778904 LiVO2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-19021 Tl2Cr2O7 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1647131 Li2FeWO6 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-778252 VAgO3 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-31517 V2O3 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1207648 Ga2(WO4)3 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-757345 Cd(CoO2)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-557413 Ba2NiTeO6 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1201096 Li3MnVP2(O4F)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-850339 LiMnAlO4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1220829 Li5Mn4(P2O7)4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1177939 NiH5CN(ClO)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mvc-12902 V9PO25 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-867728 Li2Cr4O13 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1106004 Mn7(AsO4)6 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1096875 MgCrO4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1076147 Nd2W2O9 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1273212 KV3(PO4)4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-542029 Y2CrFeO6 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-758296 NaNbWO6 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-761051 Mn7Cr(PO4)12 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-622558 LiCoPO4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-532028 V2O5 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1282857 LiCoP2O7 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1191380 Li3V3P8O29 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-754669 Li2NiP2O7 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1220913 Li6MnVP2(CO7)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-17006 CoH14N5O9 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-768391 LiVF5 Prediction: 2 Actual: tensor([2], device='cuda:0') 
