mp-765498 Na3NiBSO7 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-756275 Ca2Fe3O8 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1212689 Na2TmMoPO8 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1210051 Mn2P2O7 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1205238 LiFe2(PO4)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-768862 CoH4(CO3)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-30901 Ca4Mn6Si5O28 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-17591 FeO2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-744832 KRb2Mo(OF)3 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-704731 Ba5V5O14 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-770761 Li2Mn3NbO8 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-584012 RbTb(WO4)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1175942 Li4MnCo3(PO4)4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-27877 Ca2MnSbO6 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-559672 Ba2MnZn2(AsO)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-770390 NbVO4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1272719 Li4Mn3V3(WO8)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1211523 Ba4ScReWO12 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1180691 Na6CoO4 Prediction: 0 Actual: tensor([2], device='cuda:0') 
mp-746355 Sr2CoWO6 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-771095 LaNiAsO Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-850195 Sr2V2O7 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-554101 Li6NiOF6 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-622521 CsYb(MoO4)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-756219 FePtO2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-767632 LiNiPO4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-23967 Li2SiNiO4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-770710 LiFePO4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-777664 Sr3LaMnCrO8 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1179980 CoH16C3N8O7 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1216516 LiMn2O2F3 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1214840 K3VSO3 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-755562 Sr2MgMoO6 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-755695 K2MoSO3 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-772174 Na2MoO4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-554911 VOF3 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1202454 Li3Mn2(PO3)7 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-754230 Na3Fe2Mo5O16 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-510620 Li3Mn2CoO6 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-761540 Rb2NaCoF6 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1213231 Li2CaV12O32 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1303453 Mn3Nb6O11 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-770934 Ca8V7ZnBiO28 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-17450 RbLiCrO4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-771701 Mg14MnCO16 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-1174816 LiV2OF5 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1211709 K2U(WO5)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1221083 Pr2W2O9 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-744929 Sr3NiPbO6 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-758349 VZn2IO7 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1239380 CoO Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-29142 BaTe2Mo2(HO6)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-644334 Ba3Mo2(NO3)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1209234 CaCr(GeO3)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1227632 Mn2Sb2O7 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-19148 BaSr4(FeO2)5 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1177129 Cs4U2V2O13 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1291802 MnGeO3 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-26275 MnCuO2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-763178 LiNbNiO4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1142857 Sr3CeMn4O12 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-604368 Li2MnCuO4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1221264 Li3V3P8O29 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-27614 KVCdO4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1313407 SrFeP(O2F)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-706292 VOF3 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1203856 Mn2V(PO5)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-16994 Li7Mn5O12 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-757355 BaU2V2O12 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-557093 Ca2FeP2(H2O3)4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1202726 Na5Tb(WO4)4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-999539 NaCr2FeO10 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-767151 MgMo2O7 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-17258 Rb2UCr2O10 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-756977 Li2MnO2F Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1195415 Mg3MoO4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1228766 CsFeCoF6 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-26458 Na6CoO4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-20052 Li5Mn2CoO8 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1193772 Rh2WO6 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-611378 Sr5Ca3Ti3Mn5O24 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1174060 Sr2MnGaO5 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mvc-4368 Nd2Te2W2O13 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1100531 V2FeO6 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1214013 LiMn2O2F3 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-28824 MnAs3(PbO3)3 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-744181 Li2SiNiO4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-772117 LiMnO2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1302887 CoF2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1101223 V2OF8 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mvc-126 Li2MnPCO7 Prediction: 2 Actual: tensor([0], device='cuda:0') 
mp-27681 U3Ag6Mo5O27 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-850999 ThV2PbO8 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-555154 Na3V2(GeO4)3 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-759773 Na2CoP2O7 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-849468 LiV2OF5 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-756961 FeBiO3 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1111529 MoO3 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-696580 LiCo2(PO4)3 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-562048 SrMgV2O7 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1213217 Li6Mn(FeO3)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1220238 KLi2FeO3 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-780135 Mo4H8N2O13 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-756502 MnTeC5O6F5 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-755844 CsUVO6 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-554786 LiFePHO5 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-777918 TiBi8W(ClO8)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1221409 FeSe3O8 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-600152 ZrMoWO8 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-1177798 LiMn2(PO3)5 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1228087 K2RbCoF6 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-753303 Cs4Rb2Fe2O5 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-1173624 Li3Ti(NiO2)4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-572886 Li9Mn2Co5O16 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-850898 Li4V5CuClO15 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-777497 LiMnPO4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-753086 NaV2O5 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1204562 KMg30CoO32 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-18968 Li2U(WO5)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-772016 Nd3VGeO9 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-637244 NpV4O12 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1197295 CoO2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-757057 RbNiW(OF)3 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1210963 Na5MnO4 Prediction: 2 Actual: tensor([0], device='cuda:0') 
mp-1280709 LiCoP2O7 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-754433 Li2MnSiO4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mvc-11633 NaFePO4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1198636 VCrP2(O4F)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-650228 Ca(CoO2)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-778891 Li2V2SiGeO10 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-639714 Pr5Te7WCl3O23 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mvc-12562 VCo3(PO4)4 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-1213170 ZnNi4O5 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1209331 V2MoO8 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-757268 FeC3SeO3 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-753949 LiMnPO4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1217509 Li7V3P8O29 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-779020 CaMn2(H2O3)4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-559012 VPNO5 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-555885 ZnCr2O7 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-754507 Hf3NiF6 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1223546 HoVO4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1256217 Ba2NiMoO6 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1104481 Li2CoSiO4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1221645 K2SrNi(NO2)6 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1037040 MgFeP2O7 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mvc-9925 SiMo12H24C6N3O40 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-704114 Ca2Mn2B4O13 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1310084 LiTi3V(PO4)6 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1223759 Li3V3P8O29 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-18749 Mn3Bi(CO)15 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-776388 Li2NbCo3O8 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-572621 MnCr2Ni3(PO4)6 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1248580 CaMn2O4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1279062 Rb2U2WO10 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1217159 Ca2MnO3 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1100660 Co11CuO16 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1199707 K4Mo2S4BrO20 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-849295 Li2Si4(NiO4)3 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-1036100 K5Na3Nb5(WO8)3 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-758448 VOF3 Prediction: 1 Actual: tensor([0], device='cuda:0') 
mp-754887 LiCoPO4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-753537 Zn2Ag2(MoO4)3 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-759347 B2Mo(PbO2)6 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1175111 Tb3BWO9 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mvc-16279 CaFe(GeO3)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1175708 K8Zr(MoO4)6 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-19352 NiTeO4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1641070 Na2U2FeH8(C3O7)4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1202580 LiMnPO4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1037774 Na2U(MoO5)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1237867 Li2CrO4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-31518 Ni17(As3O16)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-772597 NbCo(PbO3)2 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-758530 Li15Cr2O12 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1228523 Li3V4O11F Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1213151 Ba2AlTlNi2O7 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-776279 Li2Fe2(CO3)3 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-754264 AcVO3 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1189753 Ta8Cr3O24 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-744629 LiVSiO4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-760312 K2LiMn2O4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1079069 Mo2H13CN3O13 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-752988 Zn3Co9O16 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-775950 TlCoO3 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-1277114 Li3CoF6 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-690560 CaFeWO6 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-40674 Cr4BiNO14 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1196616 Rb6U2W4O21 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1195460 KFe(MoO4)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-561162 CeCrO3 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-510607 SrCrO4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-756340 Li2TiFeO4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1199387 Li4FeSi2O7 Prediction: 0 Actual: tensor([2], device='cuda:0') 
mp-1207219 Mn3Cr3O8 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1211038 VF5 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-744193 LiZn4Fe13O24 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-25266 KBa2Ni2F9 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-18997 BaMnO3 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1217399 Na2Mo(H2O3)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-19350 SrLa2Fe2O7 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-510568 CrReO4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-559433 Rb2Cr3O10 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1203525 TiMnO4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1196327 Na5Li3V8O24 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-759009 LiVO2 Prediction: 1 Actual: tensor([0], device='cuda:0') 
mp-558859 VCdBiO5 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-554767 Dy2(WO4)3 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-774338 Ba3SrCa2(MoO6)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-758191 Tl2Cr2O7 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-780431 Li4CoO4 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-1213334 Li4Zr8V3(P3O16)3 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-755319 Li3NiPCO7 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1288155 LiMnH6O7 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-18012 TlFe(SO4)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1177508 HoCrO2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-779009 Li2Co2Si2O7 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-766095 KCo2H3(SeO5)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1218147 Na2CoAuF6 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1577282 CsV3(SeO6)2 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-761676 Li5Mo2P5O18 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-24576 Li2Cr3O10 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-22025 LiFe(PO3)4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mvc-947 V4Cd9O19 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-1261307 Cr2O5F2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1204976 Li2CoP2O7 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-755055 VF5 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-759896 BaMnO3 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-1100636 Li9Mn2Co5O16 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-558075 LiFe2(BO3)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1195392 Li7Co5O12 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-554804 LiCo(PO3)3 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1173107 Li3MnCoO5 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-19238 MgZr3Tl10(MoO4)12 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mvc-3729 MnP2O7 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-772974 Li5Mn3V2O10 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-781955 K4Th(MoO4)4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1275120 Mg3NiO4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1177646 VAg2O3F Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-560157 MgTiCo(PO4)3 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-715574 Li2FeP2O7 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-558830 Li7NiOF7 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-581396 ZrMn2Ag4(MoO4)6 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1180509 Li2VO2F Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1177275 Ca3V3(CoO6)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-704637 Li14Cr2N8O Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-863398 CaFe(SiO3)2 Prediction: 0 Actual: tensor([1], device='cuda:0') 
mp-1207118 LiMnH8(SO6)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mvc-646 Mn2CdO3 Prediction: 0 Actual: tensor([2], device='cuda:0') 
mp-556779 K2Mo3SO17 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-696936 Fe10O9F11 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1211726 LaFe5(GeO5)3 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-776223 InCu(WO4)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-755951 Ta2Zn2CrO8 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-510638 KMn2O4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1208928 LiFe2P3O11 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-762840 RbY(MoO4)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1282740 Rb4Fe8CuH6(Se8O25)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-753682 LuMnO3 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-757593 Mn3Zn(P2O7)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1214549 Ba2PrV3O11 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-1174328 LiFePO4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1207052 CaV(SiO3)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1192534 Sr2LaMn2O7 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-550763 CoSb2Br2O3 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1276200 Li3MnOF4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-556911 Tb2WO6 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-756107 Ba2Y2Co3CuO10 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-752582 NaMg3In(MoO4)5 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mvc-782 K2MgZr(MoO4)4 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-767679 LiFe2P2HO8 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-26403 LiMoAsO6 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-766569 Li3V3P8O29 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-20399 PrMn2O6 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-764224 MoH12N3O5F3 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-753859 Li8Mn5Fe3(BO3)8 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-31122 LiMnVO4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1209280 Rb2CoAgF6 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-23501 Na3V(H14O11)2 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-1201562 Ba2CoF6 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1174294 RbCrO2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-18487 LiNbFeO4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1213184 CsSm(MoO4)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-601882 KCr2AgO7 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-561342 Li2VP2O7 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-752810 MnNb4O12 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1101692 LiFeO2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1213966 MgCoH16(ClO2)4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-542535 CsCoPO4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1639312 Li2CrP2O7 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-774897 DyWBrO4 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mvc-16257 Sr2CrWO6 Prediction: 0 Actual: tensor([2], device='cuda:0') 
mp-773607 MgVP2O7 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-757848 UAg2(WO5)2 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-554228 CaMn(SiO3)2 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-772427 VAgO3 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-753223 Al2CoO4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1296751 Sr2TaFeO6 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1214652 NaFeO3 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1191333 K3NaCr2O8 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-758334 Lu2MnCoO6 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1222202 Y2WO6 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-756057 Li4MnCo2O7 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-768845 Li2VO2F3 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-561748 LiTb(WO4)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-756775 Fe3(OF)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-971678 Li2Mn3(BO3)3 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1013953 BaTeMo2O9 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-772029 LiMn2(BO3)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1176311 Nd5Te7WCl3O23 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-761527 VO2F Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1195788 Li2Mn2(SO4)3 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1173911 VAsO5 Prediction: 2 Actual: tensor([2], device='cuda:0') 
