mp-1203622 K2RbLaV2O8 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-556507 V2O5 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mvc-1308 CrSbTeO6 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-19206 LiMnSnO4 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-752582 K2LiV5H10O19 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1226430 Cr2WO6 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-27479 Na3FeO4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-18892 HoTl(WO4)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1221075 BaFe2S2O Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-753602 Ba2V4Cd3O15 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1174284 VOF Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-696217 MgV2PbO7 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1213307 Li3Cr2(PO4)3 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-757536 Ca2MgV10(H8O11)4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1220983 Li2Ti2MnNiO8 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-744187 Li5(NiO2)6 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-561362 Li2CrCuF6 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1199176 LiCoH24C8(N2O3)4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1105179 Li2CrCu(PO4)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-18734 VO2F Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-771344 FePO4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1217800 FeOF Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-19087 CaV4(AgO6)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-779443 Na14Co2O9 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-755614 Li4Fe3(NiO4)3 Prediction: 2 Actual: tensor([0], device='cuda:0') 
mp-1275491 LiMn2F7 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-704688 Li2MnO3 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-699558 CsVSeO5 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-759138 VPPb3O8 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-867710 Mg2V3O8 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-18815 Li6NiOF6 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-554748 V5O12 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-753149 La2Mo4O15 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-37961 FeBO3 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-17201 PrMoO4F Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-765988 FeBiO3 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-754670 BaMoI4O15 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1189405 LiSiNiO4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1194100 La15Mn16O48 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-776007 Li4FeOF4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-753547 Nd4(WO5)3 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1194939 BaVSi2O7 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-761233 Rb5Al(MoO4)4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1201198 Sr2YAlCr2O7 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-616232 K2RbTmV2O8 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-25203 Li4MnCo2O7 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-572159 FeP2(H4O5)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1100622 Li7Mn3P3(CO7)3 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1036401 Li2MnSnO4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1226415 VO2F Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1238774 Mn6O5F7 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-774155 LiNiPO4 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-1221959 Li2Co3SbO8 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1202031 Mn2Co3Te3O16 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-765154 Mn(SbO3)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-19123 Li4V3P8O29 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-770078 Li3FePCO7 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1283043 Cr3(CoO6)2 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-1193468 Na3V(SO)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1198234 VGa(CuO2)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-19047 VInCuO5 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-556508 YCrF5 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1575669 Li4Fe3(NiO4)3 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-562767 Cs2Te(MoO4)3 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-561539 Li3Mn4O8 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-690544 NaV2(PO7)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1224026 NiP3H12NO7 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-505766 Ca2Nb2CrO8 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-1212049 Dy2(MoO4)3 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-974108 Rb4Th(MoO4)4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-765139 V2MoO8 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-1209807 K5Na3(MoO4)4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-21867 Na2Si4NiO10 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-1641248 Li5Fe8(BO3)8 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-644594 YAg(WO4)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1216284 Tm6WO12 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1297618 Na4CrH8SO7 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1204069 Na4Th(MoO4)4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-765475 SrSm3Mn4O12 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1212303 LiCoPO4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1209037 Te4Mo(OF4)5 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1212201 MgMn(SiO3)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-35530 V2Bi4O11 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-504510 Rb2Mo(OF2)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-19143 Na3Sc2V3O12 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-779071 RbPr(MoO4)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1204398 Ba2Fe3P6HO22 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1208115 LiMoAsO6 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-603935 Li3V3P8O29 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-19232 Dy2Mo3H2Se2O17 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-744764 MnHC3O4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-758030 Ca2NbFeO6 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1036835 Tl4V2O7 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1288517 K3Cr(HO)6 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-761401 Li3V3P8O29 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-772178 Mn3(OF)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1209026 Na2NiO2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1274301 LiMnP2(HO4)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1198270 Nd2Te4MoO14 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1209249 Li3VCrP2(HO5)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1175989 Ti2MnNiO6 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-754958 MgNiO2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1013797 LiEu(WO4)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-560153 Ba3Nb2NiO9 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-744841 Ba2YTlW2O7 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-23501 Cs2Cr4Cd(HO4)4 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-1244503 Li7VGeO8 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1100902 MnO2 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-18829 Rb2FeO4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-555327 TlCoO3 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-761495 V2O5 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-776390 Sr16V8O31 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-770772 BaTe2Mo2(HO6)2 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mvc-2085 LiTiFeO4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-554302 Co3C10ClO9 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-504864 V2OF8 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1211857 Li4Ti3Fe3(SnO8)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-27186 Li3V3P8O29 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-755250 Li3Mn(OF)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-554381 Li(CoO2)4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-705013 Li4V3P8O29 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1174583 VHO3 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1225084 CaMg30MnO32 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1291802 Ni(XeF8)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-780710 NaV3O8 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-752560 VHO3 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-1038038 K2Na2MoW3O10 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-556606 LiCr(WO4)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-779360 Cr3Sn3(SbO8)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-17159 LaCrCuO6 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-757167 Ca2MnO3 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-773502 SrV3O7 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-767265 SrPrVO4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-24555 VH4NO3 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-510562 LiVPO4 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-1197452 VF5 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-776154 Cr2SiO4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1113275 Ca3Fe2Cl2O5 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-647969 Co(PtO2)3 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1104265 Li3VOF6 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-560259 V4OF11 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-850945 Ba3MnNb2O9 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-559869 BaV2CdO7 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-764935 Li2CoGeO4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1224807 Li9(CoO4)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1197894 Co(AsO3)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1218243 VZn2SbO6 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1100498 Ba2La2Mn4O11 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1261461 RbY(MoO4)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-761572 CoBr2(N3O)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1277418 LiY(MoO4)2 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-756266 VBiPbO5 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-546798 Nd2MnP2O Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1210129 Ni2As2O7 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-642974 Li2MnSi3O8 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-753865 CrAgO4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-556566 NaFeO2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-645743 LiMn8O16 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-14118 CrBi12Mo4PbO34 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-766789 Dy2Hf2(MoO4)7 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-698096 Rb2Cr2O7 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1225401 Rb3CoO2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1193015 Zn(CoO2)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-746778 Ba2Cr3O7 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1200745 Li4Mn3CoO8 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-776651 Co2(SO4)3 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-755474 Ba2TbV3O11 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1173880 Li2MnP4(H4O5)4 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-1076196 Y2(MoO4)3 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-777588 LiNiPO4 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-510638 YbMoClO4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-706235 FeH2SO5 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1199680 MnAsO4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1320757 VHO2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-753929 Li2FeNi(PO4)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-753796 Mg(FeO2)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1174878 V2CoO6 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-772274 Sb2Te3MoC4(OF3)4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1195643 Mn3Co3(TeO6)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1197022 Cr4AgBiO14 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1204234 Li3MnBAsO7 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-18832 Na2ErPWO8 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1229147 LiTiMnO4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-760963 CaCr2O4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1180450 Na8ThU(MoO4)8 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-764557 Li12Cr3CoP4(CO7)4 Prediction: 0 Actual: tensor([2], device='cuda:0') 
mp-753724 LiMnBO3 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-756192 Li4MnCo2O7 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1209842 Ni(AgO)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1076205 Li3Mn2O5 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1222435 VCd2BiO6 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-775903 CrH12(CF)8 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-754591 LiVSi4(HO6)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1213306 Na2VPCO7 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-619611 Mn2H2SO6 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-1228461 La5MnRe3O16 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1222091 Rb2Mo3O10 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1205312 LaFe3(BO3)4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-558749 K2RbMn2F7 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1210852 MnPH2(CO)4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1211510 Cr2CdO4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1224519 K2Fe9H18S6O43 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1079901 Ba2Nd2Co4O11 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-625246 Y2(Mo2O7)3 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1190411 MnSnO3 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-755301 RbFe5O8 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-552567 Li9Mn7O16 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-505469 LiVTeO5 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1221950 VH8C2NO3 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-757415 NaCa2V3Zn2O12 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1177832 Ca4Ga3FeO10 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-19440 Tl2Mo3SeO12 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1210945 V3Fe2Cu(PO4)6 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-759422 Co(Bi5O8)5 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1213868 FeH4S2NO8 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-761172 Cs4U3Mo3O20 Prediction: 2 Actual: tensor([0], device='cuda:0') 
mp-754053 VGaO3 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-1216789 SrFeO2 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-504723 Cr2FeO4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-777758 MnCO3 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-1104615 Li2Cr3BiO8 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1276200 MgFe(PO3)4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1193172 Rb2NaCoF6 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1100906 LiMnF3 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-600169 TlMoPO6 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1277084 Ca2TaMnO6 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-849529 Li2Cr2O7 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-769616 Rb6U2W4O21 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-771974 LaVO3 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1208207 Li2V3CrO8 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-1183981 ZrMnO3 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-773627 Li3CoPCO7 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1036209 CsV(SO4)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-645299 Ag2Te4MoO12 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-557669 LiTi2V3O12 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-863961 Mo9O26 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-616555 Ba3Nb2CoO9 Prediction: 1 Actual: tensor([0], device='cuda:0') 
mp-776388 Bi8(MoO7)3 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-850188 CoBC8(OF2)5 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-650817 Li7Mn4CoO12 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1213573 Li6Mn5Fe(BO3)6 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-561037 Li2MnCuO4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1179232 KNiH9(CO5)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-758191 LiMn3(P3O10)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1103886 Na4Fe2C4SO16 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-1206730 CrO3 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-758941 LiFeOF Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-756826 NaNbWO6 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1223582 TbCu(MoO4)2 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-743697 Li4Cr3GaO8 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-559838 HoCu(WO4)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-649195 ErTl(MoO4)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-21126 MnAlO3 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-770636 K2SrV3O9 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-572231 LiTiCoO4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-640765 CoPNO10 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-757232 Ba3Co2WO9 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-24620 Sr2Ca6Mn8O21 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-760393 TiVO3 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-20223 VH6SO10 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-1217380 Cr2PO5 Prediction: 2 Actual: tensor([0], device='cuda:0') 
mp-17194 Li4NbCo5O12 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-18992 LiVCrO4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1198611 La7SmMn6(FeO12)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-561894 TlNiF3 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-759067 LiVO3 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-562048 Ti3Fe9O16 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-31755 Li3Cu2(WO4)4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-776057 CsHo(WO4)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-18721 Na3Ni2SbO6 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-1661754 Ca(MoO2)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1104440 MnBiPO5 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-558227 Rb3Na(MoO4)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-672012 Ba10Ru3W(Cl2O9)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-22443 LiScVO4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mvc-14333 Li4Fe3(OF3)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1183449 Li3Fe(PO3)8 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-616610 Rb3Li2Al(MoO4)4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1217104 La2CoO4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-684727 Ce(WO4)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-752618 Cr2(Bi2O5)3 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-761122 NdCu(WO4)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1647031 VCdCuO4 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-20143 Na3LaV2O8 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1038036 Li3CrH12(CO3)6 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-561162 Li32Ti13Cr3O48 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-559172 MgCu2(MoO4)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1218351 Cs2LiVO4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-693600 Li3MnFe2(BO3)3 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-773178 Na2YMoPO8 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1175529 Na3Co2SbO6 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-744736 Nb12WO33 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-754097 LiMn(PO3)3 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-561272 LiFe6O7F5 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1210883 CsSc(WO4)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1292231 Sr8Cu(WO6)3 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1215685 NaCoO2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1279742 Li4TiNi3O8 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-754264 Li4Fe(OF)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1303482 Ni(RhO2)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-849557 V9Sb7O32 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-753644 LiVCO4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1199170 VF5 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1080730 V2O3F Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1222066 LaMgCrBiO6 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-754974 SrMoO4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-625700 BaCoBP2HO9 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1225644 CrO Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1180190 Li10Mn3V5O16 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1191677 Na3VSiCO7 Prediction: 0 Actual: tensor([2], device='cuda:0') 
mp-764760 LiMn(PO3)4 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-1220913 FeSeO4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-561571 TaVO4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
