mp-18160 Li2Mn(Si2O5)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-17545 Zn3Mo2O9 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1218756 Li2MnO2F Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1251416 MnO Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-540438 Li4MnV3(P2O7)4 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-1216116 Li5V4O8 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mvc-5828 Ga2WO6 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1284950 RbNd(MoO4)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1227949 VAg2O3F Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1196385 PrTl(WO4)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-752847 NiH12SO9 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-770170 LiMnO2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1215273 VZnP2PbO9 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-559604 CaNiF6 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-775296 FeSnO3 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-17426 LiFe(PO3)4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-753043 Li3La8Ti9Cr3O36 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-1173272 TiVO4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mvc-932 Cr2Ir2O5 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1095280 MgV2(SiO4)3 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-765470 V2ZnO6 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-755632 K5Mo8As(H3O16)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1101657 NaCo2(MoO5)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1207659 Tm2WO6 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-756326 CsFeO2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1035757 ZnCrO2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-558517 Li8MnO5F Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-705562 ErSbMo2O9 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1199136 Mg2Nb2FeO8 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-18992 Ca3Co2(Si2O7)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-758529 MoIrO6 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-540712 SrFe2S2O Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1227538 V2O5 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-753547 LiMn(PO3)4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1177322 V2Sn4H24C8O9 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-19021 BaTiMn2(SiO5)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1177982 K10Hf3Mo12PbO48 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mvc-10599 YEr3V4O16 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1279252 PrCu(WO4)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-770151 Na4MoO5 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-556265 VIn(SeO4)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1218591 Li5Mn3(FeO5)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1195277 Mn3(O2F)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1210836 Ga2WO6 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-705362 K2Cr4O13 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1200748 Li5Co3(SbO5)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-627119 VCdBiO5 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-757803 Rb7VSiO8 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1101589 Na2LiFePCO7 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mvc-7372 Li3Mn2O5 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-773188 Li2CoBO4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-17544 CoH9C6(S2O)3 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1104440 Rb5In(MoO4)4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-19403 LaAg(MoO4)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-771701 Li7Mn2(CoO4)3 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-1315204 SrCrO2 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-1206064 Fe3O4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1222591 Sr4Al6CrO16 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-771824 BaFe2P2O7F2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-763051 HoCu(WO4)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mvc-865 Mg5V2(MoO8)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1221967 Li2VO2F Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-555929 Na4Th(WO4)4 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-22408 NdBMoO6 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-560736 MgNiSnP2O9 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-674322 Ba2SmNb4FeO15 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-17541 LiVPO5 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1190493 FeHO2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1111556 RbFeO2 Prediction: 0 Actual: tensor([2], device='cuda:0') 
mp-25421 Na3CoPCO7 Prediction: 0 Actual: tensor([2], device='cuda:0') 
mp-756046 LiVCrO4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-780867 NbV3O10 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-761246 Cr2Te2N2O15 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-756691 LiCoC8(N2O3)4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-752941 MgVBiO5 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-776388 Rb6U2W4O21 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-758882 NaCrO2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1200083 MnSbO4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-849573 Y2Cu3(WO4)6 Prediction: 0 Actual: tensor([1], device='cuda:0') 
mp-559532 MnBP(HO3)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mvc-16053 PrAg(WO4)2 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-1095252 Na6CoO4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-755563 CoHO2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-556993 Cs8Zr(MoO4)6 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-556428 VO2F Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-752722 LiCo(PO3)3 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1568372 KUVO6 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-760911 La4Sm4Co7CuO24 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-752788 Mn2PClO4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-534807 SrV2O6 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1216962 Li2NiP2O7 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-772970 Li4Ni3SbO8 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-19321 VOF2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-753270 LiMnPO4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1640826 Li4MnCo2O7 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1220965 LiMnSiO4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-40066 Li9Mn2Co5O16 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-1175741 Ca3Fe4(SbO4)6 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-22283 K2Mg2(MoO4)3 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1099844 MnTeMoO6 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-779348 VO2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-774782 HfCrO3 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-19422 LiMn2F6 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1205217 Li3Ni(SbO3)4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-554334 Fe2(SO4)3 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1286054 FeSO8 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-556764 CoAuO2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-757763 Na2FeO2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1218724 NdReMoO8 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1036102 MoO3 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1193122 Y2Te3MoO12 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1175670 Fe2CoO4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1285223 Li3Ti2CoO6 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1193349 UCr4(H3O4)6 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mvc-6404 KY(MoO4)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-556474 NiSn2(OF)6 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-559518 MgMn2O4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1290075 MgMnF5 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-759304 Li11V6O5F19 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1218631 V2Bi4O11 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-762980 K2RbCoF6 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-600211 NdY3(Mo4O15)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-26861 Zr4MnO9 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-849418 Cu2W2O7 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-1180982 NiH2SeO5 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1111905 LaV2IO9 Prediction: 0 Actual: tensor([2], device='cuda:0') 
mp-630867 Y2(MoO4)3 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-780532 Mn2SnC10BrO10 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-754256 ZrMnO3 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-757366 ZnGaFeO4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-18814 TiMnO3 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-753647 Ta2Zn2NiO8 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-759144 KIn(MoO4)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1217380 Li3V3P8O29 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-757411 VSO10 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-554123 EuMn4(CuO4)3 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1178874 Ba2Ti2Fe2As4O Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-752741 Mn5O8 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-770895 Li13Mn2O9 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-752486 Li2FePCO7 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1207903 CaCrO2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-25845 Lu2(MoO4)3 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1227933 ThTeWO7 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mvc-7571 HoMoClO4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-542979 NaLaCoWO6 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-505194 MgMn(GeO3)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-760285 Li2Si2NiO6 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-758858 K4V5CdClO15 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-765964 MnFeCo(PO4)3 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-770862 LiMo2AsO9 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-763484 Li3Fe(PO4)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-556540 K2Cr2HgCl2O7 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1218456 K3TmV2O8 Prediction: 1 Actual: tensor([0], device='cuda:0') 
mp-1223386 LiFePO4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1102092 LiCoPO4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-510620 MnSnO3 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-758195 NiO Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-647385 Ta2CoO6 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mvc-735 VF5 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-752934 Ba2MnNbO6 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1203641 VPPb3O8 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-776061 Cr2(SiO4)3 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-759567 Na4V3O8 Prediction: 0 Actual: tensor([1], device='cuda:0') 
mp-755680 MnSe2O5 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1196047 Li2FeBO4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1190839 BaFe2(SeO3)4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-627344 BaCoBP2HO9 Prediction: 0 Actual: tensor([2], device='cuda:0') 
mp-31378 Cr(Bi7O12)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-559919 VBO4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1198270 HoVO4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-760211 Na2CrSiCO7 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-756790 Sr10Mg4Fe(MoO6)5 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-752524 Al2NiO4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-767162 FeOF Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-752774 MnHO2 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-756015 Co(PtO2)3 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1036900 K2Cr2AsHO10 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1201975 La2CoO4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-781595 Rb2Mo(OF2)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1286841 LiY3WO8 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-1251690 Fe4Si2Sn7O16 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-756075 LiCrO2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-542563 VPbOF5 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-18396 Li2Fe3(Si3O8)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-625407 Li4Mn3SnO8 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1210923 Nd5Te7MoCl3O23 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-752984 Li2Mn3O4F3 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1228794 V2FeO4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1244715 Li2FeSiO4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-557087 ZnCrP2O7 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1227032 Co(RhO2)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-20968 Na2CoSiO4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1223374 Ba3V2O8 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1213151 VPbO3 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1218467 Li3V3P8O29 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1212590 RbV3Cd4O12 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-25459 NaFe(SO7)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1228733 K6Na2Pt(WO6)6 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-561599 MgAlFeO4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1643099 Fe(SO4)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1569484 V2Re2O11 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-561571 Fe2Ni(PO4)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1173715 Li2MnOF3 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1177777 Na4NiP2O7F2 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-1211809 Mn2GeO4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-19305 La6Mo8O33 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1100919 CoTe2O5 Prediction: 0 Actual: tensor([2], device='cuda:0') 
mp-1182540 LiV(PO4)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-850935 Li3NbV2O6 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-779874 Li4Cr3FeO8 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-757044 SrLa3Mn4O12 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-773513 Ba2YCoCu2O7 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-559772 Li7Mn2(CoO4)3 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1228167 CsPr(WO4)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-31628 Cs2MoS3O Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-753167 Li2TiCoO4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-867647 Cs2Ti(WO4)3 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-744651 K3Cr(HO)6 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-755761 LaCoSbPbO6 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-16892 CsTm(MoO4)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-773145 Li3NiAsCO7 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mvc-700 LaBMoO6 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mvc-4368 Li3V3P8O29 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-31230 Li3Co(BO3)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1197638 BaFe2(P2O7)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1299743 FeH10S2(NO2)4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-754697 Li7Mn2(CoO4)3 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-753828 Mg3Cr2(Si2O7)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-754127 UVH3O7 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-19117 Er10W2O21 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-753430 V4O7F5 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-32310 Mg2VBiO6 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-772573 BaSr3Ca2(MoO6)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-26559 Rb5Al(MoO4)4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-765634 PrSbMo2O9 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-778744 Cu6Te2Mo2H2Cl4O15 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1227932 LiAlVO4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-557923 Li4MnFe3O8 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1174671 NiCO3 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-755942 Fe5O3F7 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1195788 Fe2O3F Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-771386 GaCu(WO4)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1210425 Cr4OF11 Prediction: 0 Actual: tensor([2], device='cuda:0') 
mp-764402 Li4MnCo2O7 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1645095 Li2Mn(SiO3)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-756667 BaFe2(PO4)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1211532 MnPb2WO6 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1177123 Li2Co2Si2O7 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-767576 RbLiMoO4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1293037 VZn2SbO6 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-542671 Li4FeSi2O7 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-753702 ErWClO4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1205312 BaZn(NiO2)4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-863398 Mg5Co19O32 Prediction: 0 Actual: tensor([1], device='cuda:0') 
mp-17071 VBi(PbO3)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-753924 TiMnH12(OF)6 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-17201 K2Na4Co2O5 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-863393 NiRhF6 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-4669 MgMn4(CuO4)3 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-756520 Na3VS3O Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1113477 LaSmNi2O5 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1176002 U(MoO4)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-25260 Li2NiSnO4 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-766586 Co3(OF2)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-770957 SrCoO3 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1296971 Sr5V3HO13 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1076766 NiH36C12S6(I2O3)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-561028 V2Hg2O7 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1193015 NaCoO2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1192129 Li2Cr4O13 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1221457 Li2VNiO4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-771037 Fe4OF7 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-767740 Li2V2P2(H4O5)3 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-755365 KVO3 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-560259 Ca3Cu2Ni(PO4)4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-761008 FeHO2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-556603 Li7Mn4CoO12 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-776412 LiFeBO3 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-775960 Na2FeO3 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1200820 Li2MnFe(BO3)2 Prediction: 2 Actual: tensor([0], device='cuda:0') 
mp-1197782 Li4Ti5VO12 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1174326 Cs2ZrMn(MoO4)4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-18937 LiMoAsO6 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-19108 LiVOF3 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-21650 Li5V3P8O29 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-770872 K2BaNi(NO2)6 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-753321 Ca2FeCuSO3 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1173171 RbNd(MoO4)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-704408 Co2SnC8SeO8 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-773512 Li2CrO2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mvc-2181 Li3V3P8O29 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1208190 Cr2Te(PO4)3 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-766375 Li6MnNi3(PO4)6 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1210136 MnCdF5 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1079306 MnOF Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-18050 NaCo2H3(SeO5)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-18880 CrPtO2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-753567 Cs2NaVO4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1003635 Bi8(MoO7)3 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-561743 Na4MnAl3Si3O16 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mvc-3915 Li2CoSnO4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1203990 BaVSi2O7 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-556911 V(BO)6 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-1177603 VO2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-652229 Mn2O7 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1238482 Li3Mn3FeO8 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1096875 CrAgO2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-757573 Li2NiGe3O8 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1218157 Sr2MnTeO6 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-774362 Li4MnSi2O7 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-555537 VAsNO4F Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1180452 CrSO4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1212243 KNa2FeF6 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-558376 Na2Ti3Mn(Si2O11)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
