mp-753049 Co2(PO3)5 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1100902 Sr2MgMoO6 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-20693 BaNiF4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-770781 Mn2InC10BrO10 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-768607 La2NiO4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-690515 LiFeSiO4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1204985 VO2F Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-695780 MnNi3(PO4)4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-849573 Y4Fe13Si2(SbO14)2 Prediction: 0 Actual: tensor([1], device='cuda:0') 
mp-541464 MgCr2F12 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mvc-940 V5H18N3O17 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-557872 Zr(MoO4)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1201209 RbPr(WO4)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1221286 SrSmCoO4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1199268 RbFeO2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-561158 LiFeSiO4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-20919 Cd2Ni(ClO2)6 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1211854 SrCo(GeO3)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-650024 Mn4Si4O13 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-698305 CrReO4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-555930 Na3MnBAsO7 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1285209 Mg30MnCdO32 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-554326 V2Se3O11 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-704459 Sr3Fe2TeO9 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1177936 SmCu(WO4)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-689929 Rb2Zn2(MoO4)3 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-780849 CsTiNiOF5 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-22005 LiEr(WO4)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1200408 KV4O8 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-558816 VPO5 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1195145 K2Zn2(MoO4)3 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-754683 MgVBiO5 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1209701 SrMgV2O7 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-757170 Li3V8O11 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-18958 K3V(SO5)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1189201 CoH14N5O9 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1211677 Pr5Ti4FeO17 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-774400 Ni(CO)4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-505766 LiVO3 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-562513 LiMg30CoO32 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1569015 V2Cd(PO7)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1248580 Sr2NiWO6 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-752552 VOF3 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-755554 KNa7V8O24 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1221339 Li9Mn2Co5O16 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1173171 BaMn2O5 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-753142 LiVF6 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1205229 Li2FeP2O7 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-765999 BaMo3O10 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1099674 Li7Mn8(BO3)8 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1120802 KV2PO8 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-19097 HoMoClO4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-775601 LiVSiO4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mvc-883 K2Sc2P2WO12 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-647969 Cr(ClO)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-555873 LiNd(MoO4)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1198721 LiMn4(PO4)3 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1214706 Co3Ag(AsO4)3 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-555631 LiMnP2O7 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-767710 K2MoO4 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-1197244 Co2SnC8(ClO4)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-32244 Ba2SrV2O8 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1208045 Mn2O3F Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-867529 K4MoC5N6O Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-1174493 Na2MoO4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mvc-13217 LiV2P3O11 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-18853 Ba3Sr5Co4(CuO6)4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-769543 VOF3 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-755514 LiMn2(PO4)3 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-1175669 LiPr(WO4)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1095110 Na2TlCoF6 Prediction: 0 Actual: tensor([2], device='cuda:0') 
mp-1223374 LiVF6 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1021504 Ba5Co5O14 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-757151 Li4Ti3Ni3(TeO8)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1226437 Er6MoO12 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-31517 LiFePO4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-754772 MnH4NF3 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1305082 TbMoO5 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-19226 TiVO3 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-704959 Co3(PO4)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-690528 K3Rb5(Mo3O10)4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-777414 CrF2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-850788 K2FeH2OF5 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-756514 Li4Ni3O6F Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1079620 Li4Y3CrO8 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-556447 MnAl2O4 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-1178771 Li3Al2CoO6 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1063607 ZnFeP2O7 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-20167 VHgO3 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1296214 Li3NiPCO7 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-19130 YMg14CrO16 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-554275 Mg30VCO32 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-690568 CoH21C2N6Cl2O5 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-780628 SmSbMo2O9 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1003311 NaFe11O17 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-560734 Ta2Mo2O11 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1203773 LiCr(SiO3)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-583506 Eu2V2O5 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-943462 Ca3CrF6 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-776400 MnZn(SiO3)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-549767 Li7Mn5O12 Prediction: 1 Actual: tensor([0], device='cuda:0') 
mp-549705 MgMn2O4 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-776760 LiCoAsO4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1220829 Li4MnCo2O7 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-753223 NbVO5 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-20073 K2LiMn2O4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-776053 SrLaVO4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mvc-9860 BaMo2(PO6)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-758297 VClO Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1543286 Li3V3P8O29 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1174118 KBaV3Cd2O11 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-759533 SrCrBi12(Mo2O17)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1197420 Bi14Mo5O36 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1662701 RbTm(WO4)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1183981 NaNi5O6 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1308196 BaV2P2(H4O7)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-758209 K3CrC5N6O Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1180047 KNbV2O8 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-19474 FeTeO3F Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-774292 Li2Fe(CoO3)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-849267 V3Pb5O12F Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1223668 Mg2VBiO6 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1207861 CaTmMn2O6 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-540314 Ba2TiMn2Si2PO13 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-756699 Li9Mn2Co5O16 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-757166 LiVTeO5 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-775442 LiTiCoO4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1112407 K2NiH12(C2O7)2 Prediction: 0 Actual: tensor([2], device='cuda:0') 
mp-25247 Li4Fe5SnO12 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1212049 CoTe(PbO3)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-774249 K2LiFeO3 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-42392 NaFe12O19 Prediction: 0 Actual: tensor([2], device='cuda:0') 
mp-753409 V2Ni(TeO5)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-703684 Al3CrO6 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1200083 Na3V(H14O11)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-542693 NiH2SeO5 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-779354 Na2FeO2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-752925 ZnCo(SiO3)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-768020 K4MoWO8 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-775331 Li3V3P8O29 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1175054 CoAgO2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1190411 Mo6H24C8N2O19 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1291753 Cr2CoH20N6ClO8 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1227411 Na3Ni2SbO6 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1192153 Li2SiNiO4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-757606 CoH4(CO3)2 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-756622 Mo2H9C2NO7 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mvc-9680 Ca2MnP2(H2O5)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-760337 Li5Cu2Ni5O12 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1174639 CrB6H36(C4O)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-752653 Li2Mn3FeO8 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-623924 Li5Co2Cu3O10 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1211767 Li14Mn2O9 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-777469 Li3FePCO7 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-753529 VHO3 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-758248 Y2CrFeO6 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-558344 KRb2Mo(OF)3 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-758241 CaMn2O4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-560153 Li3MnCoO5 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mvc-14106 CsY(MoO4)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1174387 CoPO4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-555720 CrP2H16N3O10 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1285067 Ga2(WO4)3 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mvc-4368 HfMg30FeO32 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1224724 Sr9LuV7O28 Prediction: 0 Actual: tensor([2], device='cuda:0') 
mp-1080670 Na5(NiO2)9 Prediction: 0 Actual: tensor([2], device='cuda:0') 
mp-753086 Dy2W2O9 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1175358 RbPr(MoO4)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-766011 Mg14MnCuO16 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1101561 NaMn16O32 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-691106 MgAlFeO4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1206497 Fe2Te2(PbO4)3 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1228814 SrCa7Mn6Cr2O20 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-530553 FeO Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1177024 Li2FePO4F Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-19378 Mn2CdO3 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1227152 LaCoSbPbO6 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1182808 Mo12PH24C6N3O40 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1201553 CdMoO4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1177755 Co4B6O13 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-755283 MnO Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-768681 VFeO4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-19238 Li5Fe8(BO3)8 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1213570 CoAg(CO)4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1224662 Li4Mn3NbO8 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-542658 Li2Mn3O6 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1199176 Li2MnFe(BO3)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-558201 BaFeBP2O9 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1214963 NiH15IO12 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1239311 BaMn2O8 Prediction: 0 Actual: tensor([2], device='cuda:0') 
mp-1189906 ScCu(WO4)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1193007 K4Na4Mo5(WO8)3 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-26240 NaCoO2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1112639 Li2Mn4O3F8 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1193494 KFe(MoO4)2 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-1212381 HfCrO3 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-557931 Li2VGa3O8 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mvc-2157 Y2Cr3O12 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-696441 MnZnO2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1216293 Li3Cr4P2O8F9 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-771824 Li5Co3O8 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-780299 NiSn2(OF)6 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-764057 RbEr(WO4)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-18527 LiInMo3O8 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-757703 K2Cr2O7 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-541493 Ca3FeRhO6 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1100756 LiFeOF2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1647131 Li4Fe(OF)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1277255 LaMoO5 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-755415 CaV4(CoO4)3 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mvc-9211 CsV2SbO8 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-760914 SrCa7Mn7CrO21 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-775204 LaSbMo2O9 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1192462 LiV(OF)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-554548 MnMoO4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-752647 Co4Si(CO)14 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-779348 K3CoF6 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-694926 TaTiFeO6 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1225856 LiNi(CO3)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1175687 Li4V(CO3)4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-777761 Rb2Zr(MoO4)3 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1175310 Na2MoO6 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-559028 Li2CrP2O7 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-756033 Li2MnCSO7 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-742819 BaCoAs2O7 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1570791 CrH6CN3ClO3 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1173893 V2O5 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-1216053 Sr2TiFeO6 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-850225 Li2VF7 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1203651 MgMnB2O5 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1211004 V2Pb14Cl4O17 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-752792 MgBiMoO5 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1279869 Na6Mo11O36 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-758961 LiNiO3 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1207052 Rb5NdHf(MoO4)6 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-774821 CsMn2V2ClO7 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1037441 Eu2CoSi3O10 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-767442 LiVOF4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-771384 CoSb2Br2O3 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-849771 LiFe(PO3)4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-531021 La2CrO6 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1078919 Co3C10O9 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-1201746 Ni(HO)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1201219 Li2Cr2O7 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-770839 NaCo3O4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-26402 Li7Mn11(Si3O16)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-697734 Li3Cr(Si2O5)3 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-758574 LiNi2P3O10 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-17194 MoPNCl6O Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-674322 Li6VCrP2(CO7)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1227472 Li3VO4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-757718 Sr2ZrMnO6 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1178068 Li9Mn2Co5O16 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-555962 ZnGaFeO4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1226167 Li4MnCu3O8 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-1229068 CoPbO3 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-745150 Li3Mn(BO3)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1661989 Mg2CrWO6 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-19021 Sr2Ni(SeO3)3 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-752518 SrCrO4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-768711 SmAg(WO4)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-754143 K2VPCO7 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1076805 Fe2Ni3Sb(PO4)6 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-753531 Sr4Li4Nb5FeO20 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1157256 Ti3V2P6WO24 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-753703 Na4Ni2O5 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-561410 Na2CuMoF6 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-1204388 Li2V3CuO8 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1220508 Sr5V3HO13 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1278467 V2Fe3Te(PO4)6 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-757611 Mn2CuO4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-757389 CdFe4NiO8 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1208038 Sr3Ca5Mn8O20 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1176216 Li2VO2F Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-867597 Li5FeF8 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1213191 RbHo(WO4)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-28600 Li7(NiO2)11 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-997599 Li2MnO3 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1222091 CoH15Br2(N3O)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1100976 LiVWO6 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-755501 CoH9C6(S2O)3 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1210261 Ba2Tb2Mn4O11 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1101208 MoP4C5S3O5 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-760309 KTb2Cu(MoO4)4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-572430 CoH2SeO4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-39483 Na3CoF6 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-23082 LiVSiO5 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1226197 LiMnO2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-18973 V2Pb2Se2O11 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-752639 Li2MnSiO5 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-560924 BaV(AsO4)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1204461 Li2MnP2O7 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1272719 Li2MnFe(PO4)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1179251 KLiEr2(MoO4)4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1181758 TiBi8W(BrO8)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1198174 Li6Mn3V(PO4)6 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-27115 FeC3SeO3 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-556220 FeTe(PO4)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-769620 Na3SmV2O8 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-1175271 Li7Mn4CoO12 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1100573 Co2SiO4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1207107 NiH12S2(NO5)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-557235 Li5V6(CuO4)6 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-760066 Li9Mn2Co5O16 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-759438 KFeC6(NO)3 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1211319 K2TlCrF6 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1208079 Co(HO)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-22224 Na3Mg2(MoO4)3 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1076260 LiCoPO4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-755199 Li2Co(SiO3)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-765411 Mg30ZnCrO32 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-753773 Na9Li7V16O48 Prediction: 2 Actual: tensor([2], device='cuda:0') 
