mp-753521 BaVSi2O7 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-30205 HoVO4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-626068 Li2V(CO3)3 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1214903 Li2MnPCO7 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-752758 MnPH6NO5 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-753994 CaMgV2O7 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-744776 Li2CrO4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-772626 Y2Te3MoO12 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1206097 LiVGeO5 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-782647 KTb(MoO4)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1198234 MnAlO3 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1096875 Li3Fe2(GeO4)3 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-560688 VCdCuO4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-772183 TiVO4 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-697556 VZnBiO5 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-20052 Mn3Ag(PO4)3 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-19135 MgCoO2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1222830 Li2MnNi(PO4)2 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-1277563 V2Pb14Cl4O17 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-757988 Co7(RuO6)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1215102 KCrO3F Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-774820 Li3Al2FeO6 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mvc-5342 Zr4MnO9 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1225084 V16(CuO8)5 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-753533 Li5V3P8O29 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-558638 RbCr2BiO8 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1218564 Ba3Ho2MoO9 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1205906 VP2C4N3(ClF6)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1221374 Zn2NiWO6 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1076205 KTb(MoO4)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-766011 Na2CaV12O32 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-26093 Li2Ti2MnCr2(PO4)6 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-772296 CaCu2(MoO4)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-772667 Li2Fe(SiO3)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-760106 ZnGaFeO4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-757095 Li6NbCr3(PO4)6 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1212931 LaMgTaCrO6 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-849501 VFeP2(O4F)2 Prediction: 0 Actual: tensor([2], device='cuda:0') 
mp-754651 Li7Mn4CoO12 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-19226 LiCo7O8 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1203219 Li9Mn2Co5O16 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1273551 K3Mo2BrO7 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-778245 VBiO4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-559308 Li2CrSiO4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1173962 K4Ti3Ni(PO4)6 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-777412 FePHC4(OF)3 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-553919 FeP2O7 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-558306 Cr(Bi7O12)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1568591 Li2MnPHO5 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1198813 Li3V4(OF3)3 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-542658 LiTiMnO4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1039740 Li4Cr3GaO8 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-767960 Na2FePCO7 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-770496 Li3NbV3O8 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mvc-15109 Nd2TeMo6H38O43 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-772566 Sr2LaMn2O7 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-759087 LiV(CO3)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1221471 CrPbO4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-758202 Y2Co2O5 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1197899 Na2Ni3(P2O7)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1226283 CaV2P2(H4O7)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-25542 NaMnPO4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1176482 LiMn(PO4)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1288892 Sm2Mo4O15 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-744181 LiMnPH2O5 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-753554 TiFeO3 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-766424 Li3Mn4(P2O7)4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1203622 MgMnO2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1175107 FeO Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-761077 Mn(IO3)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-556566 CrO2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-776296 Li2MnP2O7 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-555776 VF5 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1298274 LiFe2(PO4)3 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-17542 Li5Fe8(BO3)8 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-754972 Mn2P2O7 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-26089 Cs3VF6 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-778248 Li2VCr(P2O7)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-763224 LiMn4O8 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-849612 Mg2Ta2MnO8 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-757910 K10Hf3Mo12PbO48 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1201039 KTh2V3O12 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1275484 ScV(SeO4)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mvc-10046 CoBi(CO)3 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1099972 Hg2MoO4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1080128 NaFe(SiO3)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1214126 CoSO4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-3742 Li2Fe(WO4)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1218711 Li2VP2O7 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-757983 BaMo3O10 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-504510 LiCo2OF3 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-752900 Mg4FeO5 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-32471 Li4Fe3Ni3(SbO8)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-753547 Li3V3P8O29 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1272771 Sr3Fe2Ag2S2O5 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1196585 VSnH9(CO)3 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-758380 KV2PO8 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-696580 VP2O7 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-754919 Li2CrCSO7 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-756572 PrMn2O5 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-773501 Ta2Mo2O11 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1227662 Sr2FeOsO6 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1221128 Ba2AlTlNi2O7 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-1196456 KFe(SO4)2 Prediction: 0 Actual: tensor([2], device='cuda:0') 
mp-744002 Ta2MnO6 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-18914 YAg(WO4)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-18997 TiMnO3 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1101395 Ba2NbFeO6 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-27479 KMg14MnO16 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1214115 Sr4La4Cr(NiO5)3 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-1291802 Cs2MnV2(ClO3)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1177674 V2ZnPbO7 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1209244 Li3MnCoO5 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-761246 MoPbO3 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-1174144 Pr(CoO3)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-19251 Li2Ti3VO8 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1227324 Na5Tb(MoO4)4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-15481 CaMnO2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-754851 CrOF4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1209888 Li3V3P8O29 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-776832 VAg(HO2)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1221516 Li2Mn4OF8 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-23973 Li5TiV3O8 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-758775 MoH20C7NClO6 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-752824 LiVFeO4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1211565 Li2MnOF3 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-758461 TlMoPO6 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-19376 CoSbO4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-758061 Mo(PO4)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-776639 Te4Mo(OF4)5 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1218575 Mg30MnZnO32 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1197180 NaFeAsO4F Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1314278 Sr2NiSe2(ClO3)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1228336 Cs2Cd2(MoO4)3 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-772241 LiMn3(PO4)3 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-27150 Hf3NiF6 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1220301 La7Nb3(W2O15)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-21908 K2Mo2Se2O11 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1195697 Cr2FeO4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-554324 Li3FeO2F Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-777670 VCdBiO5 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1202726 Rb2SrV4O12 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1103413 LiFe(Se2O5)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1071505 Li8Mn5Fe3(BO3)8 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-755319 Ti3Co3(TeO8)2 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-1577282 LaCrCuO6 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-556925 Li2V2SiGeO10 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-29047 Li2Mn3NbO8 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1095622 Sr3LaTi2Mn2O12 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-755064 MgFe4(CuO4)3 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mvc-10309 LiCoPO4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1207326 SmV2IO9 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-561398 Li2VCrP2(HO5)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1196299 Ba2NbVO6 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-759313 MoO3 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1104015 Li4MnCo2O7 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-677429 Li3FeP2O9 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1227981 Al4Co(BO5)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1182153 Li2Mn(SiO3)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-560076 Li6V3W3O16 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-530196 VF5 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-19042 VO Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-554213 NaFe(MoO4)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-19380 Li5NiOF5 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1099664 Zr(MoO4)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1016120 NdMoO4F Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-19140 Mg2Ta2CrO8 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1212243 BaTeMo2O9 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1209180 K2Mo2C4O15 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1212132 Cs2Na8U8Mo5O44 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-772318 CaPr(WO3)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mvc-9121 Li5Cr3NiO8 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-779090 NdAg(WO4)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1279062 NbFeO4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1216804 Na(Mo2O3)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-532050 CsDy(WO4)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1209807 NdReMoO8 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1218284 Li4Mn3(NiO4)3 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-776602 VSO5 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1222845 Li2MnO2F Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-1222358 DySbMo2O9 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-31517 Ca(CoO2)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-27186 CrPdO2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1174029 Li9Mn2Co5O16 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1038281 Yb2Mn(GeO3)4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-18751 Li5Mn5Cr2O12 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-23999 Li4MnCo2O7 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1198777 Ni(NF7)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-759726 Na3Fe5O8 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1205163 Er2Mo3H2Se2O17 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-19209 Fe2OF3 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1223155 V2PH10NO11 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mvc-2247 MgV2P2(H4O7)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1226307 Ca(Co2O3)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1200917 Li2TiFeO4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1222601 Na6NiO4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1211510 La2MnPbO9 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-26127 Li2MnFe(BO3)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-558517 MnZnP2O7 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-18929 LiNiSbO4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-25995 Li2MnO3 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-551131 K2MgZr(MoO4)4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-849295 BaMgV2ZnO8 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-542157 CrPb2O5 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-758092 NbCrO4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1177542 InMoHSeO7 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1176413 Nd2WO6 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-531655 Co(ReO3)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-561239 Na6Fe2P4HO17 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-850399 KVOF4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-765219 BaSr7Ti7MnO20 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-867530 LiVO2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-20014 Zn2MoSeO7 Prediction: 2 Actual: tensor([0], device='cuda:0') 
mp-753713 Li2FeP2O7 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-25457 LiNbTe2WO12 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-753735 YV(TeO4)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-763178 K3ReMoO8 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-622602 Li3V3P8O29 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-626701 VFe(CuO2)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1174291 V3Cd5O12 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-754639 Li7Mn2(CoO4)3 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-758534 Li2Fe3CoO8 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1216516 Al2NiO4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-540685 YCu(WO4)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-772563 YFeO3 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-557093 Li2Mn(BO3)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-779070 VO2F Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-16967 Fe2(SO4)3 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-25202 Li2TiVO4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1226239 LiCoP2O7 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-770903 Li9Mn2Co5O16 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-765483 Na3V(H14O11)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1198653 LiVSi4(HO6)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mvc-12661 K4Mo3H4O17 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1223314 KSc(MoO4)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-540566 Li4CoO3F Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-18717 CoNCl4O3 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-755984 LaCrSe2O Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-1202181 Li3V2CrO6 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-19114 Li3V4O11F Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-555154 RbSc(WO4)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-26686 K5HfIn(MoO4)6 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-764265 MnClO3 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-756483 V2O5 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-572715 LiVSiO5 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-26226 Li2AlCoO4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1568822 Na4Zr(MoO4)4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-541368 LiVP2O7 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-771030 Zn3Si3(MoO6)2 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-767265 SmCu(MoO4)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1219828 YbNiO3 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1174236 SrCa7Mn6Al2O20 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-775753 Li2VF4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1201916 BaCoBP2HO9 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mvc-846 NaCoBO3 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-752810 GdFe3(BO3)4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1111053 BaTe2Mo2(HO6)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-556255 LiFe3P3O11 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-25393 Li4V3Cr3(SnO8)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1228193 Na4MoO5 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1211704 LiMo(PO3)5 Prediction: 2 Actual: tensor([0], device='cuda:0') 
mp-867734 LaSbMo2O9 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-773725 Na2Zr(MoO4)3 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-505766 Ba3Ta2NiO9 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-558850 FeBiO3 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-867647 Li2TiV2O6 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-849749 KLi2FeO3 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1177499 BaTbMn2O5 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-759788 Li2Cr2O7 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-772226 LiCrAsCO7 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-780086 Mg2VO4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-20589 AlTl(MoO4)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1227834 Li2V(PO4)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-775274 Sr2La2Mn4O11 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-763100 FeHO2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1099676 Li3CoSiO5 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mvc-10460 V2Bi24O41 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-557259 K4Li5(FeO4)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-756835 RbFeO2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-545850 LiNbWO6 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-752980 Cs4U3Mo3O20 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-761656 CsTb(WO4)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-20073 Al2NiO4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-744996 Na3FeAsCO7 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-703684 LiCrPO4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1217981 V2CdO6 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1200957 RbSm(MoO4)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-765999 Ba3Y2MoO9 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1225111 MgTeMoO6 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mvc-3279 Ca5V3ClO12 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-541075 KBaVO4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mvc-10078 Ca(MoO2)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1198748 BaNiO3 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-743953 VO2F Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1221303 Co3(SeO3)4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-19330 LiTiCoO4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-756640 Ba2PrV3O11 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-560160 Li2Fe(CO3)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1567270 MoO4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1223849 Li6Mn3CoO10 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-560575 FeBiO3 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1217380 Ho2Mo4O15 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-560902 Cs6Si2NiO8 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-1203032 Ba3Nb2CoO9 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mvc-2501 BaV2TeO8 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1211098 Sr3TaCoO7 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-20399 MgMn2O3 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-560888 CoH9C6(S2O)3 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-38489 Na3MoO4F Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1201415 Na2RhW3(SO4)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-559279 Na2V16Mo2O45 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-510607 Sr2V4Te2H2O17 Prediction: 0 Actual: tensor([0], device='cuda:0') 
