mp-1218736 YCu3(WO4)6 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-754396 Li2FePO4F Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-31123 Ca2NiWO6 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1218631 LiVO3 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-754416 BaMg2V2O8 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-774920 Ca2Fe2O5 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-705014 CrAgO2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1204197 Mn3O5F Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1099232 Li2ZnFe(PO4)2 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-763497 Nd2(WO4)3 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1100627 NdVO4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-510755 Li2MnFe(PO4)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-540864 Ca4Al6MoO16 Prediction: 2 Actual: tensor([0], device='cuda:0') 
mvc-4503 CsNaMo3O10 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-541775 KLiNiO2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-20299 Li2VO2F Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1176578 Li4Co3Ni2Sn3O16 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-752688 Li9Fe4(BO3)8 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-557563 Sr10Mg5Mo3(WO15)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-19440 LiNiAsO4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-753464 CaCr2O4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-558810 Li3V3P8O29 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1175994 CdMoO4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-19021 Li2AlCr2SbO8 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1173622 KCr12Si8ClO28 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-753296 Li4Cu2Ni5O12 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-773707 LiV2O4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1226272 Li9Mn2Co5O16 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-1195119 Ho2(WO4)3 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-774251 Li2VGa3O8 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-26465 Li5Mn2Fe3O10 Prediction: 0 Actual: tensor([2], device='cuda:0') 
mp-698211 Mo3N2O11 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1223250 CaMnP2O7 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-14381 CaMgV2O7 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1223299 Li2TiFeO4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1218679 Li2TeMoO6 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-753658 CaFe12(PO6)8 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1222601 Y2Cr3O12 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-18814 ZnCoTeBr2O3 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1199940 Na2MnAsCO7 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1196076 Fe3(PO8)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-28262 NaSc(WO4)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-775988 Na2FeAsCO7 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-25264 CsY(WO4)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mvc-12764 Sr3Fe2(ClO2)2 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-1207861 LiTiFeO4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-559831 VWO4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-554980 Ti3Co3O Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-774300 Li10Cr2Fe3Co3O16 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1194096 Li(NiO2)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-697797 Li4NbCr(WO6)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-24827 DyWClO4 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-755818 Li5Fe2P2(CO7)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-504997 Ba2YMn2F11 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-772440 Cs4Rb2Fe2O5 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1178262 Ti3Bi6WO18 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-554226 La2Mo2O9 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-758161 Na2NiH6C4N4O3 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1201916 Li9Mn2Co5O16 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-752454 LaCrBiO6 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-504579 CoSO4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1320757 NdMoClO4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1223502 Y2Mo(SeO4)3 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-704125 SrFeBi2O5 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-19114 Li4Mn3(SnO5)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1102092 Li3(NiO2)5 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1220031 V2Bi4O11 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-699555 Mn4O7F Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1209387 Tb2VFeO6 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1178000 PrNiO3 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-757406 LiCr(WO4)2 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-756053 Ge3(MoO6)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-760306 CsFeNiF6 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-764057 CaThV2O8 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-18734 LiV(SO4)3 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1643829 Li3MnV(PO4)3 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-1174403 Li7Co5O12 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1207659 Fe2Te2W(CO)10 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-752758 Li4Mo5O17 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1570351 CaLa3Mn4O12 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-558437 Co3P4H8N2(O3F)4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-769539 TaFeO4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-753501 Li4MnO2F3 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1573681 MgFe(GeO3)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-19479 VPO5 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1194912 V2CdO6 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-754911 Li3V6O13 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-755329 Li3V2OF7 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-18160 Li3Al2CoO6 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-19310 Na3LiMo2(H6O7)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-626088 MnGeO3 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1099034 LiVO2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1279131 Li3Al2FeO6 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-560270 VZnHPbO5 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-775153 La5V3S6O7 Prediction: 2 Actual: tensor([0], device='cuda:0') 
mp-1222358 Mg4V5(TeO6)3 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1177884 Gd2WO6 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1205217 Ba6Y2Fe4O15 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1194649 La2MgMnO6 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1180296 Sr3TaCoO7 Prediction: 0 Actual: tensor([2], device='cuda:0') 
mp-1221575 Li2MnO2F Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-849306 RbTm(MoO4)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1661817 Na5Li3V8O24 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-771887 YbMoO4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-777408 CoH15N6(ClO)2 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-25455 Ta3NbV4O20 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-720863 La2NbCrO6 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-766479 Ba3Fe2WO9 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-770525 Li6MnV3(PO4)6 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-752708 Sr2CaMoO6 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1192859 V2Bi4O11 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1221066 VOF3 Prediction: 2 Actual: tensor([0], device='cuda:0') 
mp-1226235 Li2V(CO3)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-755709 Li3V3P8O29 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-1567250 CaNi(GeO3)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1228376 VAsO5 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1103778 Li2FeAsCO7 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1661621 MnOF Prediction: 0 Actual: tensor([2], device='cuda:0') 
mp-770781 VBiPbO5 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1195998 Li2CoOF3 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1213319 MnH2SeO5 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-626570 Mn3TeP2Pb3O14 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-694615 Na3FeO3 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-1539213 LiMoIO6 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-746778 HfCoO3 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-756575 Li4Ti3V6O18 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1037015 Fe4O3F5 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-755785 Li2VO2F Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-26336 Mg30ZnNiO32 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-753604 CoPH14N4O7 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-560520 Ba2V2O7 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-557107 Na2Cr4O13 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1220757 FeOF Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-675030 SrPr3(FeO3)4 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-1175093 NiH2SeO5 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mvc-6390 V2Cu2O7 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1186400 Li2MnO2F Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-780526 Cs2Mo(SO)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1076854 LiVCrO4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-558785 Li2MnP2O7 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1208672 Li2VF4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1191084 La4MnSe6O Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1197991 K5Mo8As(H3O16)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1177056 BaCaNiF7 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-22474 ZnMoO4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-755800 CrFe2O5 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-766127 AlCu(WO4)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1281647 CaV5H19O23 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-759934 Li3CoPCO7 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-540059 Li2TiMn2O6 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-756260 LiMnO2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-561894 Li3V3P8O29 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-557147 Mn(AsO2)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-770968 Li2FeP2O7 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1213681 Li2MnP2O7 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-558221 V2Ag6As2O13 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-760393 Cr2CdH14(NO2)4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1002573 K8Zr(MoO4)6 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-759965 Na2CrAsCO7 Prediction: 2 Actual: tensor([0], device='cuda:0') 
mp-19133 Dy2MoO6 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1198275 MoH8N2O5F2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-755501 CoHCO3 Prediction: 0 Actual: tensor([1], device='cuda:0') 
mp-26948 Mn8O13F3 Prediction: 2 Actual: tensor([0], device='cuda:0') 
mp-780477 Li7Co5O12 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1237178 Li2CuNiO4 Prediction: 1 Actual: tensor([0], device='cuda:0') 
mp-505040 BaCrO4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-705362 BaYFe4O7 Prediction: 2 Actual: tensor([0], device='cuda:0') 
mvc-293 MgMn2O4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1223759 NaNiBO3 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-555665 BaMnCO3F2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1177748 Nd2Zr3(MoO4)9 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1221602 Li5V4O12F Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-777267 SmTl(WO4)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-770906 K5In(MoO4)4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-19295 Li4Fe5Ni(PO4)6 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1199880 V3CrSn2(PO4)6 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-26403 SrNi2P2(H2O5)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-19178 Cs2V2H2O7 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-756140 V2Ni(TeO5)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-780710 Li3Cr(PO4)2 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-555417 K4Th(MoO4)4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-774408 LiNiH12(SO7)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1201776 V2O5 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-766397 Y2MoO6 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-780842 BaNb2V2O11 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-744328 Mn5Cu(PO4)6 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1222932 Rh2WO6 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-759794 FeOF Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-752824 CsMnMo(OF)3 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-976313 Mn6O7F5 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-770248 Ho2(WO4)3 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-653788 CsVP2O7 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-779054 Na(CoO2)3 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-505402 Ca2Ta2CrO8 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-505647 Na2V2ZnO7 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-776367 CoTeO3 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-556802 UVAgO6 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1214444 LiCr3O8 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-758871 V(HgO2)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-762897 Li6Ca12Mo4N16O3 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-560059 CoP4(H5O8)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1193389 Cu2W2O7 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-560902 Rb2CoAgF6 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-768842 CoTe6O13 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1194363 K3VH6C4O13 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1275487 K2Li3NiO4 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mvc-5300 ScVO4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1203873 Sm2MoO6 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-760196 LiCoPO4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1569682 RbEr(WO4)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-765352 V6O13 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1272771 Sr3DyMn2O8 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-770530 VOF3 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-865272 CoN5ClO4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-16882 CrAgO4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-652229 Zr4MnO9 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-756430 TlCo(CO)4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-778496 Sr2Li2NiO4 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-1178026 Li9Mn2Co5O16 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-767779 Li3V3P8O29 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-546007 Ga2WO6 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-849778 LiMn2OF3 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-555988 CsVTeO6 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-771993 Li2CrO4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-776041 Zr(MoO4)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-532110 K2MnO4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1194619 K4V5CdClO15 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-625532 LaZnFeSnO6 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1209632 Li3Mn2P4HO14 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-756514 K3Mo2BrO7 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-759453 Ca8V7ZnBiO28 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-756622 Er6MoO12 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-19184 Li2Fe3(P2O7)2 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-19103 Ba2V2CuClO7 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-770948 LaCrSe2O Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-774236 LiFePO4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1219794 NiSn2(OF)6 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1200926 VCr3O8 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1216362 Sr2CrClO4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1182197 Ba3SrCo2Cu4(SO)4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-765601 BaCaV4O8 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-540729 NiTeO4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-778865 LiAlCoO3 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1211463 Li2V3FeO8 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-976868 U(MoO6)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1194659 KLiTb2(MoO4)4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1197025 LiFe(PO3)4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-18845 FePHC4(OF)3 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-756572 Na3CoAsCO7 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-779055 Co(AsO3)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-30960 Sr2FeWO6 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-697764 MgFeP2O7 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-18791 Li2MnSnO4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-757591 NaV3O8 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mvc-10566 Mg3Co2(SiO4)3 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-764405 LiFe2P3O11 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1211306 Li6V3P8O29 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-757633 Ca2Co3O8 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1308819 TmMoClO4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-698692 Li2Fe2SiO6 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-647840 Fe2C8SO10 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-25394 LiMnPO4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-754670 Rb2Fe2(PO4)3 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-757918 MgAlFeO4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1211051 Li4MnO3 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1209347 VO2F Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1646388 Li3V3P8O29 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1207547 NaMoAsO6 Prediction: 0 Actual: tensor([2], device='cuda:0') 
mp-757033 Na3VPCO7 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-18721 Ba2NbVO6 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-757611 MnVAgO4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-642792 NiRu5C17O16 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1228142 CrOF Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-19403 Cs2Mo7O22 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-763247 VPO5 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-556041 CrOF4 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-583853 Li3V3P8O29 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1299846 Mo2H2O7 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-24758 Mn(SiO3)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-757157 V2B(PO4)3 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1579778 KSc(WO4)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-758296 V2Bi4O11 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1222969 Sr5La3Mn8(O2F)8 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1209246 Li3TiCo3O8 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-715474 Na2FePCO7 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-765088 MoH4O5 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-779471 Sr2Mn2O5 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-758889 NaFe(SeO4)2 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-1223569 Ta2MoO8 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-26458 Li3VF8 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1022733 Ba5V4(ClO7)2 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-1104978 MgV2CuO7 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-744832 Li2Co(SiO3)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-31624 FeSeO3F Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-27222 Cr2Ag2O7 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-38802 V3Pb5O12F Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1228167 YV3O9 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1201529 Ba2Mn2As2O Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1213518 Li2CrO4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1299702 KCo2H3(SeO5)2 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-541493 Ca2NiWO6 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-770944 Li7Mn17O32 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1221457 LiCoPO4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-753431 Zr3NiF6 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-760223 Ce(WO4)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1180053 Rb3Li2Ga(MoO4)4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-694947 BaAlVCuO5 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mvc-13252 Li2VCrP2(HO5)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-559589 Zn2CoWO6 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-752789 VF5 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1209244 Li2CoP2O7 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1201601 TmTl(MoO4)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1194285 Hg2Mo2O7 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-753203 V2CuH3O7 Prediction: 0 Actual: tensor([0], device='cuda:0') 
