mp-653922 CrNiO4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-773176 Co2SnC8SeO8 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1288517 Mn6O7F5 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-19092 Sr2CrReO6 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1213379 FeOF Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-18725 Hg2Mo5O16 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mvc-10164 Fe2AsSO9 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1209244 LiMnO2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1100934 LiMn2(BO3)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1197894 Sr2CoReO6 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1099912 KRb2Mo(OF)3 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1101433 Ta2MnO6 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1567270 NaFeO2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-863379 Mg2Ta2VO8 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-554275 BaV2ZnO7 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mvc-6929 Sr2FeSbO6 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mvc-6043 LiCrFeO4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-778814 RbVH4(OF2)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-19422 Fe2C8SO10 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1213310 TiFeO3 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1175453 Li4Mn3Fe(BO3)4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-704944 Na2CoP2O7 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1228336 Li2Mn3CrO8 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-558835 NaVH2I2O9 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-753142 GdAg(WO4)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1239481 MnO Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1211126 LiFe2P2HO8 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1274694 Li4Fe2Ni3Sb3O16 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1174276 FeB2C6(O3F4)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-18807 Li2MnCSO7 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-541368 Cr2(PO3)5 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-624689 Li9Mn2Co5O16 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mvc-11911 MgV(GeO3)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-19410 K2NaCoF6 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-698293 LiFeO2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-755037 Fe2O3F Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1214969 Li3Mn4(BO3)4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-19097 Sb2Mo10O31 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-540842 Sr3LaTa2(FeO6)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1076627 NaLiV2O6 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-510421 V3P4O15 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-17269 TiV2CrO10 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-759536 K5Mo4O14F Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-759719 VPO4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1181083 MnO2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-849781 Li3MnV2O6 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1100551 TbTl(MoO4)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1213667 Ba6Mn4Si12Cl3O34 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1208589 VPbO3 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1570791 Li3Cr(PO4)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-757803 CoBO3 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1069079 Li2Cr2O7 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1220031 Cs2NiF6 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-761495 CrP2Pb5O13 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-761401 KFePO4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-19484 V2SiO7 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-976868 Na3SmV2O8 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1213861 Li6Fe2B4SO16 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-774155 Sr2MnCO3F5 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-772550 CaVO3 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1203773 LiMn2P2(O4F)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-695805 K2Cr2O7 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-757415 K3Fe(C2O5)3 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1228167 Cs8Zr(MoO4)6 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mvc-11633 Li4MnCo2O7 Prediction: 1 Actual: tensor([0], device='cuda:0') 
mp-556585 MgTiCo(PO4)3 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-772620 Zr3V3O Prediction: 2 Actual: tensor([2], device='cuda:0') 
mvc-13255 MnC5ClO5 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-624691 VPO4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1177825 Li2MnV(PO4)3 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1222601 Li8Mn7Fe(BO3)8 Prediction: 2 Actual: tensor([0], device='cuda:0') 
mp-19251 Li8TiMn3O12 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-757086 LiMo2P3O13 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-1075935 BaCo2(AsO4)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-560902 Ca3Fe2Cl2O5 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-707911 YVO3 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1177439 Mo2P2O11 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-770735 TaTiFeO6 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1195554 Li2CrO2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-510620 HoCoC6(N3O2)2 Prediction: 1 Actual: tensor([0], device='cuda:0') 
mp-19447 KV2AgO6 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-775018 KLiTb2(MoO4)4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-867993 CsEr(MoO4)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mvc-11947 CsV3(SeO6)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1176906 Mn4(PO4)3 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-867546 SrMnZn(PO4)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-553910 FeH24C2S2(N3O7)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-28186 LiCoPO4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-19128 U(MoO6)2 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-1218935 Li4CrO4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1182481 ErWBrO4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-768854 Li2CoAgF6 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-581919 V(PO3)5 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-757335 LiMn2O3F Prediction: 1 Actual: tensor([1], device='cuda:0') 
mvc-4438 Zn2NiWO6 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1234817 VOF3 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-572192 Li3VO4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-761051 Li2TiCoO4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-642398 NaV(PO4)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1312822 MnRe(CO)10 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-850210 Cs6Fe2O5 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-562419 Ni(NF7)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-32465 MgV2(BiO5)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-557403 Mn3Fe2P6WO24 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-19290 Li2MnO2F Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-756985 Na3PrV2O8 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-774367 CsVO3 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mvc-14150 ZnMo2O7 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1175447 V2SO8 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-541220 BaCa(NiO2)4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-764299 Cu2WO4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-562428 FeC3SeO3 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-1205628 Li7Mn5O12 Prediction: 0 Actual: tensor([2], device='cuda:0') 
mp-764735 Ba2MnAl2CuF14 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-554760 Fe4OF7 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-697815 LiLa4CoO8 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1194961 La2MoO6 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-775296 UCu4(MoO8)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-753365 V2Fe3Te(PO4)6 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1198618 V6H2Pb4Se3O26 Prediction: 0 Actual: tensor([2], device='cuda:0') 
mp-1222059 KFeP4(H2O7)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-554787 Li2Fe2SiO6 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mvc-929 Cs3CrF7 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-20052 LiMn2(BO3)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-759529 LiVOF3 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1004375 Zn2Ag2(MoO4)3 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-754915 Ba2Li3Ho3(WO4)8 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-558147 LiNiPO4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1176449 NaVO3 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-559910 Rb3GdV2O8 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-26423 Li9Mn2Co5O16 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-755825 LiVCrP2(HO5)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1104716 Mg2Ta2NiO8 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-759102 Li4Mn3V(PO4)4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1298582 Sr2VAs2O9 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1221356 Li2CrPO6 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-764344 Li2V(SiO3)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-775132 LaNiAsO Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1275120 LiV(PO4)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-546989 Li3Cr4O8 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-763247 LiTiCrO4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-505784 K3V3(BiO6)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mvc-8411 La3Fe4AgO12 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1569015 Li5Mn(CoO4)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-850409 Li3MnP2(O3F2)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-752708 Gd2V2O7 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-25280 Na2Mo2Se2O11 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-752601 La7V2BO17 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1227961 Tl4V2O7 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-504376 Li2CrFe3O8 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-753916 CrH10S2(NO2)4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1202658 K2Mo3SO17 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-755493 ZnCrPO5 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1261316 MgNiSnP2O9 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-675423 Al(CoO2)2 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-1213660 Li5NiOF5 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-25426 Mo(PO3)4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-775412 Li2Mn3NbO8 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-768874 ZrMnF6 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-18939 RbSm(WO4)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1076191 VBiO4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mvc-15109 Li8Fe(O2F)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1253395 Mg11Mn2O13 Prediction: 2 Actual: tensor([0], device='cuda:0') 
mp-1222672 Li2MnPCO7 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-754255 Mn3(OF)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-755657 SrLaTaMnO6 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1076885 LiFePO4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-542666 Li2FeTeO6 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1100512 Li3V3P8O29 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1203442 Co3(OF2)2 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-776015 TlFe(SO4)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1101208 Li2Fe(PO3)4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-780394 Li9Mn7O16 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-761250 Ca4ZnCo(Si2O7)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1222978 BaCrF7 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-683668 LiNiPO4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1222077 MnC4NO5 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-770895 LiMnPO4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1211563 Na2Zr(MoO4)3 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-715474 CrPO4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1076782 K3Sc(MoO4)3 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1196029 HoMn2O4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-756622 Li4Co(OF)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-19399 Ta2CrNO5 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-504834 Li2MnCoO4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-24480 Li9Co7O16 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mvc-9981 LiNd(WO4)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-691106 Li2CrO4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-752702 MnF3 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-771388 Y4V6O21 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-755073 NaNd(WO4)2 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-561998 Li9Mn2Co5O16 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-759438 VH6(OF)3 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-763752 Sr3Pr3Mn2Cu2O13 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1221950 K4BaV6O18 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1209367 VO2F Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-755283 SrTiFe(PO4)3 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-742819 VO2F Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-555215 LiMnO2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1197638 LiV(PO3)3 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-777609 LiMnPO4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-743617 Li3Mn8(OF3)4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1200820 CsSm(MoO4)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-770752 LiMnPO4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-768421 Mn2OF3 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-26567 Co3(PO4)4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-649632 VSnPO5 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-743862 SbMoOF9 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-19321 EuCrTeO6 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-781670 Mn4ZnO8 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-766095 NdWNO3 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-775269 Cr6Cd(CuO6)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1641247 Sr2CoGe2O7 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-562985 Na2Ni4Mo4(HO4)5 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1203753 KCrClO3 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-558221 Mn2O5 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-19363 Rb2Fe2As2O9 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1209046 CoSbO4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1210860 Er2WO6 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-1196585 NaLiFePO4F Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-504723 TlCoF3 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-777372 LaFeMoO6 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-27557 Na2FeO2 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-770859 CsBa2Co2F9 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-780583 Na2LiCaVP2O9 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-763968 MnAgO4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-868632 Cr2PO5 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1180094 VCd2PO7 Prediction: 0 Actual: tensor([2], device='cuda:0') 
mp-795621 FeO Prediction: 0 Actual: tensor([2], device='cuda:0') 
mp-1218545 Li8Ni(O2F)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-650228 CaFe(GeO3)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1177748 FeSnO3 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-19384 Ba2MgMoO6 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-752552 Li2Ni(PO3)4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1195871 MnRe(PbO3)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1223206 MnTlOF4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1210008 Li4FeCu3O8 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1176413 Sr2Ni(SeO3)3 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1284095 BaLu2NiO5 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1228629 Rb8Zr(MoO4)6 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-704102 Be3Fe4Si3SO12 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1211076 VPPbO6 Prediction: 0 Actual: tensor([2], device='cuda:0') 
mp-1210634 Li3MnCoO5 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-753696 Na5MoNO4 Prediction: 2 Actual: tensor([0], device='cuda:0') 
mp-1228690 TiCoO3 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mvc-3279 Li4MgNi3O8 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-558376 PrSbMo2O9 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1204461 V5(PbO6)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1037038 LiNbNiO4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1173886 NaMnPO4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-756375 FePH5CO8 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-1267352 LiMn6PO12 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1315810 BaMoSeO6 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1194639 VAg2PO6 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-624009 CrPbO4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1200763 SrMgV2O7 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-766225 K3ReMoO8 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1100540 V2Zn3(P2O9)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1221016 Na3CaFe4(SiO3)8 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-504697 Nb12WO33 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1227145 LuVO4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-556077 La2MgCoO6 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-561037 Li2CoSnO4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-780672 Ho2MoO6 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-23082 VSO4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-744580 CoBC8(OF2)5 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-759163 Li4Fe3SbO8 Prediction: 0 Actual: tensor([1], device='cuda:0') 
mp-560582 Li3Cr3FeO8 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-17006 Li3V3P8O29 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-694868 CoSiH15N6(OF3)2 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-1213191 CsMoIO6 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1178060 BaMgV2ZnO8 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1259488 Sr8Fe7CoO24 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-19019 Lu2MoO6 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-769967 KMnH4Cl3O2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1036182 Ca5V3O13 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-755294 Na2(CoO2)3 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-560484 Mn3P4H12(NO8)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1173939 Sr5V3HO13 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1174120 V2Hg2O7 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-743771 Ba2Mn(BO2)6 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1193927 Li3Mn2(NiO4)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1214593 Ca10V6O25 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1661989 Sr2FeWO6 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1192869 U7V5Ag3O35 Prediction: 0 Actual: tensor([2], device='cuda:0') 
mp-550468 Li3(FeO3)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-559885 Li5Fe2Co5O12 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-772597 Rb4V2O9 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-555687 Li2CoGeO4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1100685 MgV2O6 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1221374 CsSm(MoO4)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-25196 Li5FeOF5 Prediction: 2 Actual: tensor([0], device='cuda:0') 
mp-19352 Ni(CO3)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1211145 Li4Co3NiO8 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1177169 Li2MnO2F Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-779753 CrReO4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-19294 Mn3ZnO7 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-1215738 Mn2P2C12S(O2F3)4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1003311 MgMo2O7 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-752631 LiV4OF11 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-755329 K2RbDyV2O8 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-35236 Rb8Th(MoO4)6 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-755701 RbIn(MoO4)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1208707 LiMnP2HO7 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-773164 MoH12C4S2(BrO2)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-776555 VOF3 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-779317 CrSi(Ag3O4)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-757182 Cr2FeO4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-557259 Ni2As2O7 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-556276 LiVPO4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-771824 K2Fe3P4(HO4)4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-765594 TaVO5 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-758550 Mo2C3S2(Cl5O)2 Prediction: 1 Actual: tensor([2], device='cuda:0') 
