mp-745180 CoH18Br2N6ClO3 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-27597 RbV3Cd4O12 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-863961 Bi10(MoO8)3 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1662321 Mo3O10 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1212303 MnHO2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1100733 VH20S2(NO7)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-768607 Li4MnFe3(BO3)4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mvc-8077 Ba3Mo2(P2O9)2 Prediction: 0 Actual: tensor([2], device='cuda:0') 
mp-780886 Li2V2F7 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-775296 Li4MnCrO6 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-559941 Na2U(WO5)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-562903 Li2CrO3 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1100935 Li7Mn3(WO8)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1295199 K2FeF5 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-23134 Mg2VBiO6 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-554181 MnSe2O5 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-752560 Sr16V12O39 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-758534 MgMn(GeO3)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-18233 Tl2Cr2O7 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1261307 K2Mo2Se2O11 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1206498 MoO4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-770969 LiCoPO4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-759965 Li2FePCO7 Prediction: 1 Actual: tensor([0], device='cuda:0') 
mp-1037511 La4Cu6(MoO4)9 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1080507 NaMnO4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mvc-9775 CrHg3(SO2)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1245019 LiMnP2O7 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-744929 LaCrCuO6 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-772671 Cr2O3 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-778744 Ag6Mo10O33 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-640765 LiVPO5 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1201916 Pr3VGeO9 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1101566 NiH12S2(NO5)2 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-19403 LiNiPO4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-21512 CoH8(CO2)4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-26825 BaMnO3 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-687239 Li7Mn5O12 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-867991 Li4Mn3Cu3(TeO8)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1228356 ZnCr(GeO3)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1209133 Mo3(PO4)4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-756362 Li10Mn3Co2Ni3O16 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-770632 Li2FeP2O7 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mvc-3027 CoH6(CO3)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-705042 Li9Co7O16 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-774525 Tb2(MoO4)3 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-698797 NiBiPO5 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-758091 Rb4Mo5H4Se2O23 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mvc-647 LiNiPO4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-765615 CrH6SO7 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-556993 PrV2IO9 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-558721 MgNiP2O7 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-18850 Pr5Te7MoCl3O23 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-757355 Li4Fe3NiO8 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1275133 MnZn2SbO6 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-849475 NaMnO4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1208998 Li3Co2NiO6 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-753337 LiMnF4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mvc-12278 CsMoIO6 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-776062 Na2VCSO7 Prediction: 1 Actual: tensor([0], device='cuda:0') 
mp-755970 ZnMo2O7 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-19007 CsMoO2F3 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-780114 Li3Mn(BO3)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-625731 CsUVO6 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-555680 VSbO4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-622640 V3O7 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-774165 NaLi2NiPCO7 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-705355 Li8Mn3Fe5(BO3)8 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-775018 LiFePO4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1178442 Cu2WO4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-761250 MgCrF4 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-559430 Li7Mn4CoO12 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-756210 V2P2O7 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1211686 Mg(CoO2)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1569040 Li2VOF5 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-753694 Li2MnCrO4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-18793 NaVCSO7 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1173969 Na3Ni2SbO6 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-756589 LiNiPO4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1218456 Zn3Cr2O7 Prediction: 1 Actual: tensor([0], device='cuda:0') 
mp-1274989 NdFeAsO Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-1222089 Nd2WO6 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-752984 Mn2VNi3(PO4)6 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-1175968 KV4Ag11O16 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-755415 Pr3W(ClO2)3 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-757411 Li3CrFe3O8 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-771137 LiFeBO3 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-756840 Ba6Na2Nb2V2O17 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-780692 NiPb2WO6 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-754735 CaMn2O4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-777624 FeOF Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-760330 Li2VO2F3 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mvc-16059 LiSm(WO4)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-758949 Mn4SiTeCl2O7 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1181443 Rb7VSiO8 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1213334 SrLaVO4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-776156 FeP4(C2O5)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1174543 Ba2PrV3O11 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1178794 Rb5FeO4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-651814 Mn12O5F19 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1238483 LaV3TeO15 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1176935 CoNCl4O3 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-561778 Mn2Fe(PO4)3 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mvc-8267 LiMnSiO4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-18907 Co2H36N13Cl5O3 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-780803 Sr2LaMn2O7 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1178416 Li3V3P8O29 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-757277 NaFeBO3 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-553919 LiFeF4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1214361 LiVCuO4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1569015 K4V5CuClO15 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-556997 RbCrO2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-560630 RbPr(WO4)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-756803 NaFePO4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-764510 K2MoP2O9 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-23566 Li5MnO3F2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1198533 Na3EuV2O8 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1173962 Li2V(PO3)5 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-1208461 Sr4Al6CrO16 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-510589 NiF3 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-550944 MnH(CO)5 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-775188 CrN3O4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-753083 Sr3NiPtO6 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1174251 MgV4(H4O7)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-752925 Li2MnCr(PO4)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1308540 NaNi4F10 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-24200 Ca2MnO3 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-753343 Li4MnCrO6 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1223417 MnAs2S2(OF3)4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-780202 SrLaTaNiO6 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1192895 Ba2Fe2CuF14 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-760792 Li2VO2F Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1192129 RbYb(WO4)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-765593 Li2AlCoO4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-625532 MgMo3O8 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1661647 Ni(PtO2)3 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mvc-9235 K2RbYV2O8 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1174493 Fe(AsO2)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-768085 VCuO4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-756075 V2O5 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-18893 Sr3Ca5TiMn7O24 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1176347 Li5Mn8(BO3)8 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-698222 CaMn2O4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1210008 LiNiPO4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1222159 FeAgO2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1319442 VH9C3O4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-19275 Rb2Zr(MoO4)3 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mvc-15035 MgSi2NiO6 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-17822 K5Na3(MoO4)4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-545796 LiNbCoO4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1193056 Cs2Mo3O10 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1214428 CaCr2O2 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-753491 Sr3TaCoO7 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-771887 Nd4Mn(NiO4)3 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-19116 Pr2(MoO4)3 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1210573 Li2V3(P2O7)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-759533 Li2TiCr2O6 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1189247 CaLaMn2O6 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1174882 FeSb(PO4)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1578402 SrU(MoO4)4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1218351 NaCoO2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-753522 VH12N3O5F2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1196754 MgFe4CuO8 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mvc-1473 SrV2TeO8 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-557276 Ca8V7ZnBiO28 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-849394 CaCrNiP2O9 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-756249 Li2VCo3O8 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1565616 Li4FeSi2O7 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-645159 MnAlO3 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-565836 VPO5 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-553996 SrLaVO4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1038123 Li3V3P8O29 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1213346 Co5O7 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-778517 MoH8N2O5F2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1174571 Cs2MoO4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-758702 TaVO5 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-753782 Mg8Mn3O11 Prediction: 0 Actual: tensor([2], device='cuda:0') 
mp-510755 Hg2Mo2O7 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-558755 Mn3(PO4)4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mvc-945 Li4Ti3V3Cr2O16 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-753609 ScCrO3 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-759438 MnBiO3 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1175292 LiFePO4F Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1661817 CaLaTaCrO6 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1220800 LaCrBiO6 Prediction: 2 Actual: tensor([0], device='cuda:0') 
mp-1244503 CoO2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-753430 Li2NiP2O7 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-16393 Li5Mn2Fe3O10 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-770327 LiVSiO4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-18960 K4Mo2H6S2O9 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1251416 TmCu(MoO4)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-18815 BaSm(CoO3)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-772719 RbSm(MoO4)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1302599 CoH2SeO4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-778015 Li8CrO6 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1228513 Li2FeBAsO7 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-6396 V4P7O24 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-19440 KBaCr2(PO4)3 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-560688 K3V5O14 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1223817 Li2MnNi(PO4)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1228108 FeBiO3 Prediction: 1 Actual: tensor([0], device='cuda:0') 
mp-756874 Li2CrO4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1176242 Sr2ZnMoO6 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-745021 K2MoO4 Prediction: 0 Actual: tensor([2], device='cuda:0') 
mp-1221075 Y2(MoO4)3 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-19894 Rb3ErV2O8 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1219299 NdTl(MoO4)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-867719 MnH2SeO5 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-755002 LiV(PO4)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-753713 Li5V6O5F19 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-754247 Sr5La3Mn8(O2F)8 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-773008 Li9Mn2Co5O16 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1248448 Na2Ni2(B4O7)3 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-18968 Mn5(Si2O7)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-697789 Cr2AgBiO8 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-1174024 K2LiVO4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1318458 CrPtO2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-743547 LiMnCO4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-753688 NaMnO2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-778578 LiV(OF)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-19409 Li3MnV(PO4)3 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-705362 Al2FeP2(HO)18 Prediction: 2 Actual: tensor([0], device='cuda:0') 
mvc-7796 Nb2Co4O9 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-559481 CrF2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-28775 Na2NiH6C4N4O3 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-771332 Li2MnVP2(HO5)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1218539 LiNbFeO4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-776609 U(MoO6)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1209247 LiNiPO4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1218705 NaNiBO3 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-19143 VOF Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-560305 Rb2UCr2O10 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1012835 TaMnO4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-560071 KVH4O7 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-541508 Li7Ni(O2F)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-581396 VOF2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1208266 Rb8Zr(MoO4)6 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-768647 LiCr(SiO3)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-559869 Li3V3P8O29 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1210103 K4CrO4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-762413 CoB4O7 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-754463 Rb5LiSi2NiO8 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-1178094 LiVF6 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1080243 KSc(MoO4)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-766039 Mg30CoBO32 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-768583 Ba2NbFeO6 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1213209 NaZr2MnF11 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-776641 V3H4NO8 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-755819 LiY(WO4)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-19028 Fe2O3 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1175101 Zr2Mo(PO6)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1215766 Li3Mn2VO6 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1195162 Li9Mn2Co5O16 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-23967 NaFe(MoO4)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-572487 Mg6CrBO8 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mvc-8408 CoH14C3NCl3O2 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-1227842 Ti5Fe11O24 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1272954 Li2TiVO4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-558889 Sr2NiRuO6 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-540439 LiCrP2O7 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-706271 LiCo3NiO8 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1201718 K8UCr4(NO12)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-641191 LiMnBO3 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-755468 Li2MnP2O7 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-650024 TiFeO3 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-761189 VP2C4N3(ClF6)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1224662 Li3MnCoO5 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1203349 Li5Fe3(SbO5)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1662219 AlMo3Se2ClO8 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-764513 LiMn(PO3)3 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1216423 RbCr(SO4)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-18456 Fe3B7IO13 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1206821 RbMoIO6 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-754635 TmMoO4F Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-744755 KLiMnO2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1199170 Cs2ZrMn(MoO4)4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-771705 Ta2Mo2O11 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-756141 Li2MnP2O7 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1177789 Li2VF4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1078634 Cd4NiH20(ClO)10 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-1105140 SrCrHO2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1227248 NbCrO4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mvc-11656 Ba3Cr2WO9 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-867660 V(PO3)2 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-1203528 Li2TiCoO4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-779329 K2MoC2O9 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-551760 ZnNi(GeO3)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1290831 LiCrO2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1190505 LiNi(PO3)4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mvc-1302 Li5V6(CuO4)6 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1215347 SrMgV2O7 Prediction: 0 Actual: tensor([2], device='cuda:0') 
mp-867645 KGaCoC4Cl3O4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1221002 CsRbMo3O10 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mvc-7386 Li9Co7O16 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-755946 VPO5 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-971678 Li6MnO4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-25403 LaFeTeO6 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1227914 CaMn2O4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-557221 Li4Mn3CoO8 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1177032 Na5Mn2P2(CO7)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mvc-2232 MnAsO4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-758030 Ca2TaMnO6 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-770701 Li2CrO4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1194599 K2Mn2O3 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-755817 Ba3V4PbO14 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-1212977 Mn4GeP4(H6O11)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1301543 Ba2CoSe2(ClO3)2 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-1175044 VCoO4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1223705 Li4Mn7(OF7)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1208115 Li2V2P2O11 Prediction: 2 Actual: tensor([0], device='cuda:0') 
mp-1278884 NaMo3NO10 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-754230 U2CoO6 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-762514 Li3Mn2O5 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-761111 RbV(PO4)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-760097 Sc2(WO4)3 Prediction: 2 Actual: tensor([2], device='cuda:0') 
