mp-754904 NdMnPO Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-768387 Li3Co2(SiO4)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-27597 Nb2FeO6 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-608522 Lu2(MoO4)3 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1190551 Li8Mn(O2F)2 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-17362 CoPH6NO5 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1175845 LiMgIn(MoO4)3 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1197579 LiMnBO3 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-849390 Li2Fe3TeO8 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-18721 LiMo2AsO9 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1661926 UAg2(WO5)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1173529 Sm2(WO4)3 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-766099 Sr2TaFeO6 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-561272 Li9Mn2Co5O16 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1283181 Sr8Fe7CoO20 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-1176576 Ca2CrSbO6 Prediction: 1 Actual: tensor([0], device='cuda:0') 
mp-1213223 VAsO5 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1182595 Li9Mn2Co5O16 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-557209 Zn3Fe3(AsO4)4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-19352 MgNi(GeO3)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1220201 Na3CaMgCr3(SiO3)8 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mvc-3949 Li17Fe4(CO3)16 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-757185 Li3Fe(PO4)2 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-752506 CsTb(MoO4)2 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-1199536 Ba3MgV4O14 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1314584 CsVOF3 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-1213453 Rb2Zr(MoO4)3 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-1227058 Sr2Ca2Fe3CoO12 Prediction: 2 Actual: tensor([0], device='cuda:0') 
mp-772237 FeHO2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-768544 LaFeWO6 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-625407 BaYMnCoO5 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-18751 YAg(WO4)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1221027 LiCoPO4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-758108 LiCaVF6 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-647768 LiVPO4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1199088 LiMn2O2F3 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-769501 Li9Mn2Co5O16 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-758184 NaLiFePO4F Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-758442 Li3MnV(PO4)3 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1176199 Sr4LaMn5O13 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-761656 Ca3Fe2Cl2O5 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-755545 CsBi(MoO4)2 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-1193772 Li7Fe2P7O24 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1202865 LiCrPO4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-774679 Mn5(OF3)2 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-757124 KV4O10 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-771646 K3VO4 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-768501 Ni2P4C11S2(OF8)3 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1175091 La2CrO6 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1221356 Li3VO3F2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-696630 Li2TiCoO4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1192289 CsLiMnP3HO10 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1177532 Li3MnCoO5 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-774681 HoSbMo2O9 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1036366 LiMnVO4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-753496 Rb4Mo5(PO11)2 Prediction: 2 Actual: tensor([0], device='cuda:0') 
mp-777459 SrCrHO2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-765729 KV4Ag11O16 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1174085 NiPb2WO6 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-510055 LiVP2O7 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-760125 Mg2Co2O5 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-756536 Li4Ni5Te(PO4)6 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-559299 V2GePb5O12 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1302410 VZn2IO7 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1176820 LiNiBO3 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-780787 VO2F Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-30201 KCe2FeO5 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1207744 V2Cu5(HO3)4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-694966 V2WO6 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1013577 CaLaMnFeO6 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-765753 Ce(WO4)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-19219 KNi(PO3)3 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-648745 Na2MnO2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1200748 La6Mo8O33 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-781077 Er2WO6 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1214365 Na2MnCSO7 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-752810 CsV(SO4)2 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-1154479 LiV(TeO4)3 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1298313 ZnCu2(WO4)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mvc-4007 Li4Fe5Sb(PO4)6 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1214307 KLiTm2(MoO4)4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-752445 Li7Mn5O12 Prediction: 2 Actual: tensor([0], device='cuda:0') 
mp-755440 Na2Ni2O3 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-22938 CoHRu(CO)6 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-756829 Li2TeMoO6 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1209770 Ca2MnFeSi4(HO3)5 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1209632 VCdClO3 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-19225 Mn12O5F19 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1002574 KCr2AgO7 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-772975 ZrCrO3 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1104265 Li3Co2(SiO4)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-704240 BaMn3(PO4)3 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-772654 Li4TiCu2Ni3(PO4)6 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-705331 RbDy(WO4)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-760112 Li2MnO2F Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1103922 LiMnO2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-771013 Na14Co2O9 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-601377 Ba5Lu8Ni4O21 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-764319 Li3V3P8O29 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1265553 BaNi2(AsO4)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-18845 MnVAgO4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1076219 Li2U3V2O15 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-775850 VO2F Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1211443 LiFe4(PO4)3 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-775266 LiCr(PO3)4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-755683 K3FeF3 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1247646 V2Pb4O9 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-769511 Fe3OF5 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-561026 Sr2Ni(PO4)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-686936 VSnPO5 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1200032 Mn2SnC9BrO9 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1198790 LaMnO3 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1213137 Ba2FeWO6 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1175514 Ca2AlCrO5 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-584012 Cs2V5H5O16 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-850214 Cr(CO)6 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-604368 RbMoAsO6 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1197715 LiVP3HO10 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mvc-6779 Mg30TiVO32 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1283877 Na2VF5 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1211449 Na2Th(MoO4)3 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1206631 YWClO4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-780086 Li3Co2(SiO4)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mvc-7747 Li2Ti4Co(PO5)4 Prediction: 0 Actual: tensor([1], device='cuda:0') 
mp-31123 LiMnSi3O8 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-24296 Li2FeSiO4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1173939 Li5Sc2Fe3(SiO3)10 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-1175382 Na4UCr3O14 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-653788 ZnCrP2O7 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-550454 Li2Mn(SeO3)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1177945 Zr2Mo(PO6)2 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-696580 BaVSi2O7 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-561403 Nd2Mo4O15 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-753963 Li4AlCr3O8 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-754400 Li4Fe7(PO4)6 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-1209392 LiMnPCO7 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-643154 BaCo2(PO4)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-25266 Mg30NiBiO32 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-766384 LiMnPO4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-756937 Li4V2(SiO4)3 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-752612 CoAuO2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-756421 VPO5 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1221303 NiH8C4(NO2)3 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-540582 RbV3(SeO6)2 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-759510 Li7Mn2(CoO4)3 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-756362 Li3MnAl2O6 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-24827 Mo6H24C8N2O19 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-766838 MgMn2O4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1205311 CaTiMo(PO4)3 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-696217 Li3MnV(PO4)3 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-759467 Li2Co2Si2O7 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-19209 Cs2Mo7O22 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1079069 CsEr(MoO4)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1174809 LiV(CO3)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-849418 NiSn(PO4)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-19079 Mn12O7F17 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-14118 LiAlCoO3 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-752598 LiCo5O7F Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-756366 LiMn2(BO3)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-762454 MnHO2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mvc-14346 MoPH3O7 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-1100542 Li9Mn2Co5O16 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-757629 Li2MnP2O7 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-766011 ScBi3(MoO6)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-556077 LiCrO2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1105560 ZnCr(SiO3)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-559672 HfV2O7 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-504506 MnAlO3 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-19085 LaCoSbPbO6 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-768728 NiP2O7 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-752971 Li2NiP2O7 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-754097 Zn2NiWO6 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-556461 LiMnPO4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1217119 U4Ni3(O13F7)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-849692 LiFeSnO4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-771954 VO2F Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1651352 Ca4ZnCo(Si2O7)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-699471 BaNiF6 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1639333 LiSm(WO4)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-683668 Mg2VBiO6 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-505147 Li3V3P8O29 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-754070 Ca2CrH2I2O11 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1221075 Ba2Li3La3(MoO4)8 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-764009 Be(CoO2)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1202597 Li4Mn3Cu2Sn3O16 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1216116 CrB2(PbO2)6 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-753288 Mg30AlVO32 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-556802 CsMnVF6 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-18869 Li2MnP2O7 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-780435 Rb6U2W4O21 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-754546 Li8Ni(O2F)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1277418 KV3Cd4O12 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-753525 ZnCr2O4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-772563 V2Pb2O7 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-753985 Ca2NbFeO6 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-772586 LiNiPO4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-775327 Li2TiV3O8 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1311338 CuMoF6 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-556136 MnV2P2(H4O7)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-704908 KBaV3Cd2O11 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-757646 MnCd4O5 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-756364 Ti3NiBi2(PbO6)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1181422 Co3O4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-625381 ZnFeP2O7 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-690559 Li2MnP2O7 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1104015 FeOF Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-554152 AlVMoO7 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-759543 Li2CrSi3O8 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-755735 Li2CaV12O32 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-777349 KNa7V6Cr2O20 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-778667 TiCo5O12 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-683791 MgCrH22O15 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-554750 Ta2Zn2NiO8 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1218756 MoCl4O Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-1256989 TmMn2O5 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1213310 AlCoO3 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-756123 V2Cd2O7 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-554705 Li4Ti2Mn3V3O16 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1095622 Na2Li4Mn2C4SO16 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-757182 CaLaTiFeO6 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-768443 MgFe11O18 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-19517 Cr3NiTe2(PO4)6 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1080749 LaAg(MoO4)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1104967 FeP(H2O3)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1189952 LiCoO2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-758349 KFeP4(H2O7)2 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-698583 NiH8S2(NO2)4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1318386 Li2Fe2P2O8F Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-504510 Li3V3P8O29 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1308540 Rb3Li2Ga(MoO4)4 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-776816 RbSc(MoO4)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-758425 Mg(FeO2)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-694946 KBa2V2ClO7 Prediction: 0 Actual: tensor([2], device='cuda:0') 
mp-1193015 Na2MoAs2O9 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-775331 KMnCl3O2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-558802 LiVNiO4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-561940 KAl(MoO4)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1177203 Nb2Fe4O9 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-699429 RbFe(MoO4)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1228499 Na3PrV2O8 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-780397 Li9Mn2Co5O16 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-559500 SrFeO2F Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-863426 Co(NiO2)4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-752925 Sr2FeSnO6 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-780891 Sr2Ni(SeO3)3 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1209740 Li2NbCo3O8 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1099855 Zr(MoO4)2 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-1104384 LiFeSiO4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1182481 Na2Cr4O13 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1204192 Li4Fe2C4SO16 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-554980 Na3VF6 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-561093 Li7Mn(O2F)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1224580 K8V2(S2O9)3 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1204373 MoWO6 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-554787 Nd3Y3(Fe5O12)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-744205 YCu3(WO4)6 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-758153 HfMg30MnO32 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-753694 CrP2O7 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1228794 Li6CoOF6 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-18973 RbEr(MoO4)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-561705 Li5Mn2Fe3O10 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1239483 RbLiMoO4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1076628 Na6MnO4 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-759310 K3NiO2 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-761495 Th(MoO4)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-26089 LiMnPO4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1194207 Na2Zn11(MoO4)12 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1192153 FeO Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-757854 Li5Mn2CoO8 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-758593 LiVO2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-997554 Al2FeO4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1173938 TiCrO4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1213032 LiNiPO4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1218213 Gd6WO12 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-764930 CsLiCrO4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1254661 Li4Mn3Fe(BO3)4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-540438 Li3NbV2O6 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1297951 KV(SO4)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1213346 Li2Co2(SO4)3 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1643767 VH8C2NO3 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1279131 SrMnO3 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-774155 V2SiO4 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-752900 YMnCrO5 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-19660 ZnMoO4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1100682 VH14C4NO2F3 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1105353 Ba3Er2MoO9 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-558067 LiVCoO4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-762265 Li2CrO4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-510755 Li2NiBO4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1207219 VO2F Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1208461 ZnCr6Si2Pb10(O16F)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1199758 LiVF4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-753480 VZn2O4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-26009 LiMo2P2O11 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-616610 CaMn2O4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-705680 MnAl2O4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-744439 NiP2O7 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1114473 MoPNO7 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1217104 MnNF3 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-763976 Mn3TeP2Pb3O14 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1218840 NaMoAsO6 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-1178092 Li5Nb2V3O10 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1261307 Li6VO5F Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1223051 Mo(HO2)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1195555 Al2(MoO4)3 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1212931 Sm2(MoO4)3 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-754914 BaLa4Mn5O15 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-17019 CoP2H15N5O8 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-745159 NaMn6Al3H42(SO19)2 Prediction: 2 Actual: tensor([0], device='cuda:0') 
mp-1204784 Sr2CaMoO6 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-556157 LiTiVO5 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1275120 CrO Prediction: 1 Actual: tensor([1], device='cuda:0') 
