mp-1218391 Ba2La6Mg4Ti3WO24 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-560496 Li2MnGeO4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-510532 Fe3C10SeO10 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-772241 VPO5 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1228930 VH12SO10 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-757965 Li7Mn(OF)3 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-996996 KMnIO6 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-695911 LaV2BiO8 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-850952 Li2Cr2H4O9 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-28359 BaBi12Mo5O34 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-752824 LiVF6 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-557107 K2MnTlF6 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-18937 Sr3NiPtO6 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-778749 Li3FeBAsO7 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1218815 YTl(WO4)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1293819 RbTm(WO4)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1113468 Sr3TaCoO7 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mvc-572 Na4V2O7 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-766099 Li2Mn3CoO8 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-758458 NiSeO5 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1177499 KSc(WO4)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-759135 Ho2WO6 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-628782 Li4Mn3Fe3(CuO8)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1275461 CrHgO4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-752855 Mn4OF6 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-867647 Y2Mn3(SiO4)3 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1198439 Ba2DyV3O11 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-555417 Li2FePCO7 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-772112 Na7Li3V10O30 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-759174 Mg2Ta2Mn2O9 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-759034 KBaV3Cd2O11 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-18899 Na3VO4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1202200 LaFeTeO6 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-25542 Al2(MoO4)3 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-558255 Ni(ClO3)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-753303 Ca2TiMnO6 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-772529 LiVOF4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1218539 Li2MnSi3O8 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-648893 Sr2ScNiPO3 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1218910 Li2CoSnO4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-758798 Li2FePO4F Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-27545 Ta2CrNO5 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-31908 Ba3Nb2CoO9 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1176411 K2Sc2P2WO12 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-1177950 Fe2O3F Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1298274 CaMn2O4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-768084 ThTeWO7 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1225028 Co3Cu3(TeO8)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-753688 UMoO6 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-698666 Co(CO3)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1177446 Fe4SiO9 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-755668 LaVO4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-744776 NaCr2BiO6 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-753694 Rb2LiVO4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-18834 Co(RhO2)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1176722 Na2FeO2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-554685 K3VCO8 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-756266 Y2Te3MoO12 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1204976 TmMnO3 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-774694 NaVO2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-759703 MgCr2O4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1191386 K3NaCr2O8 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mvc-5772 Sc2(MoO4)3 Prediction: 2 Actual: tensor([0], device='cuda:0') 
mp-753283 Li9Mn2Co5O16 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1222767 Na5Nd(WO4)4 Prediction: 2 Actual: tensor([0], device='cuda:0') 
mp-1244505 BaY2(MoO4)4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-768598 K2Cr2AsHO10 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-565836 V2O5 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1100902 CaFe2O5 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1194895 Li3V2F12 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-27151 Li4Mn2VNi3(PO4)6 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-19903 Li3Fe4(BO3)4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-760202 Zn2Ag2(MoO4)3 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1105354 SrCrO2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-757214 MgMn2O4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-755005 CaCr2O4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-22754 CrMoF6 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-770376 V3(AsO4)4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-560164 Li2Mo(PO4)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1210549 K2MoAs2O9 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-558369 MgTi2Pb4WO12 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-868046 CsLiMoO4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-777386 V2AsO6 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-753927 Mn4Zn3H10(CO8)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1226936 Mn2P2C12S(O2F3)4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1195269 Cs2Mo4O13 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-757842 Ti(WO4)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1276679 Ca3Co2(GeO4)3 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-764774 RbV3(SeO6)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1218837 VHO3 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-759567 NaCo2As3O10 Prediction: 0 Actual: tensor([1], device='cuda:0') 
mp-778991 K4Mo3H4O17 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1228193 Ca5V3O12F Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1239384 Li2Fe3O4 Prediction: 0 Actual: tensor([1], device='cuda:0') 
mp-761246 Li2MnFe(PO4)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1210997 VH24C8S2N2O9 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-764607 LuTl(MoO4)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1076058 Ca2MnP2(H2O5)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1114699 LiMo(PO4)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-761179 Li2MnOF3 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-1223344 VSO4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-758586 SrLaMnO4F Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-772342 VH16C6N6O7F2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1192793 BaTiFe3(BiO4)3 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-541006 LiMn5(CuO6)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-770502 CoWO4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1213789 Na3VP2O9 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1220703 AlNi2BO5 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-755842 Li3MnCo3O8 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-18050 CrBiO3 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-757681 LiNiPO4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1211661 Na3MnSiCO7 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-18245 LiCoPHO5 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-756420 Li4Fe3(OF3)2 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-752934 BaNdNiSbO6 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-997161 V2SiPb5O12 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1209244 LiFePO4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1208589 Li8FeO6 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1176731 K2U(MoO5)2 Prediction: 1 Actual: tensor([0], device='cuda:0') 
mp-556249 Li3V3Cr2O10 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mvc-8324 Na3V(H14O11)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-753573 K3VO4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1568822 Fe2Pb3WO9 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-1211497 Na3Co2SbO6 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-16841 KVOF4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-721034 MnCO3 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1238416 Tl4Mo5O17 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-757406 TaVO5 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-697742 FeSb4C6(O3F11)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-867555 K2ZrFe(PO4)3 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1197826 TaFeO4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1192676 Li8Ni(O2F)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-777778 LaCrCuO6 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1180055 YCu(WO4)2 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-1103360 CsSm(WO4)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-26854 VOF3 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-761250 PrCoO3 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1202658 FeP2H2O9 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-752788 Fe3O5F Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-26163 MgCr2O5 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-34139 Mn2CrO4 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-18733 BaSr4(FeO2)5 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-753488 Li2Cr2O7 Prediction: 1 Actual: tensor([0], device='cuda:0') 
mp-1181071 Li8NiO5F Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1197813 Li4VFe3O8 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-774904 LiCrPO4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-540914 Nb3VF6 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-768354 Hg2Mo2O7 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-756340 Zn(MoO2)4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1228643 ZnCo2P2O9 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-640883 Na2MoO4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-770611 K2Mo(OF)4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-851119 NbFeO4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-22458 PrMoO4F Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-759615 K4Na4Nb3(WO4)5 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1541946 LiNi(PO3)3 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-759644 MnO Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-778104 Ca4Mn4O11 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-758815 SrLaVO4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-554340 K2UCr(IO6)2 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-776980 MoF5 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1193290 TmMoClO4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-26220 CaLaFeSnO6 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1180439 Li3V3P8O29 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-753588 K3Sc(MoO4)3 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-764928 Ca3V2O8 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-560590 Na3Mn2SbO6 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1313101 ZnMo2O7 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1100657 Fe3(OF)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1194096 Li3MnSiCO7 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-752946 Li4MnCo2O7 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-560414 KLaCr2O8 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1174497 NiB4O7 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-22443 VInO4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-542120 Li2MnP2O7 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-604490 Li6NiOF6 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-720729 Li2MnVO4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-757268 MnGeO3 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-1190820 Rb5FeO4 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-849343 Cr(ClO)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1252214 K2LiVO4 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-753308 Li2Zn2(MoO4)3 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1208685 VZnBiO5 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1196979 DyAg(WO4)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-559910 LiCo2OF3 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1279869 CoO2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-746670 Ba2V2CuClO7 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-771275 LiCrSnO4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-27681 Li5Ti2Mn8O20 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-639164 HoFeGe2O7 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1201772 KSr3La8Mn12O36 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-31760 Li4V2P4H3O16 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-743839 KFeAs2O7 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-504834 LiFePO4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1219796 Li2NiH8(CO5)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-559240 LiVPO4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-776015 V3O7F Prediction: 1 Actual: tensor([1], device='cuda:0') 
mvc-10081 Li3NiF6 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-645299 Rb2Ti(WO4)3 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-12040 Li3Mn(PO4)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1175432 Li2V3TeO8 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-558376 Li3Mn(PO4)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-558005 ZnCoSb2O7 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1111601 Fe2C9(O4F)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-560406 CrO3 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-753889 Li3VF6 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1213049 K2Mg2(MoO4)3 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-754264 Sr3Fe2Cu2Se2O5 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mvc-11947 NaCr(GeO3)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1094123 Ni3OF5 Prediction: 1 Actual: tensor([0], device='cuda:0') 
mp-1247637 Fe4O5F3 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-776873 CrPO5 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-510568 Li2Cr2O7 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-20431 Ag2Te3Mo3O16 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1198581 SrMn(GeO3)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-771145 CsBa2Co2F9 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1173962 LiNi(PO3)3 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-19313 LiMnP2O7 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-1177792 Na3NiAsCO7 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1239391 Nd3Er(WO4)6 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-759987 Ca2MnWO6 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1021950 CrC5SO7 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-600169 RbSbMoO6 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1176746 BaNiF6 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-705070 Li2MnOF3 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-19474 NaVCdO4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-26919 Ba3Er2MoO9 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-769542 ReWO6 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-764459 Na3MnO3 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-25963 NaSc(WO4)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1569484 LiNi(PO3)4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-656887 V2O5 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1200957 Li2NiP2O7 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1212114 NdMoBrO4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1213346 RbMnP3HO10 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-761572 CsMnH4(OF2)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1213406 FeAuO2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-645942 Pr2(MoO4)3 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1291942 Li2(NiO2)3 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-849540 Li2CoP2O7 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-561748 Ta2FeO6 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-849469 BaVSi2O7 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-556324 SrLaTaNiO6 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-645743 Li3V2OF7 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1036070 CaNi2P2O9 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-756077 ZnNiP2O7 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-25403 LiCdCoF6 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1192455 Li5V3P8O29 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-555206 Li3NbV2O6 Prediction: 0 Actual: tensor([2], device='cuda:0') 
mp-1214859 MnPH2(CO)4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-767447 Li2VCr(P2O7)2 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-754194 MnTeC5O6F5 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1661813 Na5LiCo2P2(CO7)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1175633 KCrO3F Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-756449 Li2Co(SiO3)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-755501 MnAl(WO4)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-850960 MnSiO3 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-761066 Rb5FeO4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1210465 K2MoS3O Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-753245 Li2VO2F Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1037845 Mn3Bi(CO)15 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-764872 MoO3 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-772550 NaFe(SeO4)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-776428 V2Pb3O8 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-19292 Na2MoO6 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-753361 La2NiO4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1639205 Sr2Fe2Se2OF2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-762265 Rb2Cr2Cd(H2O5)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-715558 Sr2FeClO3 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-768093 Nd2Zr3(MoO4)9 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-764701 VPO5 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1208910 Li2FeO3 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1176222 K5In(MoO4)4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-18809 AlFe3F15 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1200936 SrLa2Mn2O7 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1178549 LiTiMnF6 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1189201 MgFe2O3 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1200917 Li4Fe3NiO8 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-867723 Li2FeO2F Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-755234 ThV4O12 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1099253 LiMo2AsO9 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-761549 MnVCuO4 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-39208 Li2TiV2O6 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mvc-10309 Mo2C4NO7 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1249045 VSbO4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-541220 Li13Mn2O9 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-849262 Fe2H4NF6 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1204008 MoH4O5 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-764488 MgCr4O9 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-771365 Li4Mn3(SnO5)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-20014 Ni2P4C11S2(OF8)3 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1201553 BaCo2(AsO4)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-777453 V3Cr(PO4)6 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1177868 Li2TiCrO4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1218517 CoAuO2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-554966 Co3Bi(CO)9 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-644334 Ca2FeWO6 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-560071 K6Na2Pt(WO6)6 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-19166 CoTeO4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1542973 Sm2VFeO6 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-31123 Al2NiO4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-763178 Nd2Tl(MoO4)4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1210152 K2FeH2OF5 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1217766 Li4MnSi2O7 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-556428 Li2TiNi3O8 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1281647 V3Zn2O8 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1211702 CrO3 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1197647 Li2Co(Si2O5)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-18720 KVCdO4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-25446 Li6MnO4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-774305 SrV3O7 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-850026 KVTeO5 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-780798 Na3CoF6 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-780708 LiFe2(SO4)3 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-554919 Sr2VBrO4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
