mp-775211 Li3MnSiCO7 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-644707 CoO2 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-745113 Mo4P5O24 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-753220 Ga2CoO4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-584122 La2CrO6 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-752445 TiV2O7 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-779348 CrBi8O15 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1003548 YMn3O6 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1220779 CaMn(GeO3)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-754235 LiMnPO4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-773082 Na2Ni2O3 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1227934 Ni5SbH17C15NO9 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1176436 ErCoO3 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-22005 Mn2InC10IO10 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1199880 Na3V2PO9 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1173688 Li3Fe4(PO4)6 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-704125 Li3Mn2O5 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1036613 SrNbFeO6 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-758146 Li3Ti2CrO6 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-753525 Li3V(H6O5)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-753782 Li2FeSiO4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1222520 V2Bi8O17 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1194285 VMoO5 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-22730 Na6MnO4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1194022 TlCrNiF6 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-25234 LiFe2P2HO8 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-770895 Li2MnP2O7 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-26193 Zr(MoO4)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-758873 Al2NiO4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-32686 Li3Fe(NiO2)4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-759067 Li2FeWO6 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-640883 Sr2Fe2Se2OF2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-779448 LiV3(OF3)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1210967 Mn2O3F Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1217765 MgCr2O7 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-1276026 Tl3VF6 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-768579 VH10SeNO9 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-691119 Mg14AlCoO16 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1096881 K2Be2NiH6F8 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-556535 Fe6O7F6 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-754433 K2CrF5 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-773399 Na5Mn3S4(O4F)4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-26324 TmCu(WO4)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-651724 LiFePO4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1220703 CaFeO3 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-768501 Sr2YMn2O7 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-775022 Fe2(SO4)3 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-40502 LiMnPO4 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-1221953 Mn15NiO32 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-19310 LiV3O8 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1195335 Mg3MnO4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-765691 TmAg(WO4)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1227327 NbFeO4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-562663 Na3V(H14O11)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1173889 Mn(ReO4)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mvc-12644 Mg3Fe2O5 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1212049 FeAsO6 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1226333 Li4Al3Cr3(SbO8)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-559242 Mg30MnCoO32 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1178275 V2CdO6 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-759129 Li3VPCO7 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1218517 Li3V3P8O29 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-18137 CsNa3U4(MoO10)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1218686 V2Se3O11 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-754539 Li2VP2O7 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-777835 MoP4O13 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-764344 Cs2Co(NO3)4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-760146 Li2NbCr3O8 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-540984 Li2NiP2O7 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-849398 Li3Cr(CoO3)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-35690 Ba2Na(NiO2)3 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-540958 CaMn2(H2O3)4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-706518 LiFeBO3 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-776471 Rb2Th(MoO4)3 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-752611 LiNiPO4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-758152 LiTi2V3O12 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1299496 Li4MnV3(P2O7)4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-752618 Li4V3Cu3(WO8)2 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-743617 Pr2(MoO4)3 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-17194 Rb2U(MoO5)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-755218 CaVNiP2O9 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1217181 K5CeFe2(NO2)12 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-752853 Ag6Mo10O33 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1190827 MoH2Cl2O3 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-766005 Li3V3P8O29 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-755211 Li3V3P8O29 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1218440 LiFePO4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-23111 K2LiVO4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-540828 NaVCdO4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-763793 Li2MnFe(BO3)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1208589 SrLaTiMnO6 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-581396 Li2CoP2O7 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mvc-2265 Li3Mn2CoO6 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1176040 CoHCO3 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-558850 RbMg30MnO32 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-558386 HoMoClO4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-774155 RbMnO4 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-1177943 Li4Co3Cu2Sb3O16 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-770639 LaFeWO6 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-694989 V2PbO6 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-753086 Li2MnBO4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1222775 VOF3 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1197025 Na2MoO6 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-850188 MgFeSiO4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1201385 LiVSiO5 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-19338 BaMg2V2O8 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-752612 VF5 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-1222016 MnCdO2 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-760218 Al2FeO4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1264233 RbMgCrF6 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1180501 Li6V3P8O29 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1175775 Li2CoSiO4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1211745 Li2VO3F Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1226872 VIO4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-33009 Li2CrCo3O8 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-760936 La2NiO4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1210945 Li3V2(PO4)3 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1227834 Li3MnPCO7 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-19499 TlVH6SO9 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1177748 La4Co3ReO12 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mvc-14150 LiMnO2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-25266 KSc(WO4)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1274301 Li4Mn3(OF3)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1306353 Li3V3P8O29 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1219198 K3V2(S2O9)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-777480 Ca2CrWO6 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-19323 Mn2CrO4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-754017 NaMg2V3O10 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1193056 Sr2V2Se3O13 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-863379 Li5VP2O9 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-773510 LiNiPO4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1036988 Na3Co(NO2)6 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1318386 LiNiSnO4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-765706 Sr2CoO4 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-1215303 Na3FeAsCO7 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-559825 CoH17S2N5ClO4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-720863 LiVNiO4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-698602 KCr2FeO8 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-760204 Mn2SnC9ClO9 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1210883 LiCoCO4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-756743 MnAlO3 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1200083 KNiAsO4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-560714 TmTl(WO4)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-774512 Li3Cr4(PO4)6 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1216859 Li2VO2F Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-756803 Mn2BO4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1639312 ZrMoWO8 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1222462 MnHC3O4 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-765583 Na8Hf(MoO4)6 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-761167 CrCuO4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-759960 CsZnFeF6 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-777673 V(Bi5O8)5 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-771386 TiNi(PO4)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-19224 Li2FeO2F Prediction: 2 Actual: tensor([2], device='cuda:0') 
mvc-2602 Li4Ti2Mn3Cu3O16 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1661785 Li6Fe5O12 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-757182 LiFeSbO4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-546007 Na2Zr(MoO4)3 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-761780 Li2FeO2F Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1195554 Li2VF7 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1221356 Li4Ti3Cu3(WO8)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1209564 Mg(MoO2)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1204976 Ca(CoO2)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1299461 V2P5O16 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1662795 Nb9V2O25 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1017466 Ba2NdV3O11 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-757741 VO2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-560630 Mn2CdO4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-541255 LiMoIO6 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-765219 LiNbCoO4 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-763901 Mn(IO2)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1216053 Li2Cr2O7 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1227848 Fe3Cu2Te(PO4)6 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1013864 Fe3OF5 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-772673 NaNiAsO4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-19340 LiV3O8 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-849409 Mn2FeSbO6 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-754657 Mo3NO9 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-558437 Mg30NbNiO32 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-559172 Li2Cr2O7 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1192358 FeOF Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1177409 LiVCoO4 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-1213570 Li5V3P8O29 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mvc-3002 CrCdO4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1100906 Sr24Fe16O55 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-19270 RbSc(MoO4)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1100926 BaNiP2O7 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1639659 Mo2P2O11 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1204008 Li4Ni(BO3)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1275491 LiFePH2O5 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-17901 Mo3(PO4)4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1303958 Li4(NiO2)7 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1277814 ZnMo2O5 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-754122 Te2MoO7 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-28761 La2TiMnO6 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-867515 Li3Ni2O2F3 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1103601 Li3MnSi2O7 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-20014 Mn3ZnO10 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1221941 LiV(OF)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-758911 Sm2TeMo6(H5O9)4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-560864 LiNbFeO4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-545850 MnF3 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-625532 Rb3FeO3 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-19418 NiTeO4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1287902 Li5MnO4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-558666 LiCoPO4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-696580 Li2Mn4OF8 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-867709 Li3NiOF3 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1174098 LiV2OF5 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-753374 TiCo3O8 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-755125 MgMn4O6 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-562767 RbPr(WO4)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-19374 K2MgMo2(H2O5)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1229147 V2CoO8 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-704545 ThV2SeO9 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1210599 LuTl(MoO4)2 Prediction: 0 Actual: tensor([2], device='cuda:0') 
mp-1293819 ZnCr2O4 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-756326 Mn3CoNi2(PO4)6 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-625246 Mn2ZnH12(NO2)4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1218914 BaNa2V2CuO8 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-26825 Li2Fe2Si5O13 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1204423 Li24Ti11CrO36 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1147749 Li2VSi2O7 Prediction: 1 Actual: tensor([0], device='cuda:0') 
mp-1038036 CaNiO2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-550454 Li2V(BO2)5 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-1208910 KVPHO6 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-769611 Li5Fe8(BO3)8 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-560167 Ta2CrNO5 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-755566 KLiLu2(MoO4)4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-867581 Nd6Mo10O39 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-755199 K3ErV2O8 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-626316 VO2F Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-559838 Be(CoO2)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-551760 K2Fe2(SO4)3 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1180042 Li9Mn2Co5O16 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1220829 Li7Mn2(CoO4)3 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-19052 VF5 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1178269 Ni3O4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-756882 Na5Ca7Zr2TiMnSi8(O8F)4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-773188 Li2CrO2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1036758 Fe5(O4F)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1200054 LiVTeO5 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1173199 Na2VCSO7 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-774255 CsVSeO5 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-1198767 V2O2F3 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-770078 FeTe(PO4)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-759491 Li2Mn3GaO8 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-758795 CrP2Pb5O13 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-19353 Li2MnFe(BO3)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-705159 TlMoPO6 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-777452 FeOF Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1221598 CoAgO2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-771018 Na2CrCSO7 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1279043 Li2Cr(PO4)2 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-1643829 Li3Mn2P2(CO7)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-761669 Ca2VBiO6 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-560449 Na2NiPCO7 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-754923 Li4Zr8V3(P3O16)3 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-556925 K2Zn2(MoO4)3 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1222435 MoH8S2(NO)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-758021 LiMnPO4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-618807 BaAlV4O7 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1276200 LiFeOF Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1222577 Mg5V2(MoO8)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-753736 Ba3CrO5 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1176397 Li3NiAsCO7 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1272688 CaMnO2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1104567 LiNi(PO3)3 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1195880 CaNdMn2O6 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1198744 V4ZnO8 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-971678 Rb4Mo5H4Se2O23 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1191914 VH6(OF)3 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-757166 KY(MoO4)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-761572 LiGa(MoO4)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1213966 CaFe3Si2HO9 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mvc-4983 Li3Fe3SbO8 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-759533 Li2Mn3NiO8 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1190505 Co2C5SO5 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-777960 Li2TiMnO4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-557135 Co(BrO6)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-779887 CaNi2(P2O7)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-19321 Ni(HO)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-504704 MoH8(NO2)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1223183 LiCo2NiO6 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-849366 NaFeBO3 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-760391 CrH10S2(NO2)4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1218735 LiVPO5 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-778811 Li7Fe3Ni(PO4)6 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1222689 LiMnBO3 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-630859 V2MoO8 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-754059 UHg(MoO4)4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-753660 Na2TbPWO8 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-757329 K2Mo2H8O15 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-777412 LiMoAsO6 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1209392 Li9Mn2Co5O16 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1227933 K2MoH2(CO4)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1217235 LiMn3O6 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-1104440 KCr4O8 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-625576 MnH2(SO4)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-753333 Sr2CoWO6 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-767774 La4Cu3MoO12 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1214664 LaMnO3 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-561100 Fe2P5O16 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1293037 ErCoH8C6(N3O2)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-559430 Li2Fe2SiO6 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-505147 Ca10V6O25 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-540438 MgFe2O3 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-756530 K2Mn2O3 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-756450 UV2O8 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1247621 Li9Mn2Co5O16 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1217035 Cr2CdH14(NO2)4 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-1173962 LiVF4 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-755400 Li9Mn2Co5O16 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-753110 RbY(MoO4)2 Prediction: 2 Actual: tensor([0], device='cuda:0') 
