mp-1178577 Li6CrO6 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1220965 LiCrSiO4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1212487 Ti3Fe2P6WO24 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-760933 V2H38S4(N2O9)3 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-758951 Li3Nb2CrO6 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1197105 Cr2(SiO4)3 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1101421 LiNi9O10 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-759983 LiMnO2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1316599 Mn4ZnO8 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-19220 Na3MnPCO7 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-754732 MnSeO3 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1193851 Ba6Na2Ta2Mn2O17 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-25542 Li4Mn3CoO8 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-774237 LiVO3 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-765593 Li4Mn5(FeO6)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-760954 Li3VF8 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-863406 Li4Mn3CoO8 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-558952 Zn3Co2(SiO4)3 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1192111 NiH12(BrO6)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mvc-479 Cr2Hg2H2O9 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-674490 NaV2Bi3O10 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-22172 MoH4O5 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1174686 Tl2Mo3SeO12 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1211556 Mn2P2O7 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1196821 MnNi3O4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1203002 Ti2CrO5 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-560628 MoF5 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-754255 LiFePCO7 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-557668 V(BrO2)3 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-774243 K3ScV2O8 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-510742 Al2NiO4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-753407 La6Sm2Co7AgO24 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-775280 Sr2TaMnO6 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1291753 BaMo2Se2O11 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-18844 La2GaNiO6 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-23064 ZnFe2(PO5)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-28936 KMnH4Cl3O2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-30084 K2LiVO4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-752543 FeSb(PO4)2 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-22038 CsMnVF6 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1201428 FePH5NO4F Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-561180 LiCoSiO4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-554485 Li4Co3O7 Prediction: 2 Actual: tensor([0], device='cuda:0') 
mp-1209549 Hf(MoO4)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-774898 CaFeO2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-753587 Mn(AsO2)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1175029 RbV(IO4)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1105546 Fe2P3O13 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mvc-8765 Ba2CrO4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1316653 LiMnCuO4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-756723 NaNiO2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-773178 Li2Mn2(SO4)3 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1190795 YVO4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-771966 Li3Al2FeO6 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1194448 LiNiPO4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-554911 LiNiPO4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mvc-3872 RbVH6SO9 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1177646 CoO2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mvc-3668 K2Be2NiH6F8 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1196769 MoC4IO4 Prediction: 0 Actual: tensor([2], device='cuda:0') 
mp-757415 CsTaCo(OF2)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-764994 Li2TiFeO4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-625714 V2Zn2O7 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1274182 Zn(MoO2)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1099745 VZn6P3O16 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-752431 LiMnRhO4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-720713 VCrSbO6 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-551629 V2Cd2O7 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1209371 Na3VO3 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1211736 Ba2ErV3O11 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-777279 Fe2Cu(P2O7)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-556889 MnC4IO4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-861502 K2MoAs2O9 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1201570 MgMnP2O7 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1211174 Li2CoSn(PO4)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-557878 CoO2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-754054 Li3V3O8 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-699398 Co2As2O7 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-554411 CrP2H13(NO5)2 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-752944 VCo(PO4)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-705089 Li9Mn7O16 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1189182 BaNb4(FeO7)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1203333 Mo2P2O11 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-764557 Mo(HO2)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-759826 RbMnVO4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-755246 Na3VPCO7 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-1192462 BaCo2(AsO4)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-555680 Li3Mn3TeO8 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-542671 Li2MnO2F Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-759543 Na2FePCO7 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-1222347 Sr3Mn2O7 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-25461 VPO5 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-558897 Li2Mn3NbO8 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1214937 LiMnCO4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-756739 Li5Cr2Ni5O12 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-850958 Li2V(OF)2 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-1214471 Mg14MnCoO16 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-505263 HoVO4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1645095 LiSc(WO4)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1275461 V2Bi4O11 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-755914 V2B(PO4)3 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-20302 Na2CoP4(H4O5)4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-770386 Li2VCrO4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-757151 CaZrV2O8 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1173842 Nd2Zr3(MoO4)9 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1285223 Li2AlCoO4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-776489 CoP2O7 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-744193 Li4MnV(PO4)3 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-628782 Mn3O4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-772050 Li3V2Cr2O8 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1227411 K2BaNi(NO2)6 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-18759 BaLaTiCrO6 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-29461 LaCrCuO6 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-770752 KNi2H3(SeO5)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1227000 HfMg6FeO8 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1218736 LiCrFeO4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-640765 Na3NiPCO7 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1307153 MnSe2O5 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1227949 NaVCSO7 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-21333 Cd(FeO2)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-557229 SmTl(MoO4)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-754539 SrCrO2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1105482 V3(OF)4 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-761780 NaV4O10 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-13187 Na3CrSiBO7 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-22774 VZn2O4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-603946 Li2MnO2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1212131 NaLa(MoO4)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1227472 InCoO3 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-626708 Na3CrSiCO7 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-1223759 Na2V2ZnO7 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-744776 VOF3 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-754547 Na2VPO6 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1196327 SrCeVO4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-757648 CrMoF6 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-1216362 Sm4Fe3Co(AsO)4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-505766 V2Zn3TePb3O14 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-505166 HoMoO4F Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-753333 CaV2O5 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-756551 Li2Fe2Si2O7 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1228204 Li4MnCo2O7 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-759127 V(AgO)4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-770684 GaCoPH18C9NCl2O3 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-757910 Cs2CrHgF6 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-757246 Ho5Cu(WO4)8 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-561778 Li2MnSnO4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-555195 Mg14ZnFeO16 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1037122 Y(CoO2)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-768647 V3H8(NO4)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-867589 Li9Mn2Co5O16 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-760344 LiVPO4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-849482 K3VCO8 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1227933 Li6CoNi9O20 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-774680 SrCrHO2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-560902 Cr3P3O13 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-554838 Ga2Mo(SeO5)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1147559 Bi2(MoO4)3 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-1194912 Li3AlMo2(AsO7)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-18245 Ca4Al6MoO16 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1174810 V2Zn3O8 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-774508 CaCr2O4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-556764 Co(IO3)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-782667 Li2MnSiO4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-760101 EuCoO3 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-771878 Li6V3P8O29 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-554482 Mn6O5F7 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1641568 Hg2MoO4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-561162 Li3NiPCO7 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-756409 Li5Ni2O2F5 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-867733 K3FePCO7 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-744463 Li9Mn2Co5O16 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-763344 Li2V2SiGeO10 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1174646 NiPbO3 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-756346 Li2Ti3MnO8 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mvc-678 Na2MnP2O7 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-850396 Ho2WO6 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1213413 LiLa(MoO4)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-770406 Na3MnO3 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-771704 Sr2CoO4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-779090 Li3V2(PO4)3 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1100578 Li2Si2NiO6 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1224359 Sr2GdCr(CuO4)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1100947 V3OF11 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1104265 Li11(MoO2)12 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-605091 Cs2ZrMn(MoO4)4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1665555 MgVO3 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1237135 MoO2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-756210 CoAg(NO3)3 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1204338 BaNd2(MoO4)4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-775903 Li2CuNiO4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1194736 V2Ge(O2F)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-867581 LiFePO4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-510408 LiFe2(BO3)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-744188 Li2CrO2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1180870 Li2Cr2O9 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1113962 Li5MnO4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1205381 VO2F Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-760210 Mn2InC10BrO10 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-743841 CrC6N12(ClO3)3 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-755501 SrNiO3 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1111694 Li5Mn6O12 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1205736 V2Bi4O11 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-765405 Li2Cr2O7 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-540948 LiVSi4(HO6)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-849278 ThCr2O10 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1111146 MgVO3 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1195516 LiVPO5 Prediction: 0 Actual: tensor([1], device='cuda:0') 
mp-745139 CrCuAsPb2O9 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-765342 Na2MnAgF6 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1308540 Li4CrTe2WO12 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-554913 MgVBiO5 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1218381 KCoF3 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-780739 Er2(WO4)3 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-555748 RbVSeO5 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-19446 Mo3NO9 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-560956 LiFePO4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-504351 BaV2TeO8 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1221950 Li4Y3FeO8 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-1640786 Li2CoP2O7 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1294202 KNiH9(CO5)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-759965 LiVPO4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1250798 FeAsO4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-772093 V2O5 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1037737 Mn3(PO4)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1198790 NiWO4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1569231 Cr2N2O7 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-557365 CaLa2MoO6 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-753036 Mn2BrO3 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-766106 TiFe5O8 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1203753 Al2FeO4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-850988 Mn3B7ClO13 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1222639 Li4V3CrO8 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-554492 LiCrP2O7 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1177031 Li2VO3F Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-558344 MnC5BrO5 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-35236 Li4Mn3O7 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mvc-3126 Li2Fe(SiO3)2 Prediction: 0 Actual: tensor([2], device='cuda:0') 
mp-554131 K6Na2V2S7O30 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1104788 Te4Mo(OF4)5 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-761527 NaVMoO6 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1037015 Fe(CoO2)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1062939 RbHo(MoO4)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1182751 Dy2Mo4O15 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1214474 K2Mn2Zn4Si4O15 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-560864 Na5La(MoO4)4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1663238 ZnCr2O7 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mvc-3999 Li3MnV(PO4)3 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-760115 RbAl(MoO4)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-19239 K2RbPrV2O8 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-19142 Ba2MnMoO6 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-764993 Fe2S3O17 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1200763 Li7Fe4(P2O7)4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-546936 Na2NiO3 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-17510 Y2W2O9 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-558402 Li2TiV2O6 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-19090 Zr(MoO4)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1176731 Co4B6O13 Prediction: 1 Actual: tensor([0], device='cuda:0') 
mp-1220977 Bi2Mo2O9 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-849733 Rb2TeMo2(PO7)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1195447 Li2CrO4 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mvc-15109 Li9Mn4(BO3)8 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1218686 NaMoO3 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-631247 BaV(AsO5)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-753584 Li3VOF6 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1179451 Li5MnO3F Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1314584 Li8Mn(O2F)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-775301 LiFe(SiO3)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-555154 Ti4Fe2O Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-771954 Ba2MoO3F4 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-19231 Li4V2Co3Sb3O16 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-752650 Li2V(CO3)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-757182 KLiMnPCO7 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-759216 LiVP2O7 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1154479 Li4Co3Sn5O16 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1223127 Li5V(CO3)4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-677260 NaLi2MnF6 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-774249 Sr2MnGaO5 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-867647 Ba2CoMoO6 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-770894 Pr2(MoO4)3 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1219634 Na2Mn2O3 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1286054 Ba2MnGe2O7 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-698680 Li3MnPCO7 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1175301 Yb2WN2O3 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-558997 LiTi3VO8 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-1223892 LiMn(PO3)3 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-1222564 LaVO3 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-20798 Cr6Cd(CuO6)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1191322 MoO2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-769615 Li2U(WO5)2 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-19513 LiTl3(MoO4)2 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1185311 NaV3(PbO3)4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mvc-10467 Li(CoO2)3 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-560690 Gd2MoO6 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-19472 Li2TiMnO4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1218183 MoH2(CO2)2 Prediction: 1 Actual: tensor([2], device='cuda:0') 
mp-558497 LiMnPH2O5 Prediction: 2 Actual: tensor([1], device='cuda:0') 
mp-1203128 K4Ni7(AsO4)6 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1223386 Li2V(PO4)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-19424 La2Fe2Se2O3 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-755580 ErBiW2O9 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-759788 Mg(CoO2)2 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-26201 NaVO3 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1214404 La2CrO6 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-850992 KLiMoO4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-1211449 Ca4Al6CrO16 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-757232 Li2CrP2O7 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1191380 LiVFeP2(HO5)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-754600 FeSiO3 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-764375 CoH9(NO)6 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-19398 CrPO5 Prediction: 2 Actual: tensor([2], device='cuda:0') 
mp-604368 Li2Mn3(BO3)3 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-21145 Cs2Mo(SO)2 Prediction: 1 Actual: tensor([1], device='cuda:0') 
mp-1209392 VZnBiO5 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-19146 Li5(CoO2)8 Prediction: 0 Actual: tensor([0], device='cuda:0') 
mp-8343 NbCrO4 Prediction: 2 Actual: tensor([2], device='cuda:0') 
